,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,130.28,128.3,129.25,129.09
1,2015-03-03,129.52,128.09,128.96,129.36
2,2015-03-04,129.56,128.32,129.1,128.54
3,2015-03-05,128.75,125.76,128.58,126.41
4,2015-03-06,129.37,126.26,128.4,126.6
5,2015-03-09,129.57,125.06,127.96,127.14
6,2015-03-10,127.22,123.8,126.41,124.51
7,2015-03-11,124.77,122.11,124.75,122.24
8,2015-03-12,124.9,121.63,122.31,124.45
9,2015-03-13,125.4,122.58,124.4,123.59
10,2015-03-16,124.95,122.87,123.88,124.95
11,2015-03-17,127.32,125.65,125.9,127.04
12,2015-03-18,129.16,126.37,127.0,128.47
13,2015-03-19,129.25,127.4,128.75,127.5
14,2015-03-20,128.4,125.16,128.25,125.9
15,2015-03-23,127.85,126.52,127.12,127.21
16,2015-03-24,128.04,126.56,127.23,126.69
17,2015-03-25,126.82,123.38,126.54,123.38
18,2015-03-26,124.88,122.6,122.76,124.24
19,2015-03-27,124.7,122.91,124.57,123.25
20,2015-03-30,126.4,124.0,124.05,126.37
21,2015-03-31,126.49,124.36,126.09,124.43
22,2015-04-01,125.12,123.1,124.82,124.25
23,2015-04-02,125.56,124.19,125.03,125.32
24,2015-04-06,127.51,124.33,124.47,127.35
25,2015-04-07,128.12,125.98,127.64,126.01
26,2015-04-08,126.4,124.97,125.85,125.6
27,2015-04-09,126.58,124.66,125.85,126.56
28,2015-04-10,127.21,125.26,125.95,127.1
29,2015-04-13,128.57,126.61,128.37,126.85
30,2015-04-14,127.29,125.91,127.0,126.3
31,2015-04-15,127.13,126.01,126.41,126.78
32,2015-04-16,127.1,126.11,126.28,126.17
33,2015-04-17,126.14,124.46,125.55,124.75
34,2015-04-20,128.12,125.17,125.57,127.6
35,2015-04-21,128.2,126.67,128.1,126.91
36,2015-04-22,128.87,126.32,126.99,128.62
37,2015-04-23,130.42,128.14,128.3,129.67
38,2015-04-24,130.63,129.23,130.49,130.28
39,2015-04-27,133.13,131.15,132.31,132.65
40,2015-04-28,134.54,129.57,134.46,130.56
41,2015-04-29,131.59,128.3,130.16,128.64
42,2015-04-30,128.64,124.58,128.64,125.15
43,2015-05-01,130.13,125.3,126.1,128.95
44,2015-05-04,130.57,128.26,129.5,128.7
45,2015-05-05,128.45,125.78,128.15,125.8
46,2015-05-06,126.75,123.36,126.56,125.01
47,2015-05-07,126.08,124.02,124.77,125.26
48,2015-05-08,127.62,126.11,126.68,127.62
49,2015-05-11,127.56,125.63,127.39,126.32
50,2015-05-12,126.88,124.82,125.6,125.87
51,2015-05-13,127.19,125.87,126.15,126.01
