,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,385.9,379.48,380.85,385.66
1,2015-03-03,386.1,381.6,383.95,384.61
2,2015-03-04,387.9,382.19,385.71,382.72
3,2015-03-05,388.42,383.89,385.61,387.83
4,2015-03-06,387.0,378.88,385.52,380.09
5,2015-03-09,379.33,375.28,378.4,378.56
6,2015-03-10,377.77,369.18,377.45,369.51
7,2015-03-11,373.35,366.26,370.61,366.37
8,2015-03-12,375.5,367.52,368.82,374.24
9,2015-03-13,373.99,366.68,371.52,370.58
10,2015-03-16,373.94,366.72,370.38,373.35
11,2015-03-17,374.5,369.64,371.11,371.92
12,2015-03-18,375.99,366.7,369.97,375.14
13,2015-03-19,377.11,372.19,373.87,373.24
14,2015-03-20,379.37,375.92,376.29,378.49
15,2015-03-23,381.77,374.94,378.07,375.11
16,2015-03-24,375.24,372.27,373.99,374.09
17,2015-03-25,380.5,370.29,375.17,370.96
18,2015-03-26,371.4,365.65,369.59,367.35
19,2015-03-27,373.17,366.57,367.11,370.56
20,2015-03-30,376.12,371.55,371.87,374.59
21,2015-03-31,377.7,371.51,373.24,372.1
22,2015-04-01,373.16,368.34,372.1,370.26
23,2015-04-02,373.28,369.0,370.5,372.25
24,2015-04-06,380.2,369.36,370.1,377.04
25,2015-04-07,379.31,374.03,376.15,374.41
26,2015-04-08,381.58,374.65,374.66,381.2
27,2015-04-09,384.42,378.8,380.66,383.54
28,2015-04-10,387.12,381.32,384.31,382.65
29,2015-04-13,385.28,380.14,383.53,382.36
30,2015-04-14,387.81,381.21,383.51,385.11
31,2015-04-15,385.78,381.64,384.65,383.45
32,2015-04-16,387.45,383.55,383.69,386.04
33,2015-04-17,383.56,374.4,382.63,375.56
34,2015-04-20,391.94,377.0,378.55,389.51
35,2015-04-21,394.6,386.8,391.31,391.18
36,2015-04-22,394.28,388.0,391.91,389.8
37,2015-04-23,391.88,386.15,390.21,389.99
38,2015-04-24,452.65,439.0,439.0,445.1
39,2015-04-27,446.99,437.41,443.86,438.56
40,2015-04-28,439.0,428.04,438.51,429.31
41,2015-04-29,434.24,426.03,426.75,429.37
42,2015-04-30,431.75,419.24,427.11,421.78
43,2015-05-01,425.64,416.0,423.82,422.87
44,2015-05-04,429.77,422.42,424.8,423.04
45,2015-05-05,427.51,421.02,422.85,421.19
46,2015-05-06,422.72,414.55,421.43,419.1
47,2015-05-07,428.5,422.85,424.15,426.88
48,2015-05-08,435.2,430.17,430.75,433.69
49,2015-05-11,439.0,431.37,432.51,432.85
50,2015-05-12,433.25,426.71,431.08,431.02
51,2015-05-13,433.53,425.8,429.98,426.87
52,2015-05-14,433.0,427.01,429.45,432.28
53,2015-05-15,430.4,424.3,428.0,426.0
54,2015-05-18,427.27,421.46,426.0,425.24
55,2015-05-19,428.24,420.63,424.87,421.71
56,2015-05-20,427.1,418.36,420.6,423.86
57,2015-05-21,436.9,428.0,428.0,431.63
58,2015-05-22,432.44,427.61,431.55,427.63
59,2015-05-26,427.0,422.0,426.2,425.47
60,2015-05-27,431.85,425.01,427.45,431.42
61,2015-05-28,431.35,425.47,429.71,426.57
62,2015-05-29,432.5,427.23,427.23,429.23
63,2015-06-01,433.16,426.2,430.4,430.92
64,2015-06-02,433.23,426.25,430.07,430.99
65,2015-06-03,438.39,432.75,434.4,436.59
66,2015-06-04,436.76,429.26,434.4,430.78
67,2015-06-05,430.8,426.5,429.66,426.95
68,2015-06-08,426.8,421.43,425.62,423.5
69,2015-06-09,427.49,419.14,422.96,425.48
70,2015-06-10,432.2,425.66,426.46,430.77
71,2015-06-11,438.89,431.47,432.29,432.97
72,2015-06-12,432.36,428.26,431.25,429.92
73,2015-06-15,428.05,422.64,427.66,423.67
74,2015-06-16,427.97,422.67,424.15,427.26
75,2015-06-17,431.35,424.75,428.36,427.81
76,2015-06-18,439.73,429.41,430.3,439.39
77,2015-06-19,444.99,433.24,440.26,434.92
78,2015-06-22,439.24,434.18,437.0,436.29
79,2015-06-23,447.04,433.69,435.59,445.99
80,2015-06-24,446.47,440.23,444.97,440.84
81,2015-06-25,443.47,436.39,438.07,440.1
82,2015-06-26,443.49,435.06,441.76,438.1
83,2015-06-29,437.0,429.0,434.98,429.86
84,2015-06-30,435.57,430.46,434.2,434.09
85,2015-07-01,440.0,435.58,439.35,437.39
86,2015-07-02,438.2,433.48,437.0,437.71
87,2015-07-06,439.73,433.52,435.23,436.04
88,2015-07-07,437.73,425.57,435.68,436.72
89,2015-07-08,435.99,428.83,434.35,429.7
90,2015-07-09,438.72,434.15,434.9,434.39
91,2015-07-10,444.72,439.0,440.49,443.51
92,2015-07-13,457.87,447.54,448.29,455.57
93,2015-07-14,469.6,458.16,462.32,465.57
94,2015-07-15,464.7,460.2,463.04,461.19
95,2015-07-16,475.88,464.8,465.5,475.48
96,2015-07-17,485.42,477.25,477.7,483.01
97,2015-07-20,493.2,485.4,492.57,488.1
98,2015-07-21,488.88,482.55,487.9,488.0
99,2015-07-22,492.5,484.9,485.99,488.27
100,2015-07-23,491.66,475.7,491.66,482.18
101,2015-07-24,580.57,529.35,578.99,529.42
102,2015-07-27,544.95,526.6,527.75,531.41
103,2015-07-28,536.39,523.12,536.0,526.03
104,2015-07-29,532.97,525.02,530.92,529.0
105,2015-07-30,539.2,524.29,527.65,536.76
106,2015-07-31,542.84,534.52,539.09,536.15
107,2015-08-03,540.44,529.36,537.45,535.03
108,2015-08-04,536.95,529.16,529.69,531.9
109,2015-08-05,539.14,534.12,538.8,537.01
110,2015-08-06,542.74,527.52,539.3,529.46
111,2015-08-07,529.46,518.21,529.16,522.62
112,2015-08-10,532.28,523.0,528.52,524.0
113,2015-08-11,528.98,522.0,523.65,527.46
114,2015-08-12,527.5,513.06,523.75,525.91
115,2015-08-13,534.66,525.49,527.37,529.66
116,2015-08-14,534.11,528.25,528.25,531.52
117,2015-08-17,538.74,527.12,531.29,535.22
118,2015-08-18,539.49,533.0,535.04,535.02
119,2015-08-19,537.25,529.0,533.74,532.92
120,2015-08-20,533.25,515.77,530.39,515.78
121,2015-08-21,512.33,494.47,507.36,494.47
122,2015-08-24,476.58,451.0,463.58,463.37
123,2015-08-25,489.44,466.25,487.49,466.37
124,2015-08-26,503.72,478.76,484.02,500.77
125,2015-08-27,522.69,507.26,513.71,518.37
126,2015-08-28,521.5,513.04,517.5,518.01
127,2015-08-31,519.41,509.07,516.44,512.89
128,2015-09-01,510.0,493.43,499.14,496.54
129,2015-09-02,510.86,497.72,505.09,510.55
130,2015-09-03,515.84,502.57,514.5,504.72
131,2015-09-04,502.85,495.64,497.65,499.0
132,2015-09-08,518.35,508.51,508.69,517.54
133,2015-09-09,529.95,515.06,524.0,516.89
134,2015-09-10,526.13,514.78,515.15,522.24
135,2015-09-11,529.44,520.61,521.07,529.44
136,2015-09-14,532.45,518.58,529.44,521.38
137,2015-09-15,527.92,517.2,523.25,522.37
138,2015-09-16,528.3,518.52,521.98,527.39
139,2015-09-17,546.97,526.57,526.98,538.87
140,2015-09-18,546.24,531.35,534.62,540.26
141,2015-09-21,549.78,539.59,544.33,548.39
142,2015-09-22,543.55,532.66,539.71,538.4
143,2015-09-23,541.21,534.0,538.3,536.07
144,2015-09-24,534.56,522.87,530.55,533.75
145,2015-09-25,542.8,521.4,542.57,524.25
146,2015-09-28,520.28,494.33,520.02,504.06
147,2015-09-29,511.48,490.5,506.0,496.07
148,2015-09-30,512.8,501.67,505.44,511.89
149,2015-10-01,520.8,506.0,511.0,520.72
150,2015-10-02,532.6,508.1,512.99,532.54
151,2015-10-05,545.91,536.0,536.99,543.68
152,2015-10-06,551.5,533.33,545.5,537.48
153,2015-10-07,542.0,529.0,541.79,541.94
154,2015-10-08,539.39,519.89,536.71,533.16
155,2015-10-09,541.79,530.27,534.48,539.8
156,2015-10-12,550.82,539.8,539.96,550.19
157,2015-10-13,553.2,543.1,546.26,548.9
158,2015-10-14,552.25,539.68,551.34,544.83
159,2015-10-15,563.0,547.0,547.75,562.44
160,2015-10-16,570.94,560.31,565.27,570.76
161,2015-10-19,579.0,567.38,570.76,573.15
162,2015-10-20,573.0,555.28,572.0,560.88
163,2015-10-21,565.25,552.52,563.87,555.77
164,2015-10-22,569.15,556.67,562.7,563.91
165,2015-10-23,619.45,595.36,617.68,599.03
166,2015-10-26,609.85,596.29,602.3,608.61
167,2015-10-27,614.71,605.53,608.6,611.01
168,2015-10-28,617.23,609.5,612.3,617.1
169,2015-10-29,627.54,615.39,617.7,626.55
170,2015-10-30,630.72,625.28,626.01,625.9
171,2015-11-02,628.63,620.41,627.13,628.35
172,2015-11-03,629.89,622.0,629.53,625.31
173,2015-11-04,645.93,627.35,627.76,640.95
174,2015-11-05,657.0,643.09,647.1,655.65
175,2015-11-06,662.26,652.0,655.0,659.37
176,2015-11-09,661.96,647.85,658.65,655.49
177,2015-11-10,660.0,647.26,651.01,659.68
178,2015-11-11,675.96,663.25,663.25,673.25
179,2015-11-12,675.64,664.22,673.0,665.6
180,2015-11-13,667.0,640.45,663.57,642.35
181,2015-11-16,649.99,622.29,640.92,647.81
182,2015-11-17,653.25,641.0,650.65,643.3
183,2015-11-18,664.88,646.37,646.51,663.54
184,2015-11-19,672.86,659.0,664.99,661.27
185,2015-11-20,668.87,657.57,667.94,668.45
186,2015-11-23,682.77,670.12,671.5,678.99
187,2015-11-24,675.8,661.21,674.14,671.15
188,2015-11-25,679.7,671.24,675.0,675.34
189,2015-11-27,680.99,672.1,680.8,673.26
190,2015-11-30,681.29,664.6,675.9,664.8
191,2015-12-01,681.0,667.86,673.75,679.06
192,2015-12-02,684.82,674.25,681.0,676.01
193,2015-12-03,682.79,661.48,679.44,666.25
194,2015-12-04,674.78,661.4,666.0,672.64
195,2015-12-07,675.46,660.5,674.74,669.83
196,2015-12-08,679.99,659.79,663.13,677.33
197,2015-12-09,679.0,655.68,678.0,664.79
198,2015-12-10,668.53,659.56,665.59,662.32
199,2015-12-11,657.88,639.62,651.23,640.15
200,2015-12-14,658.59,635.27,641.75,657.91
201,2015-12-15,671.5,657.35,665.03,658.64
202,2015-12-16,677.35,659.32,663.56,675.77
203,2015-12-17,682.5,670.65,680.0,670.65
204,2015-12-18,676.84,664.13,668.65,664.14
205,2015-12-21,669.9,658.93,668.5,664.51
206,2015-12-22,668.49,659.26,666.83,663.15
207,2015-12-23,666.6,656.63,666.5,663.7
208,2015-12-24,664.68,660.6,663.35,662.79
209,2015-12-28,675.5,665.5,665.56,675.2
210,2015-12-29,696.44,677.89,677.98,693.97
211,2015-12-30,695.49,686.38,691.89,689.07
212,2015-12-31,687.75,675.89,686.08,675.89
213,2016-01-04,657.72,627.51,656.29,636.99
214,2016-01-05,646.91,627.65,646.86,633.79
215,2016-01-06,639.79,620.31,622.0,632.65
216,2016-01-07,630.0,605.21,621.8,607.94
217,2016-01-08,624.14,606.0,619.66,607.05
218,2016-01-11,619.85,598.57,612.48,617.74
219,2016-01-12,625.99,612.24,625.25,617.89
220,2016-01-13,620.88,579.16,620.88,581.81
221,2016-01-14,602.25,569.88,580.25,593.0
222,2016-01-15,584.62,565.3,572.24,570.18
223,2016-01-19,584.0,566.45,577.09,574.48
224,2016-01-20,578.45,547.18,564.36,571.77
225,2016-01-21,588.81,568.22,573.58,575.02
226,2016-01-22,600.1,584.11,588.73,596.38
227,2016-01-25,608.5,594.56,597.99,596.53
228,2016-01-26,604.5,590.38,603.45,601.25
229,2016-01-27,603.39,578.78,601.99,583.35
230,2016-01-28,638.06,597.55,608.37,635.35
231,2016-01-29,593.0,570.0,571.98,587.0
232,2016-02-01,581.8,570.31,578.15,574.81
233,2016-02-02,571.56,550.09,570.0,552.1
234,2016-02-03,556.0,521.9,553.5,531.07
235,2016-02-04,538.99,519.22,525.0,536.26
236,2016-02-05,529.45,499.19,529.28,502.13
237,2016-02-08,493.5,475.21,486.47,488.1
238,2016-02-09,498.38,474.0,478.01,482.07
239,2016-02-10,504.66,486.0,491.76,490.48
240,2016-02-11,509.3,484.0,491.17,503.82
241,2016-02-12,516.75,501.49,510.7,507.08
242,2016-02-16,524.45,511.66,519.48,521.1
243,2016-02-17,537.48,519.39,528.74,534.1
244,2016-02-18,541.2,523.73,541.19,525.0
245,2016-02-19,535.95,515.35,520.71,534.9
246,2016-02-22,560.65,541.08,542.2,559.5
247,2016-02-23,556.91,545.33,555.55,552.94
248,2016-02-24,554.27,533.15,545.75,554.04
249,2016-02-25,559.39,545.29,555.52,555.15
250,2016-02-26,562.5,553.17,560.12,555.23
251,2016-02-29,564.81,552.51,554.0,552.52
252,2016-03-01,579.25,556.0,556.29,579.04
253,2016-03-02,585.0,573.7,581.75,580.21
254,2016-03-03,579.87,573.11,577.96,577.49
255,2016-03-04,581.4,571.07,581.07,575.14
256,2016-03-07,573.63,555.55,573.54,562.8
257,2016-03-08,571.35,554.74,557.87,560.26
258,2016-03-09,560.35,550.13,559.56,559.47
259,2016-03-10,567.0,547.9,566.74,558.93
260,2016-03-11,570.06,562.73,566.95,569.61
261,2016-03-14,576.89,563.05,567.0,573.37
262,2016-03-15,581.52,567.0,571.0,577.02
263,2016-03-16,581.32,571.14,576.64,574.27
264,2016-03-17,571.4,555.01,569.51,559.44
265,2016-03-18,562.33,546.09,560.94,552.08
266,2016-03-21,555.24,538.58,548.91,553.98
267,2016-03-22,562.76,545.05,545.11,560.48
268,2016-03-23,572.48,558.1,561.0,569.63
269,2016-03-24,583.55,567.08,567.11,582.95
270,2016-03-28,584.75,575.56,584.4,579.87
271,2016-03-29,595.85,576.5,580.15,593.86
272,2016-03-30,603.24,595.0,596.71,598.69
273,2016-03-31,600.75,592.21,599.28,593.64
274,2016-04-01,599.03,588.3,590.49,598.5
275,2016-04-04,599.5,590.55,599.0,593.19
276,2016-04-05,593.47,585.25,590.77,586.14
277,2016-04-06,602.39,587.5,587.52,602.08
278,2016-04-07,599.6,589.08,598.76,591.43
279,2016-04-08,597.86,589.0,594.32,594.6
280,2016-04-11,604.0,594.91,596.14,595.93
281,2016-04-12,604.06,592.31,598.4,603.17
282,2016-04-13,616.81,605.29,607.68,614.82
283,2016-04-14,624.38,615.07,615.07,620.75
284,2016-04-15,626.77,618.11,621.92,625.89
285,2016-04-18,637.64,624.96,625.35,635.35
286,2016-04-19,638.01,620.8,637.14,627.9
287,2016-04-20,636.55,623.0,630.0,632.99
288,2016-04-21,637.82,628.5,631.0,631.0
289,2016-04-22,628.25,611.56,624.47,620.5
290,2016-04-25,626.98,616.25,616.61,626.2
291,2016-04-26,626.75,614.88,626.17,616.88
292,2016-04-27,615.95,601.28,611.8,606.57
293,2016-04-28,626.8,599.2,615.54,602.0
294,2016-04-29,669.98,654.0,666.0,659.59
295,2016-05-02,685.5,662.03,663.92,683.85
296,2016-05-03,680.3,670.43,677.36,671.32
297,2016-05-04,674.0,662.14,662.59,670.9
298,2016-05-05,676.49,656.0,673.31,659.09
299,2016-05-06,676.95,656.01,656.05,673.95
300,2016-05-09,686.98,671.41,673.95,679.75
301,2016-05-10,704.55,693.5,694.0,703.07
302,2016-05-11,719.0,701.65,705.79,713.23
303,2016-05-12,722.45,711.51,717.38,717.93
304,2016-05-13,719.25,706.51,714.64,709.92
305,2016-05-16,713.25,700.28,710.13,710.66
306,2016-05-17,714.47,693.91,709.9,695.27
307,2016-05-18,702.54,688.76,689.56,697.45
308,2016-05-19,699.4,689.56,691.88,698.52
309,2016-05-20,707.24,700.0,701.05,702.8
310,2016-05-23,706.0,696.42,704.25,696.75
311,2016-05-24,707.5,698.0,698.01,704.2
312,2016-05-25,710.86,705.52,708.0,708.35
313,2016-05-26,715.0,707.29,708.33,714.91
314,2016-05-27,716.6,711.1,715.0,712.24
315,2016-05-31,724.23,711.32,712.33,722.79
316,2016-06-01,726.43,718.22,720.9,719.44
317,2016-06-02,728.28,715.5,720.97,728.24
318,2016-06-03,727.0,718.43,726.74,725.54
319,2016-06-06,731.5,724.42,726.5,726.73
320,2016-06-07,730.0,720.55,729.89,723.74
321,2016-06-08,729.42,721.6,726.4,726.64
322,2016-06-09,728.91,722.3,723.1,727.65
323,2016-06-10,724.98,714.21,722.35,717.91
324,2016-06-13,721.99,711.16,714.01,715.24
325,2016-06-14,720.81,712.27,712.33,719.3
326,2016-06-15,722.56,713.35,722.0,714.26
327,2016-06-16,718.0,705.3,712.05,717.51
328,2016-06-17,718.2,699.18,718.19,706.39
329,2016-06-20,721.31,710.81,713.5,714.01
330,2016-06-21,718.4,712.72,715.72,715.82
331,2016-06-22,717.0,707.57,716.58,710.6
332,2016-06-23,722.12,712.5,715.5,722.08
333,2016-06-24,712.53,692.2,693.0,698.96
334,2016-06-27,696.82,682.12,692.01,691.36
335,2016-06-28,708.0,698.17,700.0,707.95
336,2016-06-29,719.5,713.54,715.75,715.6
337,2016-06-30,719.37,712.54,717.2,715.62
338,2016-07-01,728.0,716.54,717.32,725.68
339,2016-07-05,729.56,719.61,722.8,728.1
340,2016-07-06,737.77,722.58,725.71,737.61
341,2016-07-07,739.55,731.63,739.33,736.57
342,2016-07-08,746.1,738.0,740.14,745.81
343,2016-07-11,755.9,747.0,750.0,753.78
344,2016-07-12,757.34,740.33,756.86,748.21
345,2016-07-13,756.87,741.25,746.76,742.63
346,2016-07-14,749.04,739.02,748.86,741.2
347,2016-07-15,746.55,734.05,746.55,735.44
348,2016-07-18,741.6,728.72,735.49,736.07
349,2016-07-19,743.33,732.31,732.5,739.95
350,2016-07-20,746.25,740.7,744.0,745.72
351,2016-07-21,749.36,742.79,747.5,744.43
