,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,16.03,15.72,15.79,16.01
1,2015-03-03,16.15,15.96,16.03,16.04
2,2015-03-04,15.98,15.76,15.96,15.84
3,2015-03-05,16.03,15.75,15.92,16.0
4,2015-03-06,16.62,16.0,16.0,16.22
5,2015-03-09,16.33,16.12,16.31,16.17
6,2015-03-10,16.13,15.79,16.04,15.79
7,2015-03-11,16.16,15.87,15.92,16.11
8,2015-03-12,16.21,15.9,16.05,16.09
9,2015-03-13,16.15,15.94,16.08,16.09
10,2015-03-16,16.22,15.85,16.11,16.13
11,2015-03-17,16.12,15.96,16.07,16.09
12,2015-03-18,16.1,15.91,16.01,15.98
13,2015-03-19,15.97,15.61,15.96,15.61
14,2015-03-20,15.93,15.64,15.7,15.84
15,2015-03-23,15.88,15.72,15.82,15.72
16,2015-03-24,15.8,15.61,15.73,15.61
17,2015-03-25,15.65,15.4,15.63,15.41
18,2015-03-26,15.54,15.26,15.39,15.42
19,2015-03-27,15.49,15.27,15.48,15.31
20,2015-03-30,15.61,15.4,15.42,15.52
21,2015-03-31,15.52,15.38,15.5,15.39
22,2015-04-01,15.46,15.25,15.42,15.41
23,2015-04-02,15.62,15.43,15.43,15.54
24,2015-04-06,15.6,15.34,15.39,15.51
25,2015-04-07,15.65,15.45,15.53,15.46
26,2015-04-08,15.74,15.5,15.51,15.61
27,2015-04-09,15.76,15.53,15.63,15.71
28,2015-04-10,15.79,15.6,15.69,15.72
29,2015-04-13,15.86,15.74,15.78,15.8
30,2015-04-14,15.95,15.71,15.88,15.82
31,2015-04-15,15.85,15.59,15.7,15.64
32,2015-04-16,15.94,15.58,15.64,15.79
33,2015-04-17,15.75,15.5,15.71,15.56
34,2015-04-20,15.69,15.56,15.62,15.57
35,2015-04-21,15.64,15.43,15.6,15.5
36,2015-04-22,15.83,15.49,15.55,15.74
37,2015-04-23,15.8,15.68,15.72,15.69
38,2015-04-24,15.75,15.61,15.71,15.64
39,2015-04-27,15.76,15.56,15.63,15.56
40,2015-04-28,15.71,15.5,15.58,15.65
41,2015-04-29,16.04,15.57,15.6,15.98
42,2015-04-30,16.05,15.8,16.0,15.93
43,2015-05-01,16.15,15.92,16.0,16.11
44,2015-05-04,16.45,16.12,16.14,16.44
45,2015-05-05,16.61,16.33,16.42,16.35
46,2015-05-06,16.49,16.08,16.36,16.29
47,2015-05-07,16.33,16.09,16.23,16.24
48,2015-05-08,16.46,16.22,16.32,16.45
49,2015-05-11,16.59,16.43,16.45,16.49
50,2015-05-12,16.48,16.35,16.46,16.43
51,2015-05-13,16.52,16.36,16.44,16.47
52,2015-05-14,16.59,16.45,16.53,16.52
53,2015-05-15,16.52,16.3,16.52,16.35
54,2015-05-18,16.54,16.31,16.31,16.51
55,2015-05-19,16.78,16.58,16.59,16.77
56,2015-05-20,16.85,16.63,16.78,16.74
57,2015-05-21,16.75,16.56,16.71,16.73
58,2015-05-22,16.8,16.7,16.72,16.75
59,2015-05-26,16.73,16.43,16.73,16.5
60,2015-05-27,16.75,16.54,16.56,16.74
61,2015-05-28,16.73,16.58,16.72,16.67
62,2015-05-29,16.67,16.47,16.66,16.5
63,2015-06-01,16.64,16.47,16.58,16.55
64,2015-06-02,16.76,16.5,16.52,16.72
65,2015-06-03,17.02,16.67,16.67,16.93
66,2015-06-04,16.98,16.72,16.87,16.78
67,2015-06-05,17.35,16.97,17.04,17.19
68,2015-06-08,17.33,17.05,17.27,17.08
69,2015-06-09,17.35,17.0,17.05,17.31
70,2015-06-10,17.62,17.36,17.39,17.59
71,2015-06-11,17.68,17.44,17.62,17.49
72,2015-06-12,17.58,17.36,17.45,17.49
73,2015-06-15,17.5,17.25,17.33,17.47
74,2015-06-16,17.56,17.37,17.46,17.55
75,2015-06-17,17.6,17.3,17.59,17.37
76,2015-06-18,17.4,17.22,17.35,17.38
77,2015-06-19,17.39,17.12,17.28,17.17
78,2015-06-22,17.53,17.35,17.36,17.47
79,2015-06-23,17.72,17.56,17.56,17.67
80,2015-06-24,17.69,17.45,17.53,17.49
81,2015-06-25,17.62,17.35,17.57,17.37
82,2015-06-26,17.52,17.35,17.48,17.41
83,2015-06-29,17.25,16.86,17.13,16.89
84,2015-06-30,17.13,16.85,17.08,17.02
85,2015-07-01,17.31,17.09,17.25,17.22
86,2015-07-02,17.21,16.89,17.16,17.03
87,2015-07-06,17.01,16.71,16.78,16.94
88,2015-07-07,16.93,16.34,16.9,16.69
89,2015-07-08,16.5,16.22,16.42,16.25
90,2015-07-09,16.72,16.45,16.53,16.48
91,2015-07-10,16.84,16.66,16.8,16.7
92,2015-07-13,17.05,16.9,16.97,17.02
93,2015-07-14,17.15,16.86,16.93,17.13
94,2015-07-15,17.85,17.49,17.53,17.68
95,2015-07-16,18.07,17.86,17.91,17.95
96,2015-07-17,18.16,17.89,17.96,18.1
97,2015-07-20,18.23,18.08,18.15,18.12
98,2015-07-21,18.17,18.02,18.11,18.08
99,2015-07-22,18.48,18.03,18.03,18.45
100,2015-07-23,18.43,18.08,18.39,18.18
101,2015-07-24,18.23,17.84,18.18,17.9
102,2015-07-27,17.78,17.5,17.66,17.67
103,2015-07-28,17.89,17.6,17.79,17.88
104,2015-07-29,18.2,17.92,17.95,18.16
105,2015-07-30,18.29,18.05,18.2,18.13
106,2015-07-31,18.06,17.86,18.03,17.88
107,2015-08-03,17.97,17.64,17.91,17.77
108,2015-08-04,17.93,17.71,17.79,17.8
109,2015-08-05,18.05,17.8,17.93,17.87
110,2015-08-06,17.98,17.77,17.91,17.81
111,2015-08-07,18.07,17.6,17.92,17.75
