,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,71.08,70.39,70.82,71.01
1,2015-03-03,71.0,70.29,71.0,70.68
2,2015-03-04,70.76,70.23,70.48,70.68
3,2015-03-05,71.56,70.79,70.97,71.46
4,2015-03-06,70.98,69.14,70.83,69.25
5,2015-03-09,69.8,69.06,69.12,69.59
6,2015-03-10,69.3,68.4,69.28,68.4
7,2015-03-11,68.42,67.69,68.27,67.89
8,2015-03-12,68.58,68.15,68.32,68.53
9,2015-03-13,68.52,67.92,68.29,68.46
10,2015-03-16,69.15,68.58,68.7,69.02
11,2015-03-17,68.81,68.33,68.55,68.41
12,2015-03-18,68.74,66.88,68.25,68.33
13,2015-03-19,68.53,67.81,68.18,68.29
14,2015-03-20,69.61,68.52,68.65,69.56
15,2015-03-23,70.39,69.3,69.65,70.17
16,2015-03-24,70.65,69.31,69.98,69.31
17,2015-03-25,69.91,68.82,69.71,68.89
18,2015-03-26,69.21,68.48,68.72,68.74
19,2015-03-27,69.09,68.42,68.91,68.75
20,2015-03-30,69.5,68.54,68.75,69.29
21,2015-03-31,69.74,68.84,68.86,69.34
22,2015-04-01,69.34,68.61,69.34,69.09
23,2015-04-02,69.45,68.81,69.05,69.33
24,2015-04-06,70.3,68.88,69.02,69.95
25,2015-04-07,70.44,69.69,69.93,69.71
26,2015-04-08,70.25,69.42,69.74,69.9
27,2015-04-09,70.06,69.28,69.8,69.96
28,2015-04-10,70.04,69.58,69.89,69.61
29,2015-04-13,69.77,69.13,69.35,69.31
30,2015-04-14,70.02,69.0,69.04,69.63
31,2015-04-15,70.36,69.62,69.72,69.88
32,2015-04-16,70.3,69.66,69.96,70.08
33,2015-04-17,69.84,68.98,69.69,69.28
34,2015-04-20,69.2,68.31,68.7,68.46
35,2015-04-21,69.33,68.64,68.64,69.01
36,2015-04-22,69.31,68.69,69.0,69.28
37,2015-04-23,69.5,68.79,68.93,69.22
38,2015-04-24,69.46,69.01,69.25,69.17
39,2015-04-27,69.43,68.82,69.3,68.98
40,2015-04-28,69.18,68.43,68.79,68.77
41,2015-04-29,68.98,68.3,68.49,68.51
42,2015-04-30,67.67,66.78,67.49,67.28
43,2015-05-01,67.7,66.9,67.28,67.68
44,2015-05-04,68.25,67.71,67.83,67.86
45,2015-05-05,68.24,67.32,68.14,67.38
46,2015-05-06,67.87,67.14,67.75,67.79
47,2015-05-07,68.25,67.5,67.97,67.88
48,2015-05-08,68.64,67.98,68.5,68.2
49,2015-05-11,68.46,67.82,67.91,67.83
50,2015-05-12,68.11,67.33,67.52,67.88
51,2015-05-13,68.48,67.49,68.02,67.6
52,2015-05-14,68.72,68.01,68.02,68.63
53,2015-05-15,68.9,68.43,68.56,68.63
54,2015-05-18,68.82,68.4,68.49,68.61
55,2015-05-19,69.19,68.49,68.67,69.14
56,2015-05-20,69.28,68.89,69.18,68.89
57,2015-05-21,68.86,68.47,68.81,68.82
58,2015-05-22,68.9,68.46,68.89,68.5
59,2015-05-26,68.5,67.11,68.42,67.15
60,2015-05-27,67.75,67.28,67.3,67.54
61,2015-05-28,67.63,67.17,67.54,67.33
62,2015-05-29,67.35,66.74,67.21,66.79
63,2015-06-01,67.12,66.36,66.71,66.9
64,2015-06-02,67.07,66.55,66.87,66.73
65,2015-06-03,66.97,66.5,66.8,66.57
66,2015-06-04,66.9,65.85,66.21,65.92
67,2015-06-05,66.0,64.96,65.89,65.48
68,2015-06-08,65.54,64.83,65.39,65.34
69,2015-06-09,66.52,65.16,65.43,66.03
70,2015-06-10,67.47,66.66,66.74,67.07
71,2015-06-11,66.74,66.17,66.45,66.55
72,2015-06-12,66.44,66.05,66.44,66.29
73,2015-06-15,65.9,65.21,65.66,65.34
74,2015-06-16,66.08,65.17,65.17,65.98
75,2015-06-17,66.58,66.0,66.08,66.41
76,2015-06-18,67.53,66.57,66.59,67.17
77,2015-06-19,67.18,66.6,66.79,66.9
78,2015-06-22,67.57,67.09,67.19,67.24
79,2015-06-23,67.27,66.84,67.07,67.01
80,2015-06-24,67.12,66.48,66.93,66.49
81,2015-06-25,66.8,66.32,66.51,66.46
82,2015-06-26,67.0,66.44,66.76,66.5
83,2015-06-29,66.34,65.37,66.0,65.4
84,2015-06-30,65.88,65.31,65.85,65.41
85,2015-07-01,66.19,65.55,65.59,66.16
86,2015-07-02,66.58,65.98,66.38,66.16
87,2015-07-06,66.31,65.63,65.68,65.96
88,2015-07-07,67.38,65.96,66.14,67.31
89,2015-07-08,67.16,66.45,66.93,66.45
90,2015-07-09,67.18,66.15,67.15,66.17
91,2015-07-10,66.91,66.53,66.76,66.64
92,2015-07-13,67.5,66.91,66.95,67.44
93,2015-07-14,67.5,66.93,67.5,67.27
94,2015-07-15,67.58,66.76,67.04,66.91
95,2015-07-16,67.73,67.18,67.33,67.62
96,2015-07-17,67.62,67.2,67.36,67.5
97,2015-07-20,67.96,67.14,67.37,67.8
98,2015-07-21,67.64,66.77,67.57,66.94
99,2015-07-22,67.18,66.73,66.94,67.0
100,2015-07-23,67.18,66.81,67.0,67.04
101,2015-07-24,67.15,66.78,67.01,67.0
102,2015-07-27,67.31,66.54,66.76,67.3
103,2015-07-28,68.47,67.27,67.44,68.39
104,2015-07-29,69.23,68.13,68.25,68.93
105,2015-07-30,68.8,67.31,68.75,68.02
106,2015-07-31,68.29,67.8,68.06,68.02
107,2015-08-03,68.47,67.59,67.66,68.42
108,2015-08-04,68.71,68.06,68.34,68.45
109,2015-08-05,69.23,68.34,68.77,69.08
110,2015-08-06,69.3,68.64,69.2,68.65
111,2015-08-07,68.7,68.3,68.63,68.49
112,2015-08-10,69.08,68.67,68.84,68.74
113,2015-08-11,68.56,68.19,68.38,68.26
114,2015-08-12,68.13,66.97,67.99,68.0
115,2015-08-13,68.18,67.57,68.03,67.66
116,2015-08-14,67.94,67.49,67.76,67.79
117,2015-08-17,67.8,67.08,67.46,67.66
118,2015-08-18,68.02,67.49,67.67,67.69
119,2015-08-19,67.5,66.6,67.34,66.74
120,2015-08-20,66.55,65.96,66.2,65.99
121,2015-08-21,66.08,64.86,65.82,64.98
122,2015-08-24,62.5,50.84,61.9,61.95
123,2015-08-25,63.49,60.32,63.24,60.37
124,2015-08-26,62.4,60.54,61.53,62.23
125,2015-08-27,63.29,61.94,62.58,63.09
126,2015-08-28,63.38,62.52,63.01,63.35
127,2015-08-31,63.05,62.4,62.88,62.81
128,2015-09-01,62.27,60.91,61.62,61.27
129,2015-09-02,62.22,61.53,62.0,62.18
130,2015-09-03,63.13,62.24,62.24,62.92
131,2015-09-04,62.19,61.39,61.86,61.46
132,2015-09-08,63.66,62.15,62.48,63.43
133,2015-09-09,64.13,62.26,64.04,62.39
134,2015-09-10,62.48,61.31,62.28,61.93
135,2015-09-11,62.11,61.38,61.38,61.92
136,2015-09-14,62.14,61.55,61.83,62.11
137,2015-09-15,62.64,61.37,62.07,62.43
138,2015-09-16,63.23,62.5,62.6,63.07
139,2015-09-17,64.09,62.98,63.01,63.27
140,2015-09-18,63.66,62.65,62.68,62.69
141,2015-09-21,63.43,62.93,63.16,63.1
142,2015-09-22,62.73,61.74,62.5,62.16
143,2015-09-23,62.32,61.75,62.04,62.1
144,2015-09-24,62.42,61.46,61.8,62.25
145,2015-09-25,63.69,62.64,62.77,63.14
146,2015-09-28,63.28,62.16,62.97,62.16
147,2015-09-29,63.19,62.1,62.16,63.07
148,2015-09-30,63.99,63.09,63.66,63.46
149,2015-10-01,63.95,63.21,63.58,63.72
150,2015-10-02,64.28,63.06,63.22,64.28
151,2015-10-05,65.51,64.34,64.59,65.35
152,2015-10-06,65.3,64.73,65.3,64.79
153,2015-10-07,65.48,64.8,65.05,65.35
154,2015-10-08,65.94,65.02,65.18,65.9
155,2015-10-09,66.42,65.78,66.0,66.34
156,2015-10-12,66.58,65.99,66.33,66.25
157,2015-10-13,66.29,65.78,65.97,65.97
158,2015-10-14,66.11,65.5,65.97,65.75
159,2015-10-15,66.66,65.96,66.16,66.57
160,2015-10-16,67.26,66.71,66.9,67.12
161,2015-10-19,67.43,66.89,67.02,67.25
162,2015-10-20,67.24,66.86,66.95,67.06
163,2015-10-21,67.5,66.54,66.81,66.83
164,2015-10-22,68.86,66.67,67.15,68.64
165,2015-10-23,69.2,68.35,68.72,68.94
166,2015-10-26,69.32,68.66,68.82,68.72
167,2015-10-27,69.0,68.31,68.39,68.95
168,2015-10-28,69.16,68.12,69.0,68.83
169,2015-10-29,69.44,68.42,68.62,69.23
170,2015-10-30,68.07,66.35,67.69,66.35
171,2015-11-02,67.57,66.36,66.77,67.49
172,2015-11-03,68.11,66.9,67.24,68.0
173,2015-11-04,68.05,67.0,67.93,67.48
174,2015-11-05,67.89,67.2,67.51,67.6
175,2015-11-06,67.21,65.4,67.21,65.82
176,2015-11-09,65.97,65.28,65.48,65.77
177,2015-11-10,66.58,65.58,65.67,66.38
178,2015-11-11,67.22,66.44,66.69,66.45
179,2015-11-12,66.32,65.24,66.15,65.27
180,2015-11-13,65.56,64.51,65.18,64.56
181,2015-11-16,65.7,64.6,64.6,65.57
182,2015-11-17,65.96,65.14,65.92,65.32
183,2015-11-18,66.14,65.12,65.32,66.06
184,2015-11-19,66.95,66.2,66.32,66.38
185,2015-11-20,67.18,66.04,66.75,66.1
186,2015-11-23,66.94,66.07,66.1,66.89
187,2015-11-24,67.09,66.42,66.43,66.82
188,2015-11-25,67.03,66.41,66.93,66.43
189,2015-11-27,66.75,66.19,66.51,66.56
190,2015-11-30,66.77,65.65,66.56,65.68
191,2015-12-01,66.07,65.32,65.77,65.83
192,2015-12-02,66.41,65.58,65.82,65.68
193,2015-12-03,65.96,64.99,65.7,65.58
194,2015-12-04,66.76,65.7,65.97,66.34
195,2015-12-07,66.56,66.09,66.39,66.34
196,2015-12-08,66.5,65.88,66.05,66.18
197,2015-12-09,67.1,65.75,66.02,66.08
198,2015-12-10,66.66,65.98,66.08,66.13
199,2015-12-11,65.78,65.03,65.37,65.21
200,2015-12-14,65.9,65.0,65.29,65.85
201,2015-12-15,67.11,66.23,66.33,66.76
202,2015-12-16,68.49,66.99,67.0,68.33
203,2015-12-17,68.3,67.3,68.19,67.33
204,2015-12-18,66.97,65.57,66.9,65.57
205,2015-12-21,66.15,65.5,66.02,65.98
206,2015-12-22,66.69,65.69,66.15,66.58
207,2015-12-23,67.39,66.78,66.86,67.16
208,2015-12-24,67.28,66.86,67.0,66.99
209,2015-12-28,66.95,66.65,66.76,66.89
210,2015-12-29,67.73,67.23,67.33,67.65
211,2015-12-30,68.07,67.39,67.66,67.53
212,2015-12-31,67.29,66.61,67.21,66.62
213,2016-01-04,65.41,63.98,65.4,64.71
214,2016-01-05,65.26,64.6,64.73,65.0
215,2016-01-06,64.64,63.96,64.21,64.14
216,2016-01-07,63.9,62.76,63.4,63.01
217,2016-01-08,63.42,62.37,63.1,62.55
218,2016-01-11,63.2,62.08,62.85,62.81
219,2016-01-12,63.5,62.67,63.27,63.38
220,2016-01-13,63.94,62.8,63.6,62.91
221,2016-01-14,64.14,62.98,63.03,63.53
222,2016-01-15,63.92,62.32,62.37,63.35
223,2016-01-19,64.52,63.7,63.79,64.29
224,2016-01-20,63.68,61.4,63.46,62.45
225,2016-01-21,63.96,61.91,62.32,63.65
226,2016-01-22,64.91,63.87,64.33,64.61
227,2016-01-25,64.61,63.76,64.33,63.93
228,2016-01-26,64.81,63.98,64.01,64.33
229,2016-01-27,65.1,63.88,64.29,64.3
230,2016-01-28,65.55,64.32,64.56,65.02
231,2016-01-29,67.65,64.35,64.99,67.53
232,2016-02-01,67.08,65.89,66.93,66.2
233,2016-02-02,66.08,65.17,65.62,65.36
234,2016-02-03,66.26,65.0,65.84,66.03
235,2016-02-04,66.23,65.5,65.9,65.99
236,2016-02-05,66.32,65.41,65.99,66.19
237,2016-02-08,66.29,65.24,65.65,66.07
238,2016-02-09,66.31,64.93,65.48,65.88
239,2016-02-10,66.83,65.71,66.39,65.81
240,2016-02-11,65.3,64.0,64.71,64.44
241,2016-02-12,65.75,64.54,64.78,65.7
242,2016-02-16,66.7,65.52,66.52,65.81
243,2016-02-17,67.2,65.96,66.12,67.06
244,2016-02-18,67.34,66.63,66.9,67.22
245,2016-02-19,67.48,66.36,67.2,67.46
246,2016-02-22,68.39,67.39,67.46,67.61
247,2016-02-23,67.71,67.02,67.39,67.2
248,2016-02-24,66.99,66.03,66.94,66.32
249,2016-02-25,67.45,66.33,66.61,67.42
250,2016-02-26,67.53,66.07,67.2,66.28
251,2016-02-29,66.7,65.61,66.44,65.64
252,2016-03-01,67.39,65.93,66.06,67.33
253,2016-03-02,67.42,66.39,67.06,67.08
254,2016-03-03,67.61,66.71,66.86,67.61
255,2016-03-04,68.32,67.28,67.42,68.16
256,2016-03-07,67.94,67.37,67.8,67.57
257,2016-03-08,67.93,66.86,67.21,67.53
258,2016-03-09,68.58,67.3,67.88,67.98
259,2016-03-10,68.45,67.53,68.11,68.23
260,2016-03-11,68.49,67.95,68.28,68.37
261,2016-03-14,68.59,67.83,68.34,68.24
262,2016-03-15,68.75,67.7,67.83,68.59
263,2016-03-16,68.82,67.86,68.41,68.68
264,2016-03-17,69.99,68.58,68.76,69.86
265,2016-03-18,70.5,69.66,69.98,70.48
266,2016-03-21,70.87,69.8,70.07,70.43
267,2016-03-22,70.3,69.28,70.0,69.56
268,2016-03-23,70.08,69.54,69.6,69.8
269,2016-03-24,69.96,69.38,69.54,69.91
270,2016-03-28,70.39,69.74,69.98,69.91
271,2016-03-29,70.67,69.55,70.0,70.51
272,2016-03-30,71.25,70.18,70.51,70.72
273,2016-03-31,71.0,70.51,70.72,70.65
274,2016-04-01,71.27,70.09,70.21,71.2
275,2016-04-04,71.27,70.59,70.87,71.16
276,2016-04-05,71.47,70.99,71.13,71.14
277,2016-04-06,71.42,70.87,71.11,71.41
278,2016-04-07,70.95,70.28,70.9,70.64
279,2016-04-08,71.15,70.5,71.09,71.07
280,2016-04-11,71.4,70.8,71.12,70.94
281,2016-04-12,71.37,70.77,70.83,71.23
282,2016-04-13,71.5,70.58,71.33,70.83
283,2016-04-14,71.19,70.71,70.81,70.8
284,2016-04-15,71.46,70.72,70.83,71.25
285,2016-04-18,71.47,70.78,70.9,71.32
286,2016-04-19,71.79,71.05,71.47,71.66
287,2016-04-20,71.53,70.3,71.34,70.31
288,2016-04-21,70.32,68.81,70.2,68.98
289,2016-04-22,69.09,68.24,68.76,69.06
290,2016-04-25,69.52,68.58,68.87,69.42
291,2016-04-26,69.75,68.78,69.74,68.96
292,2016-04-27,69.74,68.87,69.11,69.31
293,2016-04-28,71.59,69.39,69.4,71.16
294,2016-04-29,71.59,70.43,71.03,70.92
295,2016-05-02,72.39,71.42,71.47,72.37
296,2016-05-03,72.45,71.61,72.0,71.85
297,2016-05-04,72.0,71.11,71.55,71.88
298,2016-05-05,72.31,71.19,71.66,71.47
299,2016-05-06,71.85,71.19,71.49,71.82
300,2016-05-09,72.25,71.58,71.98,71.76
301,2016-05-10,72.25,71.76,71.86,72.2
302,2016-05-11,72.39,71.81,72.25,71.98
303,2016-05-12,72.72,71.92,72.29,72.65
304,2016-05-13,72.58,71.53,72.58,71.67
305,2016-05-16,72.22,71.47,71.59,72.02
306,2016-05-17,71.97,70.46,71.96,70.85
307,2016-05-18,70.69,69.73,70.69,70.13
308,2016-05-19,70.45,69.53,69.96,70.43
309,2016-05-20,70.79,69.92,70.79,70.02
310,2016-05-23,70.24,69.83,70.05,70.08
311,2016-05-24,71.08,70.33,70.43,70.87
312,2016-05-25,71.15,70.64,70.96,70.67
313,2016-05-26,70.95,70.35,70.68,70.49
314,2016-05-27,70.81,70.31,70.54,70.59
315,2016-05-31,70.96,70.1,70.76,70.41
316,2016-06-01,71.22,70.17,70.41,71.2
317,2016-06-02,71.42,70.87,71.02,71.42
318,2016-06-03,71.79,71.25,71.42,71.6
319,2016-06-06,72.07,71.41,71.6,71.84
320,2016-06-07,72.02,71.47,71.9,71.59
321,2016-06-08,72.1,71.35,71.46,72.0
322,2016-06-09,72.41,71.74,71.85,72.34
323,2016-06-10,72.23,71.74,72.0,72.12
324,2016-06-13,72.45,71.66,72.15,71.67
325,2016-06-14,72.17,71.22,71.48,72.09
326,2016-06-15,72.29,71.62,72.19,71.72
327,2016-06-16,72.07,71.36,71.56,72.0
328,2016-06-17,72.08,70.97,71.87,71.44
329,2016-06-20,72.4,71.61,71.9,71.64
330,2016-06-21,72.14,71.73,72.03,71.8
331,2016-06-22,72.5,71.88,71.98,72.25
332,2016-06-23,72.73,72.34,72.64,72.67
333,2016-06-24,71.8,70.15,71.11,70.58
334,2016-06-27,70.23,69.71,70.14,69.99
335,2016-06-28,71.15,70.03,70.37,71.13
336,2016-06-29,71.93,71.32,71.36,71.86
337,2016-06-30,73.2,71.86,71.9,73.2
338,2016-07-01,73.42,72.86,73.2,72.95
339,2016-07-05,73.69,72.63,72.69,73.28
340,2016-07-06,73.45,72.78,73.32,73.28
341,2016-07-07,73.71,73.08,73.28,73.4
342,2016-07-08,74.27,73.42,73.77,74.25
343,2016-07-11,74.58,73.72,74.05,74.49
344,2016-07-12,74.4,73.72,74.26,73.95
345,2016-07-13,74.5,73.89,74.18,74.47
346,2016-07-14,75.33,74.33,74.49,74.71
347,2016-07-15,75.29,74.5,74.94,74.72
348,2016-07-18,74.92,74.44,74.78,74.5
349,2016-07-19,74.56,74.09,74.21,74.56
350,2016-07-20,74.51,74.09,74.27,74.12
351,2016-07-21,74.09,73.61,73.88,73.87
352,2016-07-22,74.62,73.94,74.12,74.61
353,2016-07-25,74.57,73.99,74.4,74.23
354,2016-07-26,74.64,73.8,74.04,73.98
355,2016-07-27,74.17,72.91,74.17,73.28
356,2016-07-28,74.75,73.06,74.75,73.25
357,2016-07-29,74.97,73.07,73.12,74.43
358,2016-08-01,75.14,74.43,74.44,75.11
359,2016-08-02,75.34,74.46,75.25,74.87
360,2016-08-03,75.09,73.89,75.03,74.08
361,2016-08-04,75.06,74.21,74.21,74.78
362,2016-08-05,74.88,74.21,74.7,74.58
363,2016-08-08,74.51,73.94,74.48,74.43
364,2016-08-09,75.03,74.47,74.55,74.78
365,2016-08-10,75.07,74.58,74.82,74.84
366,2016-08-11,75.26,74.79,74.95,74.89
367,2016-08-12,75.38,74.84,75.0,74.97
368,2016-08-15,75.24,74.64,75.0,74.71
369,2016-08-16,74.85,74.27,74.5,74.32
370,2016-08-17,74.65,73.9,74.39,74.58
371,2016-08-18,74.86,74.48,74.58,74.59
372,2016-08-19,74.51,74.09,74.33,74.49
373,2016-08-22,74.65,74.11,74.38,74.5
374,2016-08-23,74.84,74.42,74.48,74.54
375,2016-08-24,74.46,74.0,74.4,74.36
376,2016-08-25,74.93,74.22,74.43,74.63
377,2016-08-26,75.35,74.21,74.64,74.47
378,2016-08-29,74.93,74.43,74.44,74.81
379,2016-08-30,74.8,74.34,74.71,74.5
380,2016-08-31,74.58,74.0,74.47,74.34
381,2016-09-01,74.43,73.87,74.38,74.27
382,2016-09-02,75.35,74.59,74.61,74.89
383,2016-09-06,75.28,74.61,74.7,75.27
384,2016-09-07,75.0,73.68,74.96,73.76
385,2016-09-08,73.75,72.94,73.73,72.99
386,2016-09-09,72.48,70.86,72.35,70.86
387,2016-09-12,72.84,71.28,71.39,72.78
388,2016-09-13,72.32,71.71,72.32,71.84
389,2016-09-14,72.26,71.65,72.03,71.85
390,2016-09-15,72.32,71.57,71.85,72.1
391,2016-09-16,72.08,71.38,71.83,71.96
392,2016-09-19,72.5,71.93,72.02,72.19
393,2016-09-20,72.9,72.46,72.66,72.48
394,2016-09-21,73.09,72.15,72.48,73.0
395,2016-09-22,73.63,73.15,73.2,73.53
396,2016-09-23,73.53,73.09,73.52,73.25
397,2016-09-26,73.39,72.81,73.05,73.11
398,2016-09-27,73.71,73.03,73.34,73.46
399,2016-09-28,73.95,72.99,73.86,73.6
400,2016-09-29,73.62,73.04,73.56,73.29
401,2016-09-30,74.5,73.51,73.55,74.14
402,2016-10-03,74.07,73.42,73.93,73.62
403,2016-10-04,73.73,72.58,73.64,72.8
404,2016-10-05,73.1,72.59,73.02,72.97
405,2016-10-06,73.52,72.67,72.87,73.28
406,2016-10-07,73.61,72.46,73.4,73.05
407,2016-10-10,73.5,72.4,73.36,72.61
408,2016-10-11,72.63,71.89,72.54,72.2
409,2016-10-12,72.6,72.02,72.15,72.43
410,2016-10-13,72.49,71.76,72.07,72.16
411,2016-10-14,72.9,72.16,72.4,72.31
412,2016-10-17,72.72,72.05,72.41,72.08
413,2016-10-18,72.64,71.93,72.64,71.93
414,2016-10-19,72.02,71.45,71.81,71.7
415,2016-10-20,71.62,70.86,71.32,70.92
416,2016-10-21,71.15,70.61,70.94,70.92
417,2016-10-24,71.36,70.86,71.0,71.03
418,2016-10-25,71.72,71.18,71.37,71.31
419,2016-10-26,71.35,70.71,71.3,71.26
420,2016-10-27,71.87,70.25,71.72,70.57
