,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,79.28,78.27,78.71,79.15
1,2015-03-03,79.42,78.78,79.15,79.14
2,2015-03-04,78.98,78.25,78.95,78.65
3,2015-03-05,78.97,78.2,78.65,78.89
4,2015-03-06,80.71,78.76,79.55,78.98
5,2015-03-09,80.02,78.62,78.87,79.84
6,2015-03-10,79.11,77.7,79.02,77.72
7,2015-03-11,78.53,77.72,78.05,78.23
8,2015-03-12,81.52,79.04,79.04,81.45
9,2015-03-13,81.4,79.27,81.4,80.0
10,2015-03-16,81.77,80.53,80.64,81.47
11,2015-03-17,81.65,80.67,81.0,81.5
12,2015-03-18,81.91,80.51,80.97,81.62
13,2015-03-19,81.59,80.53,81.48,80.62
14,2015-03-20,81.45,80.76,80.97,81.13
15,2015-03-23,81.99,81.18,81.27,81.25
16,2015-03-24,80.96,80.13,80.94,80.14
17,2015-03-25,80.18,78.84,80.18,78.84
18,2015-03-26,78.9,77.89,78.8,78.51
19,2015-03-27,79.02,78.05,78.47,78.65
20,2015-03-30,79.61,79.06,79.19,79.2
21,2015-03-31,79.19,78.45,78.58,78.82
22,2015-04-01,80.04,78.57,78.83,79.87
23,2015-04-02,80.44,79.46,79.64,80.31
24,2015-04-06,80.84,79.14,79.43,80.32
25,2015-04-07,80.28,79.67,79.86,79.67
26,2015-04-08,81.04,79.65,79.66,80.19
27,2015-04-09,80.41,79.62,80.04,80.36
28,2015-04-10,80.66,80.01,80.23,80.61
29,2015-04-13,81.33,80.43,80.61,81.09
30,2015-04-14,81.47,80.77,81.09,81.35
31,2015-04-15,82.96,81.36,81.55,82.82
32,2015-04-16,83.21,82.52,82.62,83.01
33,2015-04-17,82.62,81.82,82.4,82.0
34,2015-04-20,82.64,82.05,82.36,82.19
35,2015-04-21,82.61,81.5,82.5,81.53
36,2015-04-22,81.89,81.04,81.55,81.76
37,2015-04-23,82.34,81.55,81.68,81.86
38,2015-04-24,81.06,79.36,80.09,80.44
39,2015-04-27,81.07,80.3,80.58,80.36
40,2015-04-28,80.92,80.06,80.52,80.73
41,2015-04-29,80.99,79.84,80.6,80.36
42,2015-04-30,80.85,79.82,80.23,80.85
