,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,30.31,29.34,29.36,30.19
1,2015-03-03,30.12,29.47,30.1,29.54
2,2015-03-04,29.52,29.11,29.35,29.33
3,2015-03-05,29.49,29.12,29.47,29.3
4,2015-03-06,29.27,28.8,29.11,28.93
5,2015-03-09,29.45,28.76,28.9,29.36
6,2015-03-10,29.17,28.66,29.15,28.66
7,2015-03-11,28.76,28.21,28.68,28.26
8,2015-03-12,28.54,28.05,28.05,28.24
9,2015-03-13,28.26,27.57,28.02,27.94
10,2015-03-16,28.38,28.04,28.1,28.3
11,2015-03-17,28.28,27.95,28.19,28.15
12,2015-03-18,28.34,27.72,27.88,28.15
13,2015-03-19,28.54,28.03,28.1,28.26
14,2015-03-20,28.62,28.32,28.45,28.44
15,2015-03-23,28.69,28.36,28.44,28.41
16,2015-03-24,28.57,27.99,28.29,28.0
17,2015-03-25,28.09,27.46,27.92,27.46
18,2015-03-26,27.31,26.62,27.19,27.09
19,2015-03-27,27.21,26.94,27.07,27.13
20,2015-03-30,27.75,27.22,27.22,27.65
21,2015-03-31,27.69,27.28,27.34,27.53
22,2015-04-01,27.64,27.1,27.31,27.25
23,2015-04-02,27.5,27.13,27.22,27.13
24,2015-04-06,27.32,26.84,26.96,27.22
25,2015-04-07,27.56,27.13,27.2,27.39
26,2015-04-08,27.66,27.37,27.37,27.55
27,2015-04-09,27.74,27.42,27.59,27.63
28,2015-04-10,28.08,27.56,27.58,28.04
29,2015-04-13,28.28,27.94,27.99,27.98
30,2015-04-14,28.06,27.68,28.0,27.81
31,2015-04-15,28.42,27.97,28.1,28.25
32,2015-04-16,28.64,28.1,28.19,28.6
33,2015-04-17,28.4,27.9,28.26,27.92
34,2015-04-20,28.63,28.16,28.16,28.48
35,2015-04-21,28.92,28.66,28.72,28.69
36,2015-04-22,28.79,28.42,28.67,28.62
37,2015-04-23,28.82,28.2,28.4,28.68
38,2015-04-24,29.28,28.67,29.19,28.82
39,2015-04-27,29.03,28.71,28.88,28.89
40,2015-04-28,29.33,28.76,28.8,29.32
41,2015-04-29,29.25,28.9,29.06,29.05
42,2015-04-30,29.02,28.68,28.85,28.83
43,2015-05-01,29.2,28.78,28.81,29.13
44,2015-05-04,29.36,29.07,29.08,29.17
45,2015-05-05,29.21,28.84,29.17,28.89
46,2015-05-06,29.08,28.69,28.9,28.97
47,2015-05-07,29.12,28.74,28.99,28.81
48,2015-05-08,29.37,28.99,28.99,29.23
49,2015-05-11,29.79,29.2,29.5,29.21
50,2015-05-12,29.44,28.8,29.07,29.23
51,2015-05-13,29.47,29.13,29.14,29.35
52,2015-05-14,29.66,28.97,29.29,29.05
53,2015-05-15,29.82,29.16,29.24,29.55
54,2015-05-18,29.9,29.42,29.42,29.76
55,2015-05-19,29.9,29.63,29.87,29.74
56,2015-05-20,29.85,29.53,29.8,29.62
57,2015-05-21,29.77,29.43,29.61,29.43
58,2015-05-22,29.45,29.26,29.39,29.26
59,2015-05-26,29.25,28.75,29.19,28.95
60,2015-05-27,29.48,29.02,29.06,29.31
61,2015-05-28,29.56,29.16,29.34,29.35
62,2015-05-29,29.59,29.19,29.32,29.31
63,2015-06-01,29.62,29.05,29.6,29.18
64,2015-06-02,29.27,28.95,29.09,29.08
65,2015-06-03,29.3,29.05,29.21,29.09
66,2015-06-04,29.1,28.54,28.9,28.61
67,2015-06-05,28.71,28.49,28.55,28.58
68,2015-06-08,28.7,28.23,28.67,28.28
69,2015-06-09,28.42,28.01,28.27,28.24
70,2015-06-10,28.91,28.27,28.47,28.66
71,2015-06-11,29.22,28.75,28.75,28.86
72,2015-06-12,28.67,28.31,28.66,28.54
73,2015-06-15,28.52,28.11,28.23,28.48
74,2015-06-16,28.79,28.28,28.35,28.71
75,2015-06-17,29.04,28.66,28.84,28.93
76,2015-06-18,29.35,28.82,28.85,29.21
77,2015-06-19,29.32,28.94,29.24,29.03
78,2015-06-22,29.22,28.82,29.1,28.94
79,2015-06-23,29.04,28.62,29.0,28.79
80,2015-06-24,28.85,28.49,28.79,28.51
81,2015-06-25,28.65,28.38,28.56,28.4
82,2015-06-26,28.49,28.01,28.49,28.28
83,2015-06-29,28.11,27.5,27.99,27.54
84,2015-06-30,27.83,27.33,27.83,27.46
85,2015-07-01,27.5,27.07,27.42,27.35
86,2015-07-02,27.57,27.29,27.37,27.33
87,2015-07-06,27.26,26.89,27.0,27.22
88,2015-07-07,27.45,26.89,27.22,27.36
89,2015-07-08,27.16,26.84,27.08,26.99
90,2015-07-09,27.45,26.9,27.38,26.91
91,2015-07-10,27.36,27.04,27.27,27.28
92,2015-07-13,27.8,27.42,27.49,27.79
93,2015-07-14,28.04,27.7,27.87,28.03
94,2015-07-15,28.24,27.81,27.86,28.11
95,2015-07-16,28.42,28.21,28.24,28.32
96,2015-07-17,28.31,27.97,28.27,28.18
97,2015-07-20,28.16,27.88,28.13,28.03
98,2015-07-21,28.25,27.79,27.96,27.84
99,2015-07-22,28.06,27.44,27.83,27.53
100,2015-07-23,28.25,27.58,27.7,28.01
101,2015-07-24,28.77,28.38,28.45,28.4
102,2015-07-27,28.56,28.19,28.31,28.21
103,2015-07-28,28.35,27.85,28.34,28.21
104,2015-07-29,28.52,28.02,28.2,28.4
105,2015-07-30,28.46,28.2,28.22,28.3
106,2015-07-31,28.56,28.16,28.39,28.42
107,2015-08-03,28.59,28.11,28.41,28.36
108,2015-08-04,28.46,27.89,28.22,28.03
109,2015-08-05,28.6,28.1,28.11,28.27
110,2015-08-06,28.67,28.0,28.37,28.21
111,2015-08-07,28.23,27.9,28.17,28.15
112,2015-08-10,28.7,28.27,28.48,28.59
113,2015-08-11,28.39,27.85,28.24,28.02
114,2015-08-12,28.1,27.41,27.8,27.9
115,2015-08-13,29.21,28.69,28.78,28.7
116,2015-08-14,29.05,28.75,28.78,29.03
117,2015-08-17,28.97,28.51,28.65,28.83
118,2015-08-18,28.72,28.18,28.71,28.25
119,2015-08-19,28.24,27.72,28.1,27.8
120,2015-08-20,27.75,27.04,27.56,27.04
121,2015-08-21,27.34,26.47,26.88,26.47
122,2015-08-24,26.08,23.03,24.89,25.19
123,2015-08-25,25.99,24.6,25.94,24.62
124,2015-08-26,25.74,24.71,25.28,25.68
125,2015-08-27,26.19,25.61,26.0,26.17
126,2015-08-28,26.05,25.82,25.91,26.0
127,2015-08-31,26.11,25.74,25.94,25.88
128,2015-09-01,25.62,25.01,25.22,25.12
129,2015-09-02,25.66,25.08,25.59,25.65
130,2015-09-03,26.15,25.73,25.88,25.9
131,2015-09-04,25.65,25.35,25.42,25.52
132,2015-09-08,26.33,25.91,25.98,26.3
133,2015-09-09,26.73,25.88,26.5,25.94
134,2015-09-10,26.49,25.85,25.9,26.26
135,2015-09-11,26.18,25.81,26.0,26.02
136,2015-09-14,26.17,25.66,26.15,25.7
137,2015-09-15,26.08,25.56,25.56,25.98
138,2015-09-16,26.1,25.85,26.07,26.07
139,2015-09-17,26.28,25.81,25.96,25.88
140,2015-09-18,25.74,25.25,25.57,25.54
141,2015-09-21,25.82,25.35,25.45,25.54
142,2015-09-22,25.21,24.97,25.06,25.14
143,2015-09-23,25.31,25.01,25.22,25.28
144,2015-09-24,25.5,24.92,25.09,25.41
145,2015-09-25,26.3,25.8,25.81,26.03
146,2015-09-28,26.02,25.59,25.83,25.66
147,2015-09-29,25.93,25.56,25.64,25.64
148,2015-09-30,26.38,25.88,26.0,26.25
149,2015-10-01,26.16,25.55,26.05,25.73
150,2015-10-02,25.79,25.34,25.4,25.76
151,2015-10-05,26.98,25.97,26.04,26.85
152,2015-10-06,27.47,26.98,27.03,27.23
153,2015-10-07,27.95,27.0,27.52,27.54
154,2015-10-08,28.02,27.43,27.51,27.91
155,2015-10-09,28.15,27.82,28.01,27.91
156,2015-10-12,28.1,27.76,27.93,27.96
157,2015-10-13,27.95,27.74,27.75,27.85
158,2015-10-14,27.9,27.59,27.75,27.82
159,2015-10-15,28.19,27.87,28.1,28.15
160,2015-10-16,28.35,28.0,28.34,28.25
161,2015-10-19,28.29,27.94,28.12,28.25
162,2015-10-20,28.52,28.15,28.2,28.5
163,2015-10-21,28.82,28.22,28.6,28.28
164,2015-10-22,29.21,28.5,28.56,29.01
165,2015-10-23,29.38,28.93,29.02,29.35
166,2015-10-26,29.49,28.88,29.32,28.95
167,2015-10-27,29.06,28.58,28.72,29.05
168,2015-10-28,29.45,29.04,29.29,29.36
169,2015-10-29,29.21,28.93,29.15,29.14
170,2015-10-30,29.25,28.85,29.0,28.85
171,2015-11-02,28.87,28.51,28.87,28.77
172,2015-11-03,28.71,28.49,28.61,28.61
173,2015-11-04,28.82,28.37,28.79,28.47
174,2015-11-05,28.61,28.29,28.5,28.43
175,2015-11-06,28.55,28.16,28.31,28.45
176,2015-11-09,28.49,28.0,28.35,28.18
177,2015-11-10,28.22,27.9,28.18,27.98
178,2015-11-11,28.1,27.75,28.1,27.82
179,2015-11-12,28.07,27.72,27.74,27.83
180,2015-11-13,26.68,25.82,26.29,26.21
181,2015-11-16,27.0,26.06,26.07,26.79
182,2015-11-17,27.27,26.68,26.8,26.81
183,2015-11-18,27.16,26.73,27.0,27.12
184,2015-11-19,27.65,27.05,27.1,27.37
185,2015-11-20,27.78,27.46,27.59,27.57
186,2015-11-23,27.84,27.34,27.65,27.43
187,2015-11-24,27.44,27.0,27.25,27.27
188,2015-11-25,27.39,27.0,27.32,27.24
189,2015-11-27,27.48,27.24,27.25,27.32
190,2015-11-30,27.48,27.2,27.34,27.25
191,2015-12-01,27.65,27.2,27.2,27.57
192,2015-12-02,27.9,27.37,27.49,27.44
193,2015-12-03,27.69,26.82,27.63,26.95
194,2015-12-04,27.55,26.95,26.95,27.48
195,2015-12-07,27.56,27.26,27.56,27.49
196,2015-12-08,27.29,27.02,27.17,27.15
197,2015-12-09,27.35,26.66,26.96,26.73
198,2015-12-10,27.04,26.66,26.74,26.77
199,2015-12-11,26.49,26.13,26.49,26.16
200,2015-12-14,26.52,25.96,26.3,26.49
201,2015-12-15,27.11,26.61,26.72,26.85
202,2015-12-16,27.29,26.68,27.0,27.24
203,2015-12-17,27.31,26.7,27.29,26.72
204,2015-12-18,26.82,26.26,26.6,26.27
205,2015-12-21,26.65,26.41,26.58,26.64
206,2015-12-22,26.9,26.56,26.85,26.89
207,2015-12-23,27.41,27.0,27.04,27.4
208,2015-12-24,27.55,27.37,27.41,27.38
209,2015-12-28,27.37,27.13,27.3,27.31
210,2015-12-29,27.82,27.4,27.44,27.77
211,2015-12-30,27.77,27.52,27.66,27.53
212,2015-12-31,27.45,27.14,27.38,27.16
213,2016-01-04,26.42,25.88,26.39,26.41
214,2016-01-05,26.66,26.18,26.54,26.29
215,2016-01-06,26.14,25.82,26.08,26.01
216,2016-01-07,25.74,25.12,25.49,25.41
217,2016-01-08,25.63,24.72,25.55,24.78
218,2016-01-11,25.35,24.93,24.93,25.27
219,2016-01-12,25.57,25.03,25.51,25.35
220,2016-01-13,25.52,24.57,25.42,24.6
221,2016-01-14,24.9,24.46,24.69,24.66
222,2016-01-15,24.43,23.57,23.93,23.62
223,2016-01-19,24.03,23.59,23.8,23.85
224,2016-01-20,23.51,22.47,23.4,22.9
225,2016-01-21,23.45,22.87,23.09,22.9
226,2016-01-22,23.64,22.99,23.6,23.37
227,2016-01-25,23.52,23.14,23.38,23.17
228,2016-01-26,23.85,23.24,23.24,23.72
229,2016-01-27,23.9,23.3,23.69,23.43
230,2016-01-28,23.79,22.98,23.73,23.11
231,2016-01-29,23.8,23.2,23.4,23.79
232,2016-02-01,23.57,23.23,23.46,23.48
233,2016-02-02,23.25,22.73,23.23,22.83
234,2016-02-03,23.18,22.58,23.09,23.1
235,2016-02-04,23.57,22.93,23.17,23.54
236,2016-02-05,23.66,22.81,23.51,22.89
237,2016-02-08,23.02,22.48,22.63,22.93
238,2016-02-09,22.86,22.53,22.6,22.65
239,2016-02-10,23.13,22.46,23.13,22.51
240,2016-02-11,24.97,24.09,24.09,24.68
241,2016-02-12,25.36,24.52,24.89,25.11
242,2016-02-16,25.98,25.19,25.27,25.84
243,2016-02-17,26.59,26.08,26.17,26.46
244,2016-02-18,26.58,26.28,26.44,26.43
245,2016-02-19,26.56,26.25,26.27,26.55
246,2016-02-22,26.91,26.42,26.87,26.63
247,2016-02-23,26.54,26.06,26.54,26.12
248,2016-02-24,26.33,25.65,25.89,26.32
249,2016-02-25,26.6,26.2,26.49,26.6
250,2016-02-26,26.85,26.32,26.8,26.41
251,2016-02-29,26.65,26.15,26.42,26.18
252,2016-03-01,26.93,26.24,26.45,26.83
253,2016-03-02,26.91,26.6,26.8,26.9
254,2016-03-03,26.97,26.59,26.95,26.87
255,2016-03-04,26.96,26.67,26.92,26.8
256,2016-03-07,27.18,26.33,26.58,27.14
257,2016-03-08,27.3,26.69,26.97,27.05
258,2016-03-09,27.8,27.12,27.24,27.61
259,2016-03-10,27.98,27.03,27.76,27.38
260,2016-03-11,27.91,27.67,27.82,27.86
261,2016-03-14,27.86,27.6,27.82,27.7
262,2016-03-15,27.69,27.45,27.48,27.66
263,2016-03-16,27.95,27.51,27.52,27.88
264,2016-03-17,28.44,27.87,27.92,28.19
265,2016-03-18,28.38,27.97,28.23,28.33
266,2016-03-21,28.35,28.04,28.1,28.19
267,2016-03-22,28.38,27.9,28.2,28.28
268,2016-03-23,28.28,27.73,28.26,27.83
269,2016-03-24,28.01,27.59,27.77,27.96
270,2016-03-28,28.03,27.79,27.99,27.9
271,2016-03-29,28.19,27.69,27.87,28.1
272,2016-03-30,28.68,28.26,28.34,28.46
273,2016-03-31,28.67,28.35,28.53,28.47
274,2016-04-01,28.7,28.12,28.3,28.69
275,2016-04-04,28.41,28.01,28.37,28.14
276,2016-04-05,27.83,27.46,27.64,27.58
277,2016-04-06,28.04,27.62,27.7,28.0
278,2016-04-07,27.9,27.53,27.9,27.6
279,2016-04-08,27.95,27.58,27.71,27.69
280,2016-04-11,28.18,27.61,27.88,27.62
281,2016-04-12,27.66,26.95,27.14,27.64
282,2016-04-13,28.28,27.72,27.96,28.23
283,2016-04-14,28.4,28.1,28.38,28.25
284,2016-04-15,28.13,27.73,28.1,27.9
285,2016-04-18,28.25,27.8,27.9,28.19
286,2016-04-19,28.44,28.2,28.33,28.33
287,2016-04-20,28.68,28.26,28.4,28.44
288,2016-04-21,28.51,28.16,28.42,28.24
289,2016-04-22,28.55,28.07,28.3,28.15
290,2016-04-25,28.28,27.98,28.11,28.23
291,2016-04-26,28.49,28.22,28.27,28.45
292,2016-04-27,28.65,28.31,28.44,28.64
293,2016-04-28,28.59,27.79,28.45,27.96
294,2016-04-29,27.83,27.14,27.72,27.49
295,2016-05-02,27.52,27.2,27.48,27.37
296,2016-05-03,27.19,26.61,27.16,26.86
297,2016-05-04,26.82,26.28,26.8,26.44
298,2016-05-05,26.57,26.21,26.46,26.21
299,2016-05-06,26.54,25.81,26.19,26.53
300,2016-05-09,26.68,26.39,26.52,26.51
301,2016-05-10,27.1,26.51,26.67,27.03
302,2016-05-11,27.11,26.68,27.09,26.7
303,2016-05-12,26.81,26.41,26.81,26.67
304,2016-05-13,26.89,26.46,26.55,26.53
305,2016-05-16,27.12,26.56,26.57,26.97
306,2016-05-17,27.06,26.55,26.9,26.65
307,2016-05-18,26.96,26.49,26.61,26.72
308,2016-05-19,28.29,27.4,27.99,27.57
309,2016-05-20,28.15,27.62,27.63,27.97
310,2016-05-23,28.25,27.78,27.78,27.94
311,2016-05-24,28.58,28.01,28.01,28.47
312,2016-05-25,29.0,28.52,28.58,28.92
313,2016-05-26,29.04,28.8,28.86,28.9
314,2016-05-27,29.04,28.79,28.95,28.92
315,2016-05-31,29.08,28.76,28.8,29.05
316,2016-06-01,29.04,28.8,28.84,28.9
317,2016-06-02,29.15,28.92,28.98,29.08
318,2016-06-03,29.21,28.9,29.13,29.13
319,2016-06-06,29.41,29.06,29.07,29.1
320,2016-06-07,29.35,28.82,28.9,29.07
321,2016-06-08,29.27,29.06,29.09,29.14
322,2016-06-09,29.19,28.83,28.97,29.14
323,2016-06-10,29.03,28.77,28.79,29.03
324,2016-06-13,29.19,28.82,28.97,28.84
325,2016-06-14,29.0,28.63,28.66,28.96
326,2016-06-15,28.86,28.41,28.49,28.65
327,2016-06-16,28.92,28.37,28.38,28.87
328,2016-06-17,29.0,28.69,28.88,28.95
329,2016-06-20,29.22,28.78,29.04,28.8
330,2016-06-21,29.0,28.73,28.97,28.77
331,2016-06-22,29.08,28.68,28.87,28.72
