,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,106.34,104.93,106.32,105.9
1,2015-03-03,106.22,104.81,105.88,105.16
2,2015-03-04,105.64,104.44,105.64,105.16
3,2015-03-05,105.31,104.33,105.01,104.73
4,2015-03-06,104.52,103.17,104.22,103.55
5,2015-03-09,105.63,103.5,103.6,103.95
6,2015-03-10,104.55,102.33,103.79,102.91
7,2015-03-11,103.89,102.45,103.52,103.54
8,2015-03-12,104.51,102.3,104.22,102.42
9,2015-03-13,101.84,100.66,101.84,101.62
10,2015-03-16,103.27,101.0,101.44,103.13
11,2015-03-17,103.55,102.1,102.3,103.17
12,2015-03-18,106.88,102.37,102.61,106.7
13,2015-03-19,105.4,104.65,105.1,104.75
14,2015-03-20,107.26,105.11,105.29,107.03
15,2015-03-23,107.69,105.92,107.51,105.92
16,2015-03-24,106.19,104.16,105.92,104.2
17,2015-03-25,106.2,104.33,104.66,105.67
18,2015-03-26,106.52,104.16,106.28,105.25
19,2015-03-27,104.99,103.67,104.99,104.28
20,2015-03-30,107.21,104.97,104.97,106.9
21,2015-03-31,106.07,104.88,105.62,104.98
22,2015-04-01,106.22,104.5,105.77,104.79
23,2015-04-02,105.68,104.08,104.45,105.28
24,2015-04-06,107.86,105.22,106.03,106.92
25,2015-04-07,109.09,106.62,106.97,108.54
26,2015-04-08,108.92,106.52,108.86,106.66
27,2015-04-09,107.24,106.18,106.8,106.95
28,2015-04-10,107.66,106.81,107.47,106.91
29,2015-04-13,107.9,106.44,107.35,106.5
30,2015-04-14,109.09,107.26,107.7,108.84
31,2015-04-15,110.69,109.38,109.59,110.41
32,2015-04-16,110.94,109.0,109.9,110.16
33,2015-04-17,109.69,108.26,109.36,109.11
34,2015-04-20,111.71,109.55,109.57,110.29
35,2015-04-21,110.74,109.31,110.05,109.73
36,2015-04-22,110.44,109.21,110.05,109.5
37,2015-04-23,110.65,109.6,110.0,109.97
38,2015-04-24,110.04,109.03,109.67,109.87
39,2015-04-27,110.74,109.54,110.34,109.7
40,2015-04-28,111.24,109.65,110.05,111.12
41,2015-04-29,111.99,110.68,110.82,111.73
42,2015-04-30,112.2,110.44,112.04,111.06
43,2015-05-01,110.8,108.34,110.28,109.04
44,2015-05-04,109.41,107.99,109.38,108.32
45,2015-05-05,109.93,108.0,109.24,108.0
46,2015-05-06,109.53,107.3,109.24,107.95
47,2015-05-07,108.2,106.69,107.69,107.57
48,2015-05-08,108.8,107.4,108.29,108.65
49,2015-05-11,108.69,107.3,108.65,107.36
50,2015-05-12,108.0,107.1,107.44,107.56
51,2015-05-13,108.47,107.3,107.98,107.7
52,2015-05-14,109.3,108.02,108.02,108.45
53,2015-05-15,108.33,106.94,107.21,108.03
54,2015-05-18,107.51,106.58,107.5,106.65
55,2015-05-19,106.31,105.0,106.05,105.02
56,2015-05-20,105.9,104.76,105.42,105.25
57,2015-05-21,106.27,105.3,105.97,105.49
58,2015-05-22,105.55,104.86,105.09,104.89
59,2015-05-26,104.44,102.93,104.22,103.29
60,2015-05-27,103.78,102.73,103.2,103.11
61,2015-05-28,103.42,102.38,102.96,103.24
62,2015-05-29,103.57,102.67,103.14,103.0
63,2015-06-01,103.75,102.49,103.47,102.63
64,2015-06-02,103.11,102.11,102.65,102.58
65,2015-06-03,103.38,102.12,102.4,102.17
66,2015-06-04,102.37,100.98,101.89,101.39
67,2015-06-05,103.1,100.99,101.18,101.59
68,2015-06-08,101.39,99.95,101.29,100.42
69,2015-06-09,101.25,100.22,100.7,100.42
70,2015-06-10,102.58,101.52,102.52,101.83
71,2015-06-11,102.2,100.94,101.87,101.12
72,2015-06-12,100.69,99.63,100.52,99.87
73,2015-06-15,100.06,99.13,99.45,99.29
74,2015-06-16,100.45,98.81,99.2,100.04
75,2015-06-17,101.17,99.52,100.83,99.76
76,2015-06-18,100.9,100.15,100.26,100.25
77,2015-06-19,100.17,99.46,99.72,99.47
78,2015-06-22,100.37,99.37,99.83,100.29
79,2015-06-23,100.43,99.54,99.96,100.09
80,2015-06-24,100.68,99.27,99.98,99.27
81,2015-06-25,99.66,98.29,99.45,98.34
82,2015-06-26,98.69,97.81,98.24,98.6
83,2015-06-29,97.96,96.6,97.5,96.69
84,2015-06-30,97.66,96.22,97.45,96.47
85,2015-07-01,96.62,95.55,96.3,96.09
86,2015-07-02,96.67,95.72,96.36,95.87
87,2015-07-06,95.56,94.48,95.06,94.77
88,2015-07-07,95.48,93.5,94.41,95.27
89,2015-07-08,95.09,93.26,94.59,93.56
90,2015-07-09,95.21,93.76,94.9,93.78
91,2015-07-10,94.95,94.07,94.53,94.41
92,2015-07-13,94.89,94.15,94.31,94.6
93,2015-07-14,95.79,94.39,94.4,95.55
94,2015-07-15,95.7,93.89,95.04,94.24
95,2015-07-16,94.73,93.9,94.28,94.48
96,2015-07-17,94.39,92.9,94.23,93.15
