,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,53.52,52.05,52.42,53.49
1,2015-03-03,54.0,53.43,53.94,53.73
2,2015-03-04,53.86,53.24,53.48,53.67
3,2015-03-05,53.73,53.15,53.71,53.56
4,2015-03-06,54.01,52.93,53.75,53.06
5,2015-03-09,53.17,52.77,52.88,52.95
6,2015-03-10,52.3,51.23,52.07,51.23
7,2015-03-11,52.76,51.52,51.62,52.33
8,2015-03-12,54.72,53.45,54.0,54.08
9,2015-03-13,54.24,53.26,53.9,53.54
10,2015-03-16,54.04,53.4,53.74,53.69
11,2015-03-17,53.99,53.16,53.21,53.84
12,2015-03-18,53.94,53.17,53.42,53.72
13,2015-03-19,53.62,52.2,53.57,52.38
14,2015-03-20,53.17,52.41,52.44,52.98
15,2015-03-23,53.05,52.48,53.03,52.48
16,2015-03-24,52.44,51.94,52.35,51.94
17,2015-03-25,52.11,51.35,51.98,51.38
18,2015-03-26,51.46,50.47,51.19,51.19
19,2015-03-27,51.49,50.72,51.49,51.0
20,2015-03-30,52.0,51.31,51.33,51.64
21,2015-03-31,51.77,51.16,51.26,51.52
22,2015-04-01,51.9,51.01,51.37,51.62
23,2015-04-02,52.22,51.59,51.68,51.86
24,2015-04-06,51.96,50.98,51.16,51.62
25,2015-04-07,51.93,51.39,51.83,51.52
26,2015-04-08,52.22,51.63,51.67,51.89
27,2015-04-09,52.21,51.69,51.73,52.13
28,2015-04-10,52.68,51.98,52.08,52.43
29,2015-04-13,52.95,52.41,52.48,52.66
30,2015-04-14,53.0,52.38,52.93,52.73
31,2015-04-15,53.38,52.75,52.93,53.21
32,2015-04-16,54.46,53.8,53.98,54.02
33,2015-04-17,54.1,52.95,53.51,53.07
34,2015-04-20,53.57,53.09,53.3,53.2
35,2015-04-21,53.46,52.25,53.35,52.48
36,2015-04-22,53.38,52.35,52.52,53.1
37,2015-04-23,53.4,52.82,53.01,53.22
38,2015-04-24,53.22,52.85,53.16,52.9
39,2015-04-27,53.39,52.78,52.88,52.8
40,2015-04-28,53.1,52.25,52.67,53.02
41,2015-04-29,53.99,52.61,52.65,53.76
42,2015-04-30,53.97,52.92,53.75,53.32
43,2015-05-01,53.84,53.31,53.64,53.76
44,2015-05-04,54.26,53.74,53.85,54.17
45,2015-05-05,54.3,53.25,53.99,53.35
46,2015-05-06,53.9,52.35,53.56,52.82
47,2015-05-07,53.44,52.41,52.59,53.31
48,2015-05-08,54.11,53.3,53.55,54.02
49,2015-05-11,54.16,53.8,53.92,53.97
50,2015-05-12,53.98,53.23,53.67,53.74
51,2015-05-13,54.36,53.48,53.72,54.2
52,2015-05-14,54.73,54.33,54.43,54.6
53,2015-05-15,54.61,54.03,54.59,54.24
54,2015-05-18,54.9,54.17,54.19,54.67
55,2015-05-19,55.37,54.75,54.79,55.33
56,2015-05-20,55.3,54.75,55.27,54.89
57,2015-05-21,55.1,54.61,54.69,54.84
58,2015-05-22,55.33,54.68,54.78,54.97
59,2015-05-26,54.84,54.01,54.75,54.24
60,2015-05-27,54.98,54.2,54.34,54.87
61,2015-05-28,54.82,54.22,54.82,54.55
62,2015-05-29,54.49,53.87,54.46,54.08
63,2015-06-01,55.05,54.44,54.68,54.45
64,2015-06-02,55.02,54.13,54.4,54.72
65,2015-06-03,56.02,55.01,55.04,55.63
66,2015-06-04,56.0,55.16,55.45,55.33
67,2015-06-05,56.58,55.84,56.02,56.24
68,2015-06-08,56.5,55.65,56.25,55.65
69,2015-06-09,56.36,55.22,55.57,56.0
70,2015-06-10,57.21,56.18,56.27,57.02
71,2015-06-11,57.5,56.93,57.2,57.21
72,2015-06-12,57.25,56.67,57.01,57.11
73,2015-06-15,56.94,56.11,56.62,56.65
74,2015-06-16,57.13,56.36,56.52,57.07
75,2015-06-17,57.15,56.38,57.07,56.54
76,2015-06-18,56.88,55.98,56.66,56.76
77,2015-06-19,56.81,56.17,56.51,56.23
78,2015-06-22,57.21,56.76,56.86,56.95
79,2015-06-23,57.64,57.12,57.28,57.39
80,2015-06-24,56.99,56.5,56.66,56.66
81,2015-06-25,57.06,56.18,56.99,56.19
82,2015-06-26,56.65,56.1,56.47,56.34
83,2015-06-29,55.62,54.85,55.04,54.88
84,2015-06-30,55.68,54.81,55.52,55.24
85,2015-07-01,56.01,55.24,56.01,55.68
86,2015-07-02,55.85,55.07,55.43,55.37
87,2015-07-06,55.25,54.5,54.79,55.08
88,2015-07-07,55.05,53.03,54.97,54.5
89,2015-07-08,53.81,52.77,53.81,52.8
90,2015-07-09,54.15,53.6,53.84,53.71
91,2015-07-10,54.79,54.3,54.55,54.56
92,2015-07-13,55.69,55.04,55.04,55.54
93,2015-07-14,56.12,55.24,55.37,55.91
94,2015-07-15,56.79,55.95,56.26,56.46
95,2015-07-16,58.65,57.71,57.9,58.59
96,2015-07-17,58.89,58.34,58.53,58.75
97,2015-07-20,59.3,58.63,58.96,58.85
98,2015-07-21,59.31,58.8,58.8,59.1
99,2015-07-22,60.53,59.03,59.12,60.34
100,2015-07-23,60.95,59.73,60.29,59.87
101,2015-07-24,59.77,58.33,59.7,58.7
102,2015-07-27,58.33,57.43,57.9,57.96
103,2015-07-28,58.5,57.78,58.45,58.37
104,2015-07-29,59.15,58.43,58.56,58.92
105,2015-07-30,59.05,58.3,58.73,58.88
106,2015-07-31,58.84,58.37,58.79,58.46
107,2015-08-03,58.67,57.95,58.62,58.44
108,2015-08-04,58.87,58.29,58.37,58.47
109,2015-08-05,59.25,58.6,58.94,58.74
110,2015-08-06,58.96,57.9,58.82,58.1
111,2015-08-07,58.61,57.44,58.18,57.91
112,2015-08-10,58.84,58.21,58.26,58.74
113,2015-08-11,58.25,57.24,58.01,57.64
114,2015-08-12,57.24,55.31,56.94,56.91
115,2015-08-13,57.6,56.5,57.03,57.33
116,2015-08-14,57.72,57.18,57.18,57.59
117,2015-08-17,57.85,56.99,57.16,57.77
118,2015-08-18,57.92,57.4,57.67,57.55
119,2015-08-19,57.52,56.56,57.18,57.0
120,2015-08-20,56.31,55.33,56.03,55.33
121,2015-08-21,55.05,53.58,54.4,53.6
122,2015-08-24,52.53,47.1,49.13,50.34
123,2015-08-25,52.75,49.88,52.7,49.88
124,2015-08-26,52.38,50.25,51.41,52.28
125,2015-08-27,53.62,52.35,53.19,53.44
126,2015-08-28,53.56,52.82,53.09,53.28
127,2015-08-31,53.66,52.72,53.13,53.48
128,2015-09-01,52.4,50.29,52.4,50.94
129,2015-09-02,52.03,50.99,51.81,51.75
130,2015-09-03,52.71,51.59,51.96,51.79
131,2015-09-04,51.3,50.12,51.13,50.59
132,2015-09-08,51.88,51.02,51.4,51.65
133,2015-09-09,52.62,50.73,52.4,50.88
134,2015-09-10,51.5,50.29,50.56,51.07
135,2015-09-11,51.15,50.63,51.01,51.1
136,2015-09-14,51.18,50.68,51.08,50.98
137,2015-09-15,52.29,51.06,51.18,52.0
138,2015-09-16,52.71,51.79,52.26,52.59
139,2015-09-17,53.0,51.38,52.61,51.65
140,2015-09-18,50.84,50.11,50.7,50.29
141,2015-09-21,51.1,50.36,50.82,50.71
142,2015-09-22,50.45,49.86,49.95,50.38
143,2015-09-23,50.65,49.95,50.4,50.12
144,2015-09-24,49.75,48.75,49.66,49.13
145,2015-09-25,50.72,49.87,50.17,50.55
146,2015-09-28,50.7,48.95,50.63,49.03
147,2015-09-29,49.45,48.47,49.05,49.0
148,2015-09-30,49.84,48.9,49.81,49.61
149,2015-10-01,50.0,49.22,49.42,49.89
150,2015-10-02,49.88,47.71,48.51,49.88
151,2015-10-05,51.34,50.34,50.4,51.16
152,2015-10-06,51.5,50.83,51.05,51.06
153,2015-10-07,51.85,50.89,51.48,51.32
154,2015-10-08,51.84,50.75,51.09,51.65
155,2015-10-09,52.02,50.93,51.82,51.38
156,2015-10-12,51.49,50.88,51.36,51.28
157,2015-10-13,51.71,50.83,50.85,51.21
158,2015-10-14,51.22,50.38,51.07,50.72
159,2015-10-15,53.18,51.12,51.83,52.97
160,2015-10-16,53.36,52.57,53.34,52.69
161,2015-10-19,53.18,52.33,52.36,52.86
162,2015-10-20,53.2,52.6,52.86,52.84
163,2015-10-21,53.16,51.79,52.99,51.81
164,2015-10-22,52.87,52.15,52.18,52.51
165,2015-10-23,53.67,52.95,53.0,53.64
166,2015-10-26,53.59,52.75,53.23,53.11
167,2015-10-27,52.91,52.24,52.71,52.61
168,2015-10-28,54.96,52.71,52.86,54.73
169,2015-10-29,55.06,53.62,54.5,53.66
170,2015-10-30,53.82,52.93,53.75,53.17
171,2015-11-02,54.05,53.34,53.45,53.83
172,2015-11-03,54.39,53.52,53.56,54.16
173,2015-11-04,54.5,53.66,54.37,53.83
174,2015-11-05,54.4,53.75,53.78,54.15
175,2015-11-06,56.46,55.49,55.77,55.87
176,2015-11-09,56.19,55.07,55.92,55.71
177,2015-11-10,56.17,55.0,55.53,55.8
178,2015-11-11,56.14,54.78,56.12,54.9
179,2015-11-12,54.52,53.45,54.52,53.46
180,2015-11-13,53.58,52.67,53.17,53.17
181,2015-11-16,53.69,52.49,52.96,53.69
182,2015-11-17,54.22,53.23,53.89,53.49
183,2015-11-18,55.03,53.76,53.85,54.98
184,2015-11-19,55.3,54.74,54.88,55.06
185,2015-11-20,55.37,54.55,55.37,54.75
186,2015-11-23,54.84,54.15,54.67,54.28
187,2015-11-24,54.51,53.71,53.81,54.18
188,2015-11-25,54.33,53.76,54.29,54.08
189,2015-11-27,54.37,53.72,54.06,54.21
190,2015-11-30,54.46,53.97,54.34,54.09
191,2015-12-01,54.91,54.25,54.4,54.88
192,2015-12-02,55.02,54.03,54.99,54.14
193,2015-12-03,54.6,53.35,54.42,53.51
194,2015-12-04,55.33,53.52,53.66,55.09
195,2015-12-07,54.88,53.91,54.77,54.4
196,2015-12-08,54.01,53.18,53.84,53.39
197,2015-12-09,53.81,52.31,53.05,52.81
198,2015-12-10,53.24,52.17,52.89,52.65
199,2015-12-11,52.21,50.67,51.94,51.11
200,2015-12-14,51.73,50.5,51.14,51.1
201,2015-12-15,52.8,51.85,51.85,52.52
202,2015-12-16,54.01,52.3,53.04,53.9
203,2015-12-17,54.2,52.71,54.01,52.84
204,2015-12-18,52.68,51.16,52.46,51.21
205,2015-12-21,51.91,51.08,51.71,51.79
206,2015-12-22,52.13,51.39,51.99,52.01
207,2015-12-23,52.64,52.08,52.3,52.63
208,2015-12-24,52.97,52.45,52.48,52.71
209,2015-12-28,52.57,51.96,52.57,52.38
210,2015-12-29,53.22,52.74,52.76,52.98
211,2015-12-30,52.94,52.25,52.84,52.3
212,2015-12-31,52.39,51.75,52.07,51.75
213,2016-01-04,51.19,50.19,50.75,51.13
214,2016-01-05,51.61,50.41,51.54,50.86
215,2016-01-06,50.58,49.76,50.1,50.12
216,2016-01-07,49.38,47.5,49.07,47.56
217,2016-01-08,48.74,46.03,48.73,46.13
218,2016-01-11,46.99,45.93,46.56,46.85
219,2016-01-12,47.5,46.27,47.5,46.88
220,2016-01-13,47.35,44.97,47.32,45.19
221,2016-01-14,45.82,44.57,45.42,45.38
222,2016-01-15,43.69,41.85,42.51,42.47
223,2016-01-19,43.12,41.66,42.85,41.94
224,2016-01-20,41.03,39.44,40.52,40.49
225,2016-01-21,41.39,40.03,40.51,40.15
226,2016-01-22,41.35,40.82,41.05,41.06
227,2016-01-25,40.96,39.45,40.81,39.55
228,2016-01-26,40.79,39.5,39.6,40.5
229,2016-01-27,41.69,40.23,40.37,40.56
230,2016-01-28,41.39,40.07,41.2,40.39
