,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,57.8,56.99,57.18,57.45
1,2015-03-03,57.36,56.33,57.25,56.67
2,2015-03-04,57.21,56.22,56.48,57.2
3,2015-03-05,57.83,57.01,57.19,57.38
4,2015-03-06,57.22,56.17,57.22,56.36
5,2015-03-09,56.92,56.25,56.39,56.67
6,2015-03-10,56.0,54.51,55.38,55.05
7,2015-03-11,56.13,54.75,54.8,55.09
8,2015-03-12,55.49,54.79,55.49,55.06
9,2015-03-13,56.37,54.85,55.05,55.3
10,2015-03-16,56.46,55.51,55.62,55.82
11,2015-03-17,55.41,54.03,55.26,54.17
12,2015-03-18,55.79,54.02,54.23,55.63
13,2015-03-19,56.35,55.38,55.6,55.96
14,2015-03-20,57.48,56.32,56.4,57.28
15,2015-03-23,57.97,57.27,57.44,57.27
16,2015-03-24,58.38,57.11,57.43,57.96
17,2015-03-25,58.25,56.07,57.88,56.09
18,2015-03-26,56.3,54.69,55.29,56.08
19,2015-03-27,58.28,56.2,56.43,58.24
20,2015-03-30,60.21,58.58,58.72,59.47
21,2015-03-31,59.44,58.49,59.0,58.82
22,2015-04-01,58.96,57.17,58.94,57.28
23,2015-04-02,57.98,56.95,57.24,57.65
24,2015-04-06,58.07,57.01,57.11,57.12
25,2015-04-07,58.14,56.97,57.04,57.8
26,2015-04-08,58.34,57.61,57.81,58.15
27,2015-04-09,58.85,57.32,57.98,57.5
28,2015-04-10,58.39,57.25,57.74,58.36
29,2015-04-13,58.44,57.23,58.29,57.33
30,2015-04-14,57.98,56.64,57.29,57.07
31,2015-04-15,57.69,56.62,57.14,56.86
32,2015-04-16,57.05,56.61,56.82,56.86
33,2015-04-17,56.58,55.52,56.4,56.03
34,2015-04-20,57.32,56.1,56.44,57.29
35,2015-04-21,59.13,57.36,57.54,59.03
36,2015-04-22,59.89,59.03,59.34,59.81
37,2015-04-23,60.28,59.44,59.76,59.88
38,2015-04-24,59.91,59.38,59.9,59.89
39,2015-04-27,60.63,59.69,59.99,59.84
40,2015-04-28,60.14,58.62,59.7,59.11
41,2015-04-29,59.51,58.2,58.88,58.62
42,2015-04-30,58.87,57.63,58.37,58.09
43,2015-05-01,59.52,58.11,58.25,59.33
44,2015-05-04,59.58,58.49,59.52,59.31
45,2015-05-05,59.68,58.55,59.41,59.16
46,2015-05-06,63.25,60.54,61.35,60.93
47,2015-05-07,61.45,60.16,61.21,60.27
48,2015-05-08,62.24,60.83,61.0,61.88
49,2015-05-11,63.46,61.6,61.9,62.59
50,2015-05-12,62.9,61.6,62.24,62.46
51,2015-05-13,62.22,60.84,62.0,61.73
52,2015-05-14,63.12,61.95,62.3,63.09
53,2015-05-15,63.32,62.49,62.81,62.88
54,2015-05-18,63.5,62.54,62.55,63.3
55,2015-05-19,62.98,62.4,62.56,62.61
56,2015-05-20,62.63,61.84,62.52,62.24
57,2015-05-21,62.91,61.61,62.26,62.69
58,2015-05-22,63.13,62.38,62.6,62.56
59,2015-05-26,62.97,62.27,62.57,62.53
60,2015-05-27,63.97,62.61,62.61,63.86
61,2015-05-28,64.3,63.23,63.33,63.27
62,2015-05-29,64.15,62.67,63.07,62.76
63,2015-06-01,63.3,62.2,63.06,62.89
64,2015-06-02,63.46,62.46,62.5,62.98
65,2015-06-03,63.69,63.02,63.33,63.37
66,2015-06-04,63.45,62.5,63.09,62.63
67,2015-06-05,63.14,62.09,62.6,62.9
68,2015-06-08,63.18,61.49,63.07,61.66
69,2015-06-09,62.0,61.11,61.58,61.78
70,2015-06-10,62.68,61.51,62.14,62.53
71,2015-06-11,62.82,62.15,62.48,62.59
72,2015-06-12,63.01,62.04,62.54,62.75
73,2015-06-15,62.06,61.38,62.06,61.57
74,2015-06-16,62.93,61.56,61.56,62.86
75,2015-06-17,64.65,63.04,63.07,64.48
76,2015-06-18,65.67,64.15,64.44,65.27
77,2015-06-19,66.33,64.66,65.27,65.95
78,2015-06-22,67.12,66.01,66.2,66.62
79,2015-06-23,67.49,66.15,66.8,66.58
80,2015-06-24,68.25,67.06,67.73,67.68
81,2015-06-25,68.27,67.43,67.94,67.45
82,2015-06-26,68.0,66.89,67.52,67.63
83,2015-06-29,67.38,66.08,66.77,66.22
84,2015-06-30,66.98,66.18,66.6,66.5
85,2015-07-01,68.22,67.09,67.37,68.0
86,2015-07-02,68.48,67.22,68.48,67.8
87,2015-07-06,68.3,67.12,67.14,68.01
88,2015-07-07,69.95,67.96,69.06,69.89
89,2015-07-08,69.94,68.82,69.58,69.0
90,2015-07-09,70.94,69.68,69.89,70.5
91,2015-07-10,72.5,70.81,71.25,72.07
92,2015-07-13,73.85,72.41,72.41,73.54
93,2015-07-14,73.6,72.03,73.56,72.25
94,2015-07-15,72.99,72.33,72.52,72.5
95,2015-07-16,73.23,72.4,72.8,72.97
96,2015-07-17,73.55,72.39,72.95,73.47
97,2015-07-20,74.92,73.61,74.48,74.79
98,2015-07-21,75.1,73.34,75.04,73.68
99,2015-07-22,73.84,71.89,73.64,72.92
100,2015-07-23,73.58,71.76,73.32,71.81
101,2015-07-24,72.51,71.24,71.81,72.29
102,2015-07-27,72.84,70.96,72.43,71.22
103,2015-07-28,72.49,71.15,72.02,71.8
104,2015-07-29,72.5,71.09,71.91,72.18
105,2015-07-30,72.65,71.03,72.01,72.3
106,2015-07-31,72.73,70.5,71.03,71.55
107,2015-08-03,71.92,70.14,71.28,70.97
108,2015-08-04,71.94,70.7,70.7,71.8
109,2015-08-05,75.76,72.25,72.37,75.16
110,2015-08-06,75.65,73.5,75.0,74.01
111,2015-08-07,73.94,72.42,73.76,73.36
112,2015-08-10,74.83,73.7,74.2,73.97
113,2015-08-11,73.88,72.86,73.49,73.82
114,2015-08-12,73.93,71.7,73.19,73.72
115,2015-08-13,74.12,73.03,73.55,73.38
116,2015-08-14,73.76,72.72,73.42,72.82
117,2015-08-17,73.9,72.24,72.84,73.7
118,2015-08-18,74.5,73.18,74.11,73.85
119,2015-08-19,73.72,71.41,73.55,71.61
120,2015-08-20,71.49,67.61,70.9,67.71
121,2015-08-21,67.24,64.01,65.26,65.53
122,2015-08-24,65.44,59.47,60.25,63.7
123,2015-08-25,66.28,63.47,65.9,63.54
124,2015-08-26,66.48,63.66,65.5,66.34
125,2015-08-27,67.64,65.5,67.15,67.16
126,2015-08-28,68.47,66.51,66.62,67.91
127,2015-08-31,67.9,65.98,67.1,66.15
128,2015-09-01,65.74,63.03,64.39,63.43
129,2015-09-02,65.12,63.97,64.43,64.67
130,2015-09-03,66.5,65.03,65.29,65.79
131,2015-09-04,66.58,64.44,64.84,66.37
132,2015-09-08,68.61,67.0,67.55,68.5
133,2015-09-09,70.17,67.57,69.54,67.78
134,2015-09-10,69.44,67.54,67.54,68.74
135,2015-09-11,68.97,67.83,68.23,68.91
136,2015-09-14,69.05,68.13,68.86,68.35
137,2015-09-15,69.66,68.31,68.39,69.38
138,2015-09-16,70.42,69.09,69.71,70.28
139,2015-09-17,71.99,69.87,70.22,71.06
140,2015-09-18,71.22,69.75,70.35,70.07
141,2015-09-21,71.61,70.06,70.41,70.58
142,2015-09-22,70.27,68.22,69.55,68.69
143,2015-09-23,69.78,68.59,68.85,69.46
144,2015-09-24,69.28,67.67,68.86,68.81
145,2015-09-25,70.83,68.97,69.97,69.49
146,2015-09-28,69.22,65.95,68.95,66.46
147,2015-09-29,67.36,65.55,67.0,66.0
148,2015-09-30,67.87,66.49,66.81,67.75
149,2015-10-01,68.04,66.44,68.04,67.2
150,2015-10-02,66.5,64.84,66.36,66.49
151,2015-10-05,68.1,66.97,67.33,67.59
152,2015-10-06,68.09,66.34,67.41,66.55
153,2015-10-07,66.84,65.19,66.56,66.11
154,2015-10-08,66.1,64.7,65.9,65.8
155,2015-10-09,65.64,64.54,65.59,65.04
156,2015-10-12,68.25,64.65,65.13,68.11
157,2015-10-13,69.15,67.34,68.0,68.42
158,2015-10-14,71.3,68.09,68.38,70.57
159,2015-10-15,71.49,70.18,71.02,70.97
160,2015-10-16,71.78,70.26,70.78,71.71
161,2015-10-19,73.54,71.51,71.9,72.29
162,2015-10-20,73.09,71.3,72.6,72.3
163,2015-10-21,73.44,72.0,72.68,72.79
164,2015-10-22,74.85,73.02,73.1,74.54
165,2015-10-23,75.49,74.44,75.0,74.92
166,2015-10-26,75.43,73.76,75.0,74.08
167,2015-10-27,75.58,73.7,73.91,75.27
168,2015-10-28,76.8,75.07,76.0,76.77
169,2015-10-29,76.92,75.36,76.5,76.06
170,2015-10-30,75.6,70.63,75.0,72.07
171,2015-11-02,74.89,71.88,72.6,72.0
172,2015-11-03,72.74,70.34,71.82,71.9
173,2015-11-04,74.32,71.73,71.93,74.29
174,2015-11-05,74.93,73.12,74.75,74.06
175,2015-11-06,74.19,72.24,73.83,72.38
176,2015-11-09,72.38,70.16,72.37,70.94
177,2015-11-10,70.94,69.85,70.6,70.83
178,2015-11-11,71.7,69.87,70.79,71.3
179,2015-11-12,72.7,70.54,71.36,71.66
180,2015-11-13,72.04,69.84,71.31,69.89
181,2015-11-16,70.16,66.68,69.98,67.99
182,2015-11-17,69.06,64.91,65.08,68.1
183,2015-11-18,68.6,66.84,68.16,68.42
184,2015-11-19,71.27,68.24,68.95,71.08
185,2015-11-20,72.78,70.14,71.44,72.42
186,2015-11-23,73.86,67.6,72.64,68.98
187,2015-11-24,68.69,66.91,68.43,67.06
188,2015-11-25,69.8,66.7,67.3,69.51
189,2015-11-27,70.55,68.46,69.63,68.88
190,2015-11-30,69.64,67.58,69.19,67.79
191,2015-12-01,69.29,67.4,68.04,68.63
192,2015-12-02,69.55,68.59,69.01,69.34
193,2015-12-03,70.45,66.93,69.54,67.22
194,2015-12-04,70.67,68.38,68.38,70.38
195,2015-12-07,71.94,70.35,70.74,70.79
196,2015-12-08,71.17,69.95,70.4,70.99
197,2015-12-09,70.99,66.62,70.75,67.09
198,2015-12-10,67.89,66.08,67.51,66.37
199,2015-12-11,69.65,66.71,67.49,67.17
200,2015-12-14,69.98,67.35,67.35,69.66
201,2015-12-15,73.59,69.85,70.52,72.33
202,2015-12-16,73.48,69.33,73.07,72.04
203,2015-12-17,72.72,71.1,72.21,71.12
204,2015-12-18,71.12,68.94,70.63,68.98
205,2015-12-21,69.89,67.4,69.44,68.71
206,2015-12-22,69.45,68.32,69.3,69.07
207,2015-12-23,69.77,67.8,69.5,68.64
208,2015-12-24,69.3,67.74,68.69,68.95
209,2015-12-28,69.21,68.05,68.59,69.19
210,2015-12-29,70.24,69.2,69.5,69.85
211,2015-12-30,70.36,69.54,69.89,69.65
212,2015-12-31,69.67,68.71,69.44,68.72
213,2016-01-04,67.57,65.1,67.18,66.1
214,2016-01-05,66.82,64.84,66.1,64.94
215,2016-01-06,64.29,62.56,63.61,63.68
216,2016-01-07,64.71,61.55,62.32,62.46
217,2016-01-08,65.01,62.95,63.21,63.13
218,2016-01-11,64.81,63.25,63.39,64.21
219,2016-01-12,66.09,64.64,64.66,65.62
220,2016-01-13,66.59,63.18,66.26,63.38
221,2016-01-14,64.96,61.5,63.3,64.48
222,2016-01-15,66.71,63.51,64.34,66.06
223,2016-01-19,68.24,66.42,66.84,67.37
224,2016-01-20,67.69,65.04,66.2,66.85
225,2016-01-21,67.56,65.79,67.19,67.03
226,2016-01-22,69.4,67.3,68.0,69.36
227,2016-01-25,70.49,68.76,69.29,69.92
228,2016-01-26,71.49,69.61,69.9,70.83
229,2016-01-27,71.35,69.26,70.89,69.49
230,2016-01-28,71.03,68.72,70.7,69.79
231,2016-01-29,67.48,62.8,67.44,64.55
232,2016-02-01,65.44,63.31,64.17,64.2
233,2016-02-02,63.99,60.13,63.87,60.66
234,2016-02-03,61.92,58.73,61.77,59.61
235,2016-02-04,59.86,57.52,59.44,58.73
236,2016-02-05,58.57,54.85,58.37,55.5
237,2016-02-08,56.57,53.01,54.39,56.32
238,2016-02-09,59.19,55.82,56.26,58.25
239,2016-02-10,60.07,58.66,59.34,58.98
240,2016-02-11,59.11,57.76,57.96,58.19
241,2016-02-12,59.37,57.32,58.05,59.25
242,2016-02-16,60.0,58.88,59.83,59.36
243,2016-02-17,60.54,58.81,60.25,59.84
244,2016-02-18,59.92,58.23,59.57,58.35
245,2016-02-19,59.9,58.1,58.34,59.57
246,2016-02-22,63.31,59.97,60.07,63.27
247,2016-02-23,63.33,61.46,63.0,61.52
248,2016-02-24,63.48,60.71,60.92,63.2
249,2016-02-25,64.72,63.34,63.55,64.68
250,2016-02-26,65.11,63.77,64.81,64.45
251,2016-02-29,65.25,63.97,63.97,64.24
252,2016-03-01,65.69,64.26,64.45,65.48
253,2016-03-02,66.25,64.63,65.18,66.09
254,2016-03-03,66.01,64.18,65.8,64.8
255,2016-03-04,64.86,63.08,64.41,64.43
256,2016-03-07,64.43,62.91,63.89,63.59
257,2016-03-08,64.18,62.6,63.05,62.96
258,2016-03-09,64.04,62.74,63.19,63.92
259,2016-03-10,64.42,62.58,64.15,63.5
260,2016-03-11,64.65,63.53,63.83,64.47
261,2016-03-14,65.31,63.81,63.81,64.79
262,2016-03-15,65.9,64.19,64.19,65.72
263,2016-03-16,66.17,64.57,65.63,66.0
264,2016-03-17,65.75,63.24,65.09,64.67
265,2016-03-18,65.32,63.82,64.9,64.32
266,2016-03-21,64.4,63.51,64.05,63.94
267,2016-03-22,64.28,63.27,63.7,63.87
268,2016-03-23,65.5,63.58,63.9,65.05
269,2016-03-24,65.73,64.07,64.6,64.24
270,2016-03-28,65.02,63.6,64.13,64.64
271,2016-03-29,66.38,64.44,64.51,66.03
272,2016-03-30,67.16,66.28,66.73,66.41
273,2016-03-31,67.1,65.7,66.33,66.11
274,2016-04-01,66.12,65.13,65.36,65.92
275,2016-04-04,66.49,65.38,66.0,65.74
276,2016-04-05,65.96,65.05,65.1,65.45
277,2016-04-06,66.07,65.25,65.67,65.83
278,2016-04-07,65.91,63.67,65.7,63.93
279,2016-04-08,64.7,63.28,64.12,64.24
280,2016-04-11,64.4,63.12,64.39,63.16
281,2016-04-12,63.15,61.9,63.14,62.96
282,2016-04-13,65.03,62.91,63.04,64.77
283,2016-04-14,65.24,64.43,64.85,64.94
284,2016-04-15,66.97,64.46,65.14,66.84
285,2016-04-18,66.56,65.46,66.28,66.52
286,2016-04-19,66.74,65.33,66.59,66.19
287,2016-04-20,66.74,65.7,66.6,65.8
288,2016-04-21,66.33,65.23,65.83,66.18
289,2016-04-22,66.85,65.32,65.9,65.87
290,2016-04-25,66.0,65.42,65.43,65.93
291,2016-04-26,66.29,65.17,65.97,65.33
292,2016-04-27,65.42,62.35,65.13,63.35
293,2016-04-28,64.02,61.91,63.12,62.32
294,2016-04-29,62.42,61.23,61.81,61.85
295,2016-05-02,63.12,61.7,62.0,62.89
296,2016-05-03,63.23,62.02,62.61,62.08
297,2016-05-04,62.48,61.1,61.74,61.88
298,2016-05-05,62.76,61.18,62.28,62.24
299,2016-05-06,63.99,61.99,62.19,63.94
300,2016-05-09,65.04,64.01,64.18,64.52
301,2016-05-10,65.1,63.73,65.0,64.54
302,2016-05-11,74.92,70.24,70.43,73.38
303,2016-05-12,76.24,73.39,73.63,75.01
304,2016-05-13,76.09,74.66,74.73,75.2
305,2016-05-16,77.15,74.81,75.07,76.62
306,2016-05-17,76.6,74.53,75.72,75.14
307,2016-05-18,74.87,73.26,74.7,74.49
308,2016-05-19,74.22,72.94,74.22,73.5
309,2016-05-20,74.01,72.93,73.48,73.11
310,2016-05-23,73.89,72.41,73.39,73.24
311,2016-05-24,75.66,73.25,73.68,75.35
312,2016-05-25,75.83,74.84,75.39,74.94
313,2016-05-26,75.43,73.92,74.63,75.11
314,2016-05-27,76.46,75.33,75.33,75.7
315,2016-05-31,76.82,75.7,75.98,76.75
316,2016-06-01,77.38,76.2,76.81,76.62
317,2016-06-02,76.94,76.1,76.72,76.58
318,2016-06-03,76.7,75.43,76.7,76.36
319,2016-06-06,76.96,75.2,76.37,76.49
320,2016-06-07,78.09,76.76,76.86,77.25
321,2016-06-08,77.19,76.01,77.06,76.28
322,2016-06-09,76.79,75.52,75.59,76.25
323,2016-06-10,76.24,74.81,75.41,75.28
324,2016-06-13,75.43,73.8,74.89,74.24
325,2016-06-14,74.78,73.35,74.14,74.52
326,2016-06-15,75.23,74.04,74.56,74.39
327,2016-06-16,75.08,73.57,73.99,75.0
328,2016-06-17,75.16,73.58,75.16,74.52
329,2016-06-20,76.34,74.12,74.69,75.31
330,2016-06-21,76.07,75.07,75.25,75.51
331,2016-06-22,75.53,74.69,75.21,74.8
332,2016-06-23,76.18,74.85,75.62,76.05
333,2016-06-24,74.77,72.91,73.64,73.21
334,2016-06-27,73.06,71.01,73.01,71.5
335,2016-06-28,72.65,71.36,71.99,72.6
336,2016-06-29,74.0,72.81,72.9,73.74
337,2016-06-30,76.11,73.23,73.87,75.76
338,2016-07-01,76.57,75.45,75.75,75.87
339,2016-07-05,76.42,75.28,75.78,75.89
340,2016-07-06,77.15,75.01,75.42,76.74
341,2016-07-07,76.83,76.02,76.56,76.62
342,2016-07-08,78.5,77.01,77.32,78.26
343,2016-07-11,79.56,78.28,78.28,79.17
344,2016-07-12,79.99,78.6,79.28,79.51
345,2016-07-13,79.93,77.61,79.93,77.62
346,2016-07-14,78.3,76.97,77.89,78.05
347,2016-07-15,78.73,77.6,78.44,77.83
348,2016-07-18,78.86,77.72,78.13,78.26
