,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,178.15,176.06,176.98,176.8
1,2015-03-03,176.52,174.82,176.5,176.15
2,2015-03-04,175.78,174.41,175.56,174.62
3,2015-03-05,175.34,173.52,175.34,174.82
4,2015-03-06,175.21,173.0,174.03,173.19
5,2015-03-09,174.18,172.64,172.85,172.91
6,2015-03-10,172.06,170.0,171.22,170.0
7,2015-03-11,172.33,170.0,170.0,171.56
8,2015-03-12,173.63,171.97,171.97,173.58
9,2015-03-13,174.81,172.33,173.59,173.32
10,2015-03-16,177.46,174.21,174.21,177.32
11,2015-03-17,178.6,175.71,176.89,175.71
12,2015-03-18,174.14,170.51,172.0,173.3
13,2015-03-19,175.13,172.5,173.59,173.85
14,2015-03-20,174.34,171.88,174.1,172.04
15,2015-03-23,172.28,170.64,172.17,170.64
16,2015-03-24,170.5,169.16,170.29,169.16
17,2015-03-25,169.8,165.35,169.74,165.43
18,2015-03-26,166.63,163.6,164.28,165.49
19,2015-03-27,165.62,164.51,165.05,164.59
20,2015-03-30,167.38,164.98,165.05,166.75
21,2015-03-31,166.47,165.0,166.0,165.45
22,2015-04-01,166.5,164.28,165.02,166.24
23,2015-04-02,166.81,165.7,166.71,166.22
24,2015-04-06,167.26,165.0,165.37,166.67
25,2015-04-07,173.84,170.71,172.75,171.16
26,2015-04-08,171.89,169.31,171.08,171.84
27,2015-04-09,173.45,171.09,171.46,172.92
28,2015-04-10,174.5,172.52,173.31,174.37
29,2015-04-13,175.3,173.01,173.64,173.13
30,2015-04-14,173.13,171.1,172.01,171.5
31,2015-04-15,172.36,169.32,171.58,169.52
32,2015-04-16,170.26,168.68,169.57,169.24
33,2015-04-17,168.58,167.33,168.23,168.0
34,2015-04-20,170.0,168.29,168.29,169.06
35,2015-04-21,170.45,169.08,169.43,169.91
36,2015-04-22,170.78,168.68,169.79,170.01
37,2015-04-23,170.93,169.05,169.05,170.1
38,2015-04-24,170.25,169.01,169.73,169.95
39,2015-04-27,170.61,168.86,170.36,169.03
40,2015-04-28,171.96,168.51,169.27,171.24
41,2015-04-29,170.94,168.72,169.84,169.57
42,2015-04-30,169.95,168.36,168.39,169.57
43,2015-05-01,171.93,169.93,170.0,171.73
44,2015-05-04,173.48,171.51,171.61,172.33
45,2015-05-05,172.33,169.51,171.5,169.81
46,2015-05-06,170.77,168.46,170.69,169.56
47,2015-05-07,172.61,169.58,169.87,171.74
48,2015-05-08,174.09,172.78,172.99,173.35
49,2015-05-11,174.98,172.76,174.01,174.2
50,2015-05-12,173.7,172.44,173.16,173.42
51,2015-05-13,173.5,171.67,172.99,171.93
52,2015-05-14,174.0,172.11,172.84,173.45
53,2015-05-15,175.29,173.5,174.21,175.14
54,2015-05-18,177.43,175.01,175.14,177.18
55,2015-05-19,178.7,177.0,177.51,177.98
56,2015-05-20,178.79,177.15,177.71,177.52
57,2015-05-21,177.25,175.48,176.91,176.55
58,2015-05-22,176.72,174.68,176.48,175.18
59,2015-05-26,175.04,173.78,175.0,174.11
60,2015-05-27,176.89,173.92,174.63,176.66
61,2015-05-28,176.15,174.55,176.11,175.1
62,2015-05-29,174.88,173.0,174.52,173.22
63,2015-06-01,175.98,172.92,173.87,175.37
64,2015-06-02,176.65,173.1,174.54,175.72
65,2015-06-03,180.29,175.72,176.5,179.92
66,2015-06-04,179.99,178.77,178.9,179.63
67,2015-06-05,183.03,178.6,179.52,182.24
68,2015-06-08,182.0,179.64,181.92,179.89
69,2015-06-09,181.6,179.0,179.95,180.37
70,2015-06-10,183.9,179.69,180.34,182.32
71,2015-06-11,185.19,182.84,184.29,184.98
72,2015-06-12,184.82,182.76,184.05,183.63
73,2015-06-15,183.27,181.45,182.53,182.66
74,2015-06-16,183.5,179.84,182.02,182.13
75,2015-06-17,178.88,174.51,178.03,176.73
76,2015-06-18,180.19,176.56,176.56,178.39
77,2015-06-19,178.34,175.94,177.36,175.94
78,2015-06-22,177.65,176.0,176.76,176.28
79,2015-06-23,176.83,174.66,176.7,175.27
80,2015-06-24,175.78,172.42,175.0,173.42
81,2015-06-25,174.02,172.59,173.63,172.8
82,2015-06-26,174.11,173.17,173.67,173.66
83,2015-06-29,173.12,170.69,171.62,171.02
84,2015-06-30,172.84,169.96,172.32,170.4
85,2015-07-01,172.46,169.64,172.11,169.81
86,2015-07-02,171.35,169.95,170.2,171.13
87,2015-07-06,171.22,167.89,170.0,168.75
88,2015-07-07,170.73,167.76,169.37,170.34
89,2015-07-08,169.98,166.67,168.32,166.99
90,2015-07-09,169.8,167.44,168.78,167.71
91,2015-07-10,170.45,167.88,170.0,168.46
92,2015-07-13,171.24,169.16,169.69,170.97
93,2015-07-14,171.89,170.09,171.0,171.24
94,2015-07-15,171.98,169.03,171.24,169.13
95,2015-07-16,170.51,169.44,170.26,169.49
96,2015-07-17,170.81,169.32,169.49,170.23
97,2015-07-20,170.6,169.5,170.6,170.21
98,2015-07-21,171.97,169.95,170.4,170.56
99,2015-07-22,171.0,167.59,170.71,168.5
100,2015-07-23,168.89,166.57,168.85,166.86
