,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,45.48,45.21,45.26,45.47
1,2015-03-03,45.46,45.05,45.46,45.29
2,2015-03-04,45.22,44.94,45.22,45.08
3,2015-03-05,45.32,44.98,45.19,45.11
4,2015-03-06,44.98,44.29,44.98,44.43
5,2015-03-09,44.75,44.47,44.54,44.7
6,2015-03-10,44.34,43.92,44.34,44.03
7,2015-03-11,44.08,43.58,44.08,43.8
8,2015-03-12,44.5,43.94,43.94,44.5
9,2015-03-13,44.49,43.93,44.49,44.21
10,2015-03-16,44.65,44.33,44.42,44.57
11,2015-03-17,44.57,44.19,44.4,44.49
12,2015-03-18,45.04,44.08,44.38,44.84
13,2015-03-19,44.95,44.68,44.84,44.87
14,2015-03-20,45.21,45.0,45.0,45.17
15,2015-03-23,45.44,45.11,45.14,45.11
16,2015-03-24,45.23,44.81,45.2,44.84
17,2015-03-25,44.89,44.19,44.84,44.24
18,2015-03-26,44.25,43.92,44.06,44.02
19,2015-03-27,44.49,44.0,44.0,44.42
20,2015-03-30,44.99,44.41,44.54,44.95
21,2015-03-31,44.91,44.59,44.8,44.63
22,2015-04-01,44.6,44.2,44.57,44.58
23,2015-04-02,45.05,44.56,44.56,44.89
24,2015-04-06,45.35,44.72,44.79,45.22
25,2015-04-07,45.34,44.93,45.34,44.95
26,2015-04-08,45.16,44.85,45.04,45.14
27,2015-04-09,45.26,44.81,45.22,45.13
28,2015-04-10,45.26,45.03,45.17,45.23
29,2015-04-13,45.38,45.08,45.22,45.1
30,2015-04-14,45.21,44.8,45.09,45.12
31,2015-04-15,45.37,45.01,45.25,45.02
32,2015-04-16,45.05,44.85,44.99,44.93
33,2015-04-17,44.82,44.15,44.82,44.41
34,2015-04-20,44.73,44.43,44.62,44.45
35,2015-04-21,44.58,44.3,44.45,44.39
36,2015-04-22,44.45,44.09,44.42,44.42
37,2015-04-23,44.46,44.24,44.32,44.34
38,2015-04-24,44.51,44.27,44.37,44.31
39,2015-04-27,44.47,44.19,44.39,44.22
40,2015-04-28,44.33,43.94,44.2,44.2
41,2015-04-29,44.13,43.68,44.04,43.79
42,2015-04-30,43.98,43.33,43.69,43.49
43,2015-05-01,44.1,43.59,43.66,44.07
44,2015-05-04,44.34,44.16,44.19,44.25
45,2015-05-05,44.25,43.7,44.2,43.8
46,2015-05-06,43.99,43.55,43.96,43.74
47,2015-05-07,43.96,43.36,43.42,43.87
48,2015-05-08,44.36,44.03,44.13,44.07
49,2015-05-11,44.38,44.06,44.08,44.19
50,2015-05-12,44.16,43.79,44.02,44.04
51,2015-05-13,44.35,44.06,44.13,44.18
52,2015-05-14,44.73,44.33,44.39,44.71
