,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,13.11,12.64,13.04,12.76
1,2015-03-03,13.04,12.49,12.8,12.51
2,2015-03-04,12.58,12.08,12.51,12.15
3,2015-03-05,12.49,12.1,12.18,12.19
4,2015-03-06,11.82,11.29,11.82,11.34
5,2015-03-09,11.42,10.71,11.41,10.8
6,2015-03-10,11.09,10.58,10.69,10.68
7,2015-03-11,10.94,10.52,10.68,10.89
8,2015-03-12,11.07,10.59,11.03,10.66
9,2015-03-13,10.71,10.31,10.7,10.6
10,2015-03-16,10.63,10.3,10.56,10.56
11,2015-03-17,10.6,10.29,10.39,10.33
12,2015-03-18,11.1,10.3,10.3,10.97
13,2015-03-19,10.96,10.66,10.85,10.89
14,2015-03-20,11.34,10.98,10.98,11.1
15,2015-03-23,11.45,11.19,11.24,11.4
16,2015-03-24,11.53,11.23,11.45,11.37
17,2015-03-25,11.57,11.28,11.46,11.36
18,2015-03-26,11.71,11.25,11.56,11.29
19,2015-03-27,11.48,11.04,11.22,11.29
20,2015-03-30,11.3,11.01,11.05,11.14
21,2015-03-31,11.2,10.9,11.1,10.96
22,2015-04-01,12.2,11.06,11.07,12.01
23,2015-04-02,12.11,11.71,11.84,11.88
24,2015-04-06,12.69,12.23,12.32,12.61
25,2015-04-07,12.64,12.33,12.46,12.36
26,2015-04-08,12.5,12.16,12.44,12.32
27,2015-04-09,12.66,12.12,12.16,12.42
28,2015-04-10,12.77,12.56,12.63,12.68
29,2015-04-13,12.66,12.33,12.61,12.36
30,2015-04-14,12.61,12.31,12.4,12.51
31,2015-04-15,13.03,12.49,12.55,12.85
32,2015-04-16,13.03,12.58,12.9,12.65
33,2015-04-17,12.99,12.73,12.76,12.76
34,2015-04-20,12.86,12.56,12.66,12.75
35,2015-04-21,12.87,12.45,12.65,12.81
36,2015-04-22,12.86,12.32,12.8,12.37
37,2015-04-23,12.74,12.36,12.41,12.64
38,2015-04-24,12.74,12.41,12.58,12.52
39,2015-04-27,13.34,12.64,12.66,12.8
40,2015-04-28,13.42,12.52,12.54,13.3
41,2015-04-29,13.7,13.28,13.36,13.51
42,2015-04-30,13.24,12.93,13.17,13.02
43,2015-05-01,13.1,12.76,12.85,13.07
44,2015-05-04,13.43,13.14,13.37,13.17
45,2015-05-05,13.54,13.02,13.33,13.11
46,2015-05-06,13.21,12.58,13.2,12.63
47,2015-05-07,12.72,12.27,12.53,12.69
48,2015-05-08,12.9,12.65,12.76,12.75
49,2015-05-11,12.9,12.67,12.72,12.78
50,2015-05-12,12.94,12.71,12.85,12.83
51,2015-05-13,13.41,12.95,12.99,13.25
52,2015-05-14,13.61,13.13,13.37,13.18
53,2015-05-15,13.44,12.97,13.06,13.12
54,2015-05-18,13.39,13.13,13.18,13.19
55,2015-05-19,13.07,12.46,12.94,12.47
56,2015-05-20,12.66,12.42,12.64,12.43
57,2015-05-21,12.49,12.24,12.42,12.44
58,2015-05-22,12.49,12.24,12.46,12.29
59,2015-05-26,12.06,11.62,12.05,11.71
60,2015-05-27,11.75,11.56,11.74,11.7
61,2015-05-28,12.03,11.53,11.73,12.0
62,2015-05-29,12.05,11.73,11.97,11.86
63,2015-06-01,12.06,11.76,11.94,11.82
64,2015-06-02,12.17,11.92,11.96,11.98
65,2015-06-03,12.15,11.87,11.88,11.99
66,2015-06-04,11.88,11.66,11.85,11.69
67,2015-06-05,11.6,11.38,11.51,11.47
68,2015-06-08,11.51,11.3,11.48,11.46
69,2015-06-09,11.71,11.49,11.57,11.53
70,2015-06-10,11.82,11.55,11.77,11.63
71,2015-06-11,11.56,11.25,11.56,11.27
72,2015-06-12,11.46,11.18,11.25,11.27
73,2015-06-15,11.62,11.21,11.25,11.47
74,2015-06-16,11.4,11.14,11.38,11.18
75,2015-06-17,11.57,11.06,11.19,11.54
76,2015-06-18,11.97,11.66,11.82,11.71
77,2015-06-19,11.8,11.41,11.65,11.48
78,2015-06-22,11.35,11.16,11.3,11.16
79,2015-06-23,11.2,11.06,11.12,11.16
80,2015-06-24,11.17,10.97,11.12,11.11
81,2015-06-25,11.19,10.97,11.11,10.99
82,2015-06-26,11.07,10.87,10.97,10.9
83,2015-06-29,10.99,10.72,10.96,10.78
84,2015-06-30,10.86,10.56,10.74,10.66
85,2015-07-01,10.66,10.4,10.63,10.45
86,2015-07-02,10.59,10.43,10.52,10.57
87,2015-07-06,11.0,10.47,10.52,10.85
88,2015-07-07,10.6,10.25,10.5,10.32
89,2015-07-08,10.51,10.27,10.39,10.3
90,2015-07-09,10.44,10.12,10.44,10.15
91,2015-07-10,10.27,10.05,10.24,10.11
92,2015-07-13,10.03,9.74,9.99,9.97
93,2015-07-14,10.18,9.88,10.0,9.89
94,2015-07-15,9.87,9.6,9.79,9.65
95,2015-07-16,9.63,9.21,9.6,9.24
96,2015-07-17,9.21,8.61,9.19,8.79
97,2015-07-20,8.46,7.38,8.39,7.41
98,2015-07-21,7.88,7.36,7.72,7.5
99,2015-07-22,7.5,7.03,7.29,7.36
