,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,575.99,563.15,567.0,575.02
1,2015-03-03,580.85,570.5,576.35,578.79
2,2015-03-04,581.63,572.52,576.97,578.33
3,2015-03-05,583.2,578.23,579.62,581.43
4,2015-03-06,582.78,572.06,582.0,572.9
5,2015-03-09,575.45,569.05,570.92,574.1
6,2015-03-10,569.76,559.82,568.48,559.85
7,2015-03-11,564.18,555.41,559.8,555.69
8,2015-03-12,561.84,555.53,558.48,561.17
9,2015-03-13,564.36,550.33,559.23,553.0
10,2015-03-16,563.75,551.32,556.93,561.64
11,2015-03-17,560.64,554.41,558.29,557.61
12,2015-03-18,566.51,553.5,557.73,566.16
13,2015-03-19,566.96,562.12,564.52,563.67
14,2015-03-20,567.1,564.48,566.71,564.95
15,2015-03-23,569.64,563.06,566.0,565.37
16,2015-03-24,581.88,568.09,568.54,577.54
17,2015-03-25,580.07,567.0,577.57,567.0
18,2015-03-26,567.19,558.31,564.65,563.64
19,2015-03-27,564.07,556.93,561.83,557.55
20,2015-03-30,562.16,556.79,560.25,561.14
21,2015-03-31,562.45,554.67,557.94,554.7
22,2015-04-01,558.5,546.03,554.83,549.49
23,2015-04-02,548.0,540.44,547.41,541.31
24,2015-04-06,545.54,535.7,538.84,543.95
25,2015-04-07,550.16,543.59,544.99,544.86
26,2015-04-08,551.5,546.0,546.0,548.84
27,2015-04-09,549.37,541.95,549.21,548.02
28,2015-04-10,549.85,544.98,549.57,548.54
29,2015-04-13,553.27,546.3,547.05,548.64
30,2015-04-14,546.57,535.74,546.57,539.78
31,2015-04-15,543.19,532.37,537.96,541.04
32,2015-04-16,545.23,538.1,538.35,543.52
33,2015-04-17,539.8,529.0,537.31,532.74
34,2015-04-20,545.8,533.35,533.75,544.53
35,2015-04-21,547.77,542.21,546.31,542.92
36,2015-04-22,551.0,541.32,543.06,549.18
37,2015-04-23,561.17,550.08,550.41,557.46
38,2015-04-24,584.7,568.35,580.05,573.66
39,2015-04-27,575.52,562.3,572.77,566.12
40,2015-04-28,567.83,560.96,564.32,564.37
41,2015-04-29,565.84,559.0,560.51,561.39
42,2015-04-30,561.11,546.72,558.56,548.77
43,2015-05-01,551.22,543.85,550.51,551.16
44,2015-05-04,556.69,547.39,550.99,552.84
45,2015-05-05,552.61,542.37,550.16,543.04
46,2015-05-06,543.93,532.24,542.64,535.08
47,2015-05-07,545.2,533.45,535.9,542.04
48,2015-05-08,552.8,548.03,548.87,548.95
49,2015-05-11,553.37,545.6,548.49,545.78
50,2015-05-12,542.96,535.0,542.81,538.73
51,2015-05-13,543.84,538.98,540.47,539.49
52,2015-05-14,549.69,542.5,543.97,549.2
53,2015-05-15,550.6,542.5,550.39,546.49
54,2015-05-18,548.34,542.25,543.82,546.67
55,2015-05-19,553.4,547.12,548.0,549.28
56,2015-05-20,556.07,545.1,550.92,552.51
57,2015-05-21,557.61,549.3,550.2,556.81
58,2015-05-22,558.24,553.62,554.46,554.52
59,2015-05-26,553.33,542.97,552.58,547.19
60,2015-05-27,555.29,546.58,548.68,554.25
61,2015-05-28,555.76,550.8,553.79,554.18
62,2015-05-29,553.94,545.04,553.2,545.32
63,2015-06-01,550.57,543.58,548.73,549.21
64,2015-06-02,558.79,546.55,547.43,553.95
65,2015-06-03,557.99,552.15,555.1,555.29
66,2015-06-04,555.96,549.12,552.18,551.69
67,2015-06-05,553.33,547.38,552.0,549.53
68,2015-06-08,549.87,542.95,549.61,543.48
69,2015-06-09,544.84,538.85,543.42,542.16
70,2015-06-10,554.78,545.11,545.7,552.6
71,2015-06-11,554.83,549.17,554.49,550.04
72,2015-06-12,548.85,545.63,547.15,547.47
73,2015-06-15,544.05,539.21,542.73,543.0
74,2015-06-16,546.69,541.57,544.48,544.87
75,2015-06-17,548.36,541.81,545.42,546.6
76,2015-06-18,557.25,548.0,548.0,556.18
77,2015-06-19,557.91,552.26,556.52,557.52
78,2015-06-22,565.61,558.91,559.41,559.68
79,2015-06-23,564.9,557.15,559.79,563.39
80,2015-06-24,562.64,556.81,562.48,558.57
81,2015-06-25,563.14,557.46,560.3,557.95
82,2015-06-26,560.0,551.85,559.71,553.06
83,2015-06-29,550.9,540.24,546.75,541.25
84,2015-06-30,545.9,539.54,545.09,540.04
85,2015-07-01,545.81,539.76,543.66,543.3
86,2015-07-02,548.0,543.57,544.74,547.34
87,2015-07-06,548.58,542.1,542.25,545.62
88,2015-07-07,551.0,539.85,547.43,550.03
89,2015-07-08,548.28,541.2,545.6,541.7
90,2015-07-09,548.88,544.62,548.65,544.65
91,2015-07-10,559.29,552.0,553.71,556.11
92,2015-07-13,572.85,558.7,559.51,571.73
93,2015-07-14,589.71,574.17,574.5,584.18
94,2015-07-15,588.69,580.21,583.74,583.96
95,2015-07-16,604.5,587.92,589.5,601.78
96,2015-07-17,703.0,678.0,680.0,699.62
97,2015-07-20,697.8,681.77,688.98,692.84
98,2015-07-21,705.6,684.15,684.88,695.35
99,2015-07-22,713.33,691.62,694.02,695.1
100,2015-07-23,696.07,671.59,691.85,674.73
101,2015-07-24,677.79,653.18,676.77,654.77
102,2015-07-27,667.07,651.55,651.57,658.27
103,2015-07-28,664.1,653.41,661.76,659.66
104,2015-07-29,663.33,652.84,662.26,661.43
105,2015-07-30,668.05,651.69,657.44,664.56
106,2015-07-31,665.0,657.2,664.7,657.5
107,2015-08-03,666.67,657.66,657.66,664.72
108,2015-08-04,668.0,660.51,664.34,661.28
109,2015-08-05,679.91,665.58,665.75,673.29
110,2015-08-06,674.75,660.73,673.99,670.15
111,2015-08-07,668.8,658.87,667.78,664.39
112,2015-08-10,671.62,660.23,667.09,663.14
113,2015-08-11,704.0,684.32,699.58,690.3
114,2015-08-12,696.0,680.51,694.49,691.47
115,2015-08-13,694.03,682.18,689.2,686.51
116,2015-08-14,692.26,682.9,684.04,689.37
117,2015-08-17,694.74,683.06,688.04,694.11
118,2015-08-18,695.76,685.32,691.07,688.73
119,2015-08-19,700.2,686.8,690.11,694.04
120,2015-08-20,696.16,675.28,689.1,679.48
121,2015-08-21,672.89,643.1,671.04,644.03
122,2015-08-24,627.68,593.09,600.6,618.11
123,2015-08-25,647.0,611.67,646.47,612.47
124,2015-08-26,662.48,630.37,643.1,659.74
125,2015-08-27,673.98,651.1,671.99,667.96
126,2015-08-28,667.0,653.75,665.76,659.69
127,2015-08-31,664.41,646.35,654.34,647.82
128,2015-09-01,644.44,625.06,633.81,629.56
129,2015-09-02,645.06,630.64,638.0,644.91
130,2015-09-03,651.25,633.81,647.93,637.05
131,2015-09-04,634.5,626.5,629.7,628.96
132,2015-09-08,645.04,632.9,641.0,643.88
133,2015-09-09,657.36,640.9,651.88,643.41
134,2015-09-10,654.9,641.7,643.9,651.08
135,2015-09-11,655.31,647.41,650.21,655.3
136,2015-09-14,655.92,649.5,655.63,652.47
137,2015-09-15,668.85,653.34,656.71,665.07
138,2015-09-16,668.07,662.2,665.55,665.52
139,2015-09-17,681.99,665.0,667.49,671.67
140,2015-09-18,669.84,660.03,665.06,660.92
141,2015-09-21,669.0,658.0,665.51,666.98
142,2015-09-22,658.82,645.03,657.47,653.2
143,2015-09-23,660.28,650.73,652.9,653.29
144,2015-09-24,656.77,642.17,648.97,654.91
145,2015-09-25,658.58,639.66,658.58,640.15
146,2015-09-28,642.85,617.84,639.05,624.25
147,2015-09-29,634.68,618.03,625.5,622.61
148,2015-09-30,639.31,629.15,631.83,638.37
149,2015-10-01,643.84,631.12,637.94,642.0
150,2015-10-02,657.0,633.5,638.01,656.99
151,2015-10-05,673.03,655.87,661.6,671.68
152,2015-10-06,678.8,663.08,669.35,671.64
153,2015-10-07,678.74,658.11,677.4,670.0
154,2015-10-08,671.89,654.49,669.45,667.0
155,2015-10-09,674.09,662.36,667.49,671.24
