,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,42.29,41.93,42.29,42.08
1,2015-03-03,42.17,41.88,42.04,42.11
2,2015-03-04,41.86,41.42,41.86,41.65
3,2015-03-05,41.9,41.65,41.81,41.76
4,2015-03-06,41.38,40.8,41.38,40.89
5,2015-03-09,41.04,40.85,40.89,40.89
6,2015-03-10,40.7,40.33,40.4,40.37
7,2015-03-11,40.53,40.14,40.44,40.28
8,2015-03-12,40.73,40.47,40.47,40.73
9,2015-03-13,40.43,40.1,40.43,40.32
10,2015-03-16,40.89,40.59,40.59,40.81
11,2015-03-17,41.09,40.81,40.81,41.01
12,2015-03-18,42.04,41.0,41.0,42.0
13,2015-03-19,41.71,41.37,41.65,41.41
14,2015-03-20,42.33,41.89,41.93,42.26
15,2015-03-23,42.53,42.2,42.33,42.44
16,2015-03-24,42.46,42.2,42.46,42.25
17,2015-03-25,42.49,42.04,42.39,42.05
18,2015-03-26,41.99,41.67,41.9,41.7
19,2015-03-27,42.04,41.76,41.85,41.97
20,2015-03-30,42.28,41.97,42.06,42.14
21,2015-03-31,42.02,41.59,41.69,41.84
22,2015-04-01,42.22,41.92,42.22,42.1
23,2015-04-02,42.44,42.11,42.22,42.29
24,2015-04-06,43.0,42.4,42.56,42.82
25,2015-04-07,42.91,42.67,42.89,42.68
26,2015-04-08,43.12,42.71,43.01,42.94
27,2015-04-09,42.95,42.66,42.9,42.9
28,2015-04-10,42.99,42.81,42.82,42.94
29,2015-04-13,42.96,42.62,42.93,42.63
30,2015-04-14,43.05,42.79,42.81,42.94
31,2015-04-15,43.33,43.02,43.02,43.24
32,2015-04-16,43.45,43.03,43.34,43.32
33,2015-04-17,43.14,42.83,42.92,42.97
34,2015-04-20,43.28,43.01,43.14,43.05
35,2015-04-21,43.34,43.09,43.34,43.15
36,2015-04-22,43.5,43.17,43.36,43.44
37,2015-04-23,43.85,43.32,43.36,43.74
38,2015-04-24,44.16,43.9,43.92,44.08
39,2015-04-27,44.22,44.04,44.2,44.07
40,2015-04-28,44.31,44.02,44.15,44.31
41,2015-04-29,44.15,43.87,44.09,44.01
42,2015-04-30,43.91,43.55,43.85,43.71
43,2015-05-01,43.9,43.58,43.8,43.9
44,2015-05-04,44.08,43.75,43.86,43.99
45,2015-05-05,43.89,43.33,43.88,43.41
46,2015-05-06,43.47,42.98,43.47,43.18
47,2015-05-07,43.02,42.75,42.93,42.93
48,2015-05-08,43.63,43.39,43.53,43.63
49,2015-05-11,43.64,43.3,43.47,43.31
50,2015-05-12,43.33,43.03,43.16,43.2
51,2015-05-13,43.67,43.19,43.51,43.34
52,2015-05-14,43.74,43.51,43.7,43.57
53,2015-05-15,44.21,43.67,43.83,44.21
54,2015-05-18,44.06,43.82,43.82,43.99
55,2015-05-19,43.84,43.65,43.77,43.8
56,2015-05-20,44.03,43.77,43.77,43.85
57,2015-05-21,44.08,43.9,43.91,44.06
58,2015-05-22,43.99,43.72,43.99,43.81
59,2015-05-26,43.65,43.08,43.65,43.28
60,2015-05-27,43.53,43.17,43.17,43.53
61,2015-05-28,43.35,43.08,43.19,43.35
62,2015-05-29,43.39,43.0,43.35,43.12
63,2015-06-01,43.25,42.85,43.23,43.0
64,2015-06-02,43.15,42.85,43.0,42.96
65,2015-06-03,43.15,42.82,43.1,42.9
66,2015-06-04,42.61,42.06,42.51,42.17
67,2015-06-05,41.99,41.64,41.84,41.88
68,2015-06-08,41.8,41.61,41.8,41.73
69,2015-06-09,41.75,41.5,41.58,41.65
70,2015-06-10,42.22,41.96,41.96,42.09
71,2015-06-11,42.24,42.0,42.2,42.14
72,2015-06-12,41.89,41.71,41.86,41.81
73,2015-06-15,41.72,41.45,41.5,41.68
74,2015-06-16,41.79,41.49,41.49,41.78
75,2015-06-17,41.97,41.47,41.71,41.9
76,2015-06-18,42.53,42.01,42.09,42.33
77,2015-06-19,42.36,42.01,42.26,42.04
78,2015-06-22,42.9,42.52,42.63,42.69
79,2015-06-23,42.72,42.47,42.69,42.55
80,2015-06-24,42.02,41.76,42.02,41.76
81,2015-06-25,41.9,41.48,41.9,41.48
82,2015-06-26,41.55,41.31,41.52,41.52
83,2015-06-29,41.08,40.53,40.7,40.53
84,2015-06-30,41.07,40.42,41.02,40.62
85,2015-07-01,41.03,40.67,41.03,40.77
86,2015-07-02,41.12,40.92,41.04,41.03
87,2015-07-06,40.52,40.16,40.33,40.28
88,2015-07-07,40.63,39.81,40.04,40.5
89,2015-07-08,40.27,39.83,40.0,39.86
90,2015-07-09,40.57,40.1,40.57,40.15
91,2015-07-10,41.03,40.73,40.9,40.96
92,2015-07-13,41.22,40.94,41.03,41.1
93,2015-07-14,41.24,41.08,41.15,41.21
94,2015-07-15,41.26,40.93,41.12,41.14
95,2015-07-16,41.49,41.32,41.32,41.49
96,2015-07-17,41.34,41.09,41.34,41.14
97,2015-07-20,41.25,40.95,41.25,40.95
98,2015-07-21,41.01,40.71,41.01,40.75
99,2015-07-22,40.72,40.5,40.66,40.55
100,2015-07-23,40.69,40.18,40.69,40.26
101,2015-07-24,40.33,40.0,40.25,40.05
102,2015-07-27,40.17,39.85,39.95,39.98
103,2015-07-28,40.48,40.04,40.2,40.4
104,2015-07-29,40.69,40.26,40.39,40.55
105,2015-07-30,40.55,40.27,40.46,40.52
106,2015-07-31,41.08,40.77,40.86,40.81
107,2015-08-03,40.88,40.57,40.8,40.65
108,2015-08-04,40.94,40.52,40.82,40.65
109,2015-08-05,40.95,40.54,40.87,40.55
110,2015-08-06,40.5,40.2,40.44,40.47
111,2015-08-07,40.66,40.26,40.36,40.6
