,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,61.83,61.03,61.28,61.77
1,2015-03-03,61.99,61.5,61.65,61.97
2,2015-03-04,62.17,61.35,61.64,62.13
3,2015-03-05,62.23,61.6,62.2,62.0
4,2015-03-06,62.87,60.8,62.16,60.89
5,2015-03-09,61.63,60.8,60.84,61.5
6,2015-03-10,61.01,59.96,60.76,59.96
7,2015-03-11,60.65,59.96,60.13,60.24
8,2015-03-12,61.45,60.65,60.65,61.37
9,2015-03-13,61.86,60.43,61.4,61.0
10,2015-03-16,61.92,61.25,61.5,61.85
11,2015-03-17,61.66,60.92,61.34,61.61
12,2015-03-18,62.05,61.09,61.39,61.75
13,2015-03-19,61.65,60.76,61.57,61.2
14,2015-03-20,62.1,61.15,61.32,61.75
15,2015-03-23,62.08,61.12,61.75,61.14
16,2015-03-24,61.24,60.45,60.97,60.46
17,2015-03-25,60.64,59.59,60.53,59.61
18,2015-03-26,59.79,58.87,59.46,59.54
19,2015-03-27,59.78,59.0,59.49,59.55
20,2015-03-30,61.46,60.61,60.88,60.96
21,2015-03-31,60.94,60.42,60.72,60.58
22,2015-04-01,60.57,59.73,60.41,59.95
23,2015-04-02,60.7,60.0,60.07,60.52
24,2015-04-06,60.75,59.65,59.92,60.47
25,2015-04-07,61.5,60.85,61.15,60.85
26,2015-04-08,61.56,60.94,61.06,61.05
27,2015-04-09,61.58,60.83,61.27,61.47
28,2015-04-10,61.78,61.2,61.35,61.7
29,2015-04-13,62.27,61.5,61.64,62.07
30,2015-04-14,63.61,62.74,62.96,63.04
31,2015-04-15,64.48,63.01,63.08,64.21
32,2015-04-16,64.27,63.66,64.08,63.81
33,2015-04-17,63.4,62.49,63.25,62.84
34,2015-04-20,63.52,63.14,63.22,63.24
35,2015-04-21,63.6,62.13,63.33,62.31
36,2015-04-22,63.15,62.03,62.65,62.94
37,2015-04-23,63.21,62.6,62.79,62.8
38,2015-04-24,62.84,62.34,62.63,62.6
39,2015-04-27,63.15,62.31,62.7,62.34
40,2015-04-28,62.78,61.77,62.49,62.76
