,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,33.42,33.01,33.19,33.38
1,2015-03-03,33.46,33.21,33.25,33.32
2,2015-03-04,33.27,33.04,33.27,33.15
3,2015-03-05,33.31,32.88,33.15,33.29
4,2015-03-06,34.02,33.31,33.43,33.5
5,2015-03-09,33.79,33.48,33.53,33.73
6,2015-03-10,33.47,33.04,33.36,33.04
7,2015-03-11,33.37,33.05,33.19,33.35
8,2015-03-12,34.18,33.37,33.59,34.15
9,2015-03-13,34.15,33.55,34.15,33.93
10,2015-03-16,34.18,33.84,34.16,33.99
11,2015-03-17,34.15,33.7,33.77,34.14
12,2015-03-18,34.35,33.71,34.17,33.92
13,2015-03-19,33.97,33.36,33.97,33.64
14,2015-03-20,34.02,33.59,33.63,34.01
15,2015-03-23,34.12,33.67,34.05,33.76
16,2015-03-24,33.78,33.52,33.64,33.6
17,2015-03-25,33.63,33.0,33.62,33.03
18,2015-03-26,33.22,32.68,32.98,33.13
19,2015-03-27,33.14,32.81,33.14,33.06
20,2015-03-30,33.76,33.18,33.21,33.6
21,2015-03-31,33.55,33.3,33.4,33.51
22,2015-04-01,33.51,33.12,33.33,33.44
23,2015-04-02,33.7,33.38,33.39,33.63
24,2015-04-06,33.64,32.97,33.29,33.54
25,2015-04-07,33.79,33.47,33.48,33.57
26,2015-04-08,33.78,33.5,33.58,33.59
27,2015-04-09,33.65,33.33,33.58,33.61
28,2015-04-10,33.67,33.44,33.55,33.65
29,2015-04-13,34.01,33.63,33.65,33.94
30,2015-04-14,33.97,33.57,33.95,33.79
31,2015-04-15,34.33,33.75,33.77,34.19
32,2015-04-16,34.28,33.8,34.08,34.16
33,2015-04-17,34.04,33.58,33.97,33.67
34,2015-04-20,34.1,33.69,33.69,33.91
35,2015-04-21,34.17,33.85,34.06,33.92
36,2015-04-22,34.2,33.66,33.99,34.14
37,2015-04-23,34.18,33.88,34.02,34.06
38,2015-04-24,34.13,33.75,33.96,33.82
39,2015-04-27,34.06,33.45,33.84,33.57
40,2015-04-28,33.98,33.46,33.59,33.97
41,2015-04-29,34.37,33.84,33.95,34.17
42,2015-04-30,34.27,33.83,34.16,33.91
43,2015-05-01,34.17,33.69,34.15,33.81
44,2015-05-04,34.29,33.86,33.86,34.25
45,2015-05-05,34.43,34.03,34.2,34.08
46,2015-05-06,34.27,33.91,34.23,34.25
47,2015-05-07,34.34,33.94,34.06,34.14
48,2015-05-08,34.45,34.12,34.22,34.41
49,2015-05-11,34.68,34.34,34.38,34.58
50,2015-05-12,34.8,34.23,34.43,34.68
51,2015-05-13,34.9,34.52,34.7,34.83
52,2015-05-14,35.01,34.83,34.95,35.0
53,2015-05-15,35.06,34.4,35.0,34.53
54,2015-05-18,35.1,34.56,34.56,35.07
55,2015-05-19,35.4,35.13,35.17,35.37
56,2015-05-20,35.41,35.04,35.41,35.18
57,2015-05-21,35.27,34.98,35.12,35.13
58,2015-05-22,35.23,35.0,35.12,35.01
59,2015-05-26,34.96,34.58,34.96,34.77
60,2015-05-27,35.18,34.72,34.83,35.15
61,2015-05-28,35.17,34.93,35.06,35.16
62,2015-05-29,35.14,34.74,35.14,34.89
63,2015-06-01,35.09,34.55,35.09,34.75
64,2015-06-02,35.25,34.71,34.82,35.15
65,2015-06-03,35.76,35.31,35.37,35.66
66,2015-06-04,35.67,35.28,35.58,35.39
67,2015-06-05,36.01,35.6,35.75,35.99
68,2015-06-08,36.22,35.93,36.06,36.01
69,2015-06-09,36.47,35.86,36.1,36.34
70,2015-06-10,37.02,36.45,36.62,36.84
71,2015-06-11,36.93,36.59,36.92,36.82
72,2015-06-12,36.8,36.56,36.73,36.78
73,2015-06-15,36.85,36.21,36.5,36.69
74,2015-06-16,37.05,36.54,36.6,37.03
75,2015-06-17,37.26,36.43,37.22,36.51
76,2015-06-18,36.79,36.3,36.62,36.73
77,2015-06-19,36.62,36.38,36.56,36.38
78,2015-06-22,36.9,36.69,36.75,36.87
79,2015-06-23,37.27,36.97,36.97,37.2
80,2015-06-24,37.25,36.9,37.15,36.94
81,2015-06-25,37.24,36.79,37.14,36.91
82,2015-06-26,37.25,36.97,37.12,37.08
83,2015-06-29,36.85,36.11,36.5,36.14
84,2015-06-30,36.76,36.08,36.6,36.26
85,2015-07-01,37.1,36.5,36.87,36.7
86,2015-07-02,36.76,36.03,36.65,36.24
87,2015-07-06,36.16,35.71,35.8,36.14
88,2015-07-07,36.1,35.19,36.01,35.73
89,2015-07-08,35.54,35.15,35.42,35.28
90,2015-07-09,35.91,35.57,35.91,35.74
91,2015-07-10,36.32,35.98,36.25,36.16
92,2015-07-13,36.64,36.36,36.64,36.48
93,2015-07-14,36.63,36.25,36.39,36.59
