,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,44.19,43.55,43.67,43.88
1,2015-03-03,43.83,43.09,43.56,43.28
2,2015-03-04,43.21,42.88,43.01,43.06
3,2015-03-05,43.24,42.82,43.07,43.11
4,2015-03-06,43.11,42.15,43.0,42.36
5,2015-03-09,43.13,42.19,42.19,42.85
6,2015-03-10,42.71,42.03,42.35,42.03
7,2015-03-11,42.37,41.84,42.31,41.98
8,2015-03-12,41.65,40.86,41.33,41.02
9,2015-03-13,41.47,40.61,40.7,41.38
10,2015-03-16,41.64,41.28,41.47,41.56
11,2015-03-17,41.83,41.15,41.37,41.7
12,2015-03-18,42.83,41.33,41.43,42.5
13,2015-03-19,42.59,42.22,42.26,42.29
14,2015-03-20,42.98,42.49,42.56,42.88
15,2015-03-23,43.13,42.78,42.88,42.86
16,2015-03-24,43.17,42.75,42.78,42.9
17,2015-03-25,42.93,41.44,42.92,41.46
18,2015-03-26,41.61,40.92,41.22,41.21
19,2015-03-27,41.43,40.83,41.12,40.97
20,2015-03-30,41.54,40.91,41.1,40.96
21,2015-03-31,41.03,40.54,40.78,40.66
22,2015-04-01,40.76,40.31,40.6,40.72
23,2015-04-02,40.74,40.12,40.66,40.29
24,2015-04-06,41.78,40.18,40.34,41.55
25,2015-04-07,41.91,41.31,41.61,41.53
26,2015-04-08,41.69,41.04,41.46,41.42
27,2015-04-09,41.62,41.25,41.25,41.48
28,2015-04-10,41.95,41.41,41.63,41.72
29,2015-04-13,42.06,41.39,41.4,41.76
30,2015-04-14,42.03,41.39,41.8,41.65
31,2015-04-15,42.46,41.68,41.76,42.26
32,2015-04-16,42.34,41.82,41.95,42.16
33,2015-04-17,41.74,41.16,41.67,41.62
34,2015-04-20,43.17,41.68,41.73,42.91
35,2015-04-21,43.15,42.53,43.0,42.64
36,2015-04-22,43.13,42.55,42.67,42.99
37,2015-04-23,43.61,42.8,42.89,43.34
38,2015-04-24,48.14,45.65,45.66,47.87
39,2015-04-27,48.13,47.22,47.23,48.03
40,2015-04-28,49.21,47.7,47.78,49.16
41,2015-04-29,49.31,48.5,48.72,49.06
42,2015-04-30,49.54,48.6,48.7,48.64
43,2015-05-01,48.88,48.4,48.58,48.66
44,2015-05-04,48.87,48.18,48.37,48.24
45,2015-05-05,48.16,47.31,47.82,47.6
46,2015-05-06,47.77,46.02,47.57,46.28
47,2015-05-07,47.09,46.16,46.27,46.7
48,2015-05-08,47.98,47.52,47.55,47.75
49,2015-05-11,47.91,47.37,47.55,47.37
50,2015-05-12,47.68,46.42,46.85,47.35
51,2015-05-13,48.32,47.57,48.19,47.63
52,2015-05-14,48.82,48.03,48.03,48.72
53,2015-05-15,48.91,48.05,48.87,48.3
54,2015-05-18,48.22,47.61,47.98,48.01
