,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,68.61,67.23,67.71,68.61
1,2015-03-03,68.46,67.51,68.34,67.82
2,2015-03-04,67.93,66.18,67.53,67.11
3,2015-03-05,67.46,66.42,67.43,66.81
4,2015-03-06,66.93,64.84,66.64,64.87
5,2015-03-09,65.09,62.83,64.99,63.66
6,2015-03-10,63.35,61.98,63.02,62.15
7,2015-03-11,63.94,62.24,62.24,62.88
8,2015-03-12,64.58,63.34,63.35,64.05
9,2015-03-13,64.06,62.37,63.91,62.63
10,2015-03-16,61.55,59.62,61.55,60.28
11,2015-03-17,60.69,59.38,59.71,59.79
12,2015-03-18,60.65,59.3,59.74,60.45
13,2015-03-19,61.21,60.26,60.46,60.74
14,2015-03-20,61.79,60.9,61.34,61.19
15,2015-03-23,61.16,60.33,60.89,60.71
16,2015-03-24,63.1,61.12,61.14,62.61
17,2015-03-25,62.69,60.24,62.68,60.25
18,2015-03-26,60.45,59.39,59.63,59.75
19,2015-03-27,59.85,58.57,59.33,59.25
20,2015-03-30,60.56,59.36,59.72,60.37
21,2015-03-31,60.42,59.46,60.11,59.53
22,2015-04-01,59.79,58.7,59.64,59.02
23,2015-04-02,59.61,58.86,59.07,59.15
24,2015-04-06,60.45,58.46,58.77,60.33
25,2015-04-07,60.85,60.04,60.5,60.49
26,2015-04-08,63.11,61.18,61.2,63.05
27,2015-04-09,63.14,62.11,63.0,62.79
28,2015-04-10,65.0,63.95,64.4,64.94
29,2015-04-13,69.29,67.06,67.24,67.81
30,2015-04-14,69.14,67.42,68.86,68.39
31,2015-04-15,68.7,67.36,68.7,67.92
32,2015-04-16,81.25,75.71,76.0,80.29
33,2015-04-17,82.14,79.71,79.78,81.65
34,2015-04-20,82.3,80.38,81.79,81.06
35,2015-04-21,81.48,79.8,81.23,80.06
36,2015-04-22,80.71,79.54,80.21,79.67
37,2015-04-23,80.34,78.96,79.66,79.87
38,2015-04-24,80.81,79.51,80.17,79.77
39,2015-04-27,81.79,80.23,80.29,80.87
40,2015-04-28,81.28,79.94,80.59,80.44
41,2015-04-29,81.06,79.64,80.07,80.41
42,2015-04-30,80.84,79.12,80.24,79.5
43,2015-05-01,79.97,78.89,79.86,79.58
44,2015-05-04,79.71,78.9,79.57,79.27
45,2015-05-05,82.44,80.76,81.24,80.79
46,2015-05-06,81.21,79.52,81.03,80.08
47,2015-05-07,80.79,79.46,80.11,80.75
48,2015-05-08,82.15,80.96,81.04,82.09
49,2015-05-11,84.86,82.19,82.32,84.28
50,2015-05-12,83.81,82.99,83.81,83.38
51,2015-05-13,84.2,82.69,83.4,82.87
52,2015-05-14,83.92,82.33,83.29,83.84
53,2015-05-15,88.35,85.76,86.36,87.61
54,2015-05-18,88.53,87.02,87.54,88.27
55,2015-05-19,89.79,87.81,88.89,88.07
56,2015-05-20,89.11,87.36,88.21,88.79
57,2015-05-21,89.57,88.18,89.08,89.0
58,2015-05-22,89.41,88.69,89.18,88.84
59,2015-05-26,89.06,87.79,88.87,87.99
60,2015-05-27,89.91,87.93,88.14,89.86
61,2015-05-28,89.86,88.93,89.71,89.51
62,2015-05-29,90.21,88.96,89.47,89.15
63,2015-06-01,89.12,87.94,88.84,89.0
64,2015-06-02,89.68,88.41,88.71,89.13
65,2015-06-03,89.73,88.64,89.24,88.81
66,2015-06-04,89.43,88.04,88.38,89.35
67,2015-06-05,90.54,89.13,89.21,90.46
68,2015-06-08,90.82,89.0,90.71,89.6
69,2015-06-09,92.71,89.33,89.33,92.45
70,2015-06-10,98.97,93.23,93.4,95.87
71,2015-06-11,96.92,94.09,96.89,95.09
72,2015-06-12,95.34,94.12,94.92,94.42
73,2015-06-15,93.59,91.66,92.86,93.43
74,2015-06-16,95.61,93.69,94.24,95.27
75,2015-06-17,95.13,93.96,95.13,94.27
76,2015-06-18,95.34,94.37,94.65,94.74
77,2015-06-19,96.42,93.82,96.24,93.87
78,2015-06-22,96.69,94.19,95.04,96.41
79,2015-06-23,97.39,95.75,96.34,97.31
80,2015-06-24,100.89,96.4,100.01,96.94
81,2015-06-25,96.0,93.46,95.48,94.89
82,2015-06-26,95.31,93.09,95.3,93.09
83,2015-06-29,92.91,91.12,91.51,92.23
84,2015-06-30,94.36,92.79,93.36,93.85
85,2015-07-01,95.24,93.22,94.81,93.64
86,2015-07-02,94.2,93.21,94.0,94.04
87,2015-07-06,94.93,93.34,93.47,94.57
88,2015-07-07,95.43,92.62,95.01,94.09
89,2015-07-08,94.0,92.28,93.47,93.51
90,2015-07-09,95.85,94.29,94.9,95.73
91,2015-07-10,98.5,96.9,97.52,97.23
92,2015-07-13,102.31,98.08,98.1,101.09
93,2015-07-14,101.64,99.65,101.27,100.37
94,2015-07-15,100.75,97.05,99.97,98.13
95,2015-07-16,116.49,107.68,111.02,115.81
96,2015-07-17,117.88,114.24,117.34,114.77
97,2015-07-20,114.7,110.14,114.7,110.55
98,2015-07-21,113.71,109.32,110.21,112.51
99,2015-07-22,113.88,110.56,112.14,111.5
100,2015-07-23,112.18,109.84,110.91,110.1
101,2015-07-24,111.68,108.9,111.55,109.34
102,2015-07-27,109.86,106.25,107.79,106.43
103,2015-07-28,107.94,103.88,107.29,106.9
104,2015-07-29,107.75,105.4,106.83,107.08
105,2015-07-30,111.9,105.4,106.4,111.56
106,2015-07-31,115.0,111.15,111.95,114.31
107,2015-08-03,114.6,111.78,114.6,112.56
108,2015-08-04,122.79,113.0,113.15,121.15
109,2015-08-05,129.29,122.71,125.62,123.71
110,2015-08-06,128.85,122.04,126.29,126.45
111,2015-08-07,126.6,121.3,126.42,123.52
112,2015-08-10,126.5,121.51,126.09,123.03
113,2015-08-11,123.76,120.0,120.01,122.74
114,2015-08-12,122.45,118.66,121.47,120.51
115,2015-08-13,125.73,119.34,120.99,123.73
116,2015-08-14,125.0,123.0,124.96,123.39
117,2015-08-17,125.7,122.59,123.14,125.36
118,2015-08-18,126.75,123.55,125.26,124.05
119,2015-08-19,123.7,121.5,123.5,122.06
120,2015-08-20,121.45,111.34,119.8,112.49
121,2015-08-21,110.0,102.75,106.2,103.96
122,2015-08-24,109.63,85.5,88.75,96.88
123,2015-08-25,107.88,101.5,107.75,101.52
124,2015-08-26,110.28,102.02,107.15,110.13
125,2015-08-27,118.25,113.02,114.94,117.66
126,2015-08-28,119.35,115.88,116.35,117.63
127,2015-08-31,117.0,113.76,115.24,115.03
128,2015-09-01,111.24,103.82,109.35,105.79
129,2015-09-02,109.5,100.3,109.31,105.44
130,2015-09-03,104.17,100.11,102.69,101.06
131,2015-09-04,99.93,97.34,98.05,98.79
132,2015-09-08,102.5,93.55,102.08,94.95
133,2015-09-09,102.79,95.52,96.51,99.18
134,2015-09-10,100.85,96.78,99.42,99.48
135,2015-09-11,100.85,97.23,98.57,97.51
136,2015-09-14,97.91,94.33,96.84,95.69
137,2015-09-15,99.65,93.61,95.22,99.16
138,2015-09-16,104.48,99.33,99.7,104.08
139,2015-09-17,107.5,101.83,103.67,104.21
140,2015-09-18,104.36,100.71,102.0,102.62
141,2015-09-21,103.77,99.56,103.3,100.3
142,2015-09-22,99.9,97.0,98.29,98.47
143,2015-09-23,99.74,97.66,98.6,98.07
144,2015-09-24,104.0,96.78,97.11,103.76
145,2015-09-25,105.45,101.57,105.3,102.24
146,2015-09-28,103.33,97.84,101.57,99.47
147,2015-09-29,100.63,96.85,99.63,98.35
148,2015-09-30,103.46,99.05,99.91,103.26
149,2015-10-01,106.11,101.12,102.91,105.98
150,2015-10-02,106.87,101.45,103.01,106.11
151,2015-10-05,112.28,105.76,107.48,111.25
152,2015-10-06,112.25,105.64,110.33,108.33
153,2015-10-07,109.78,106.75,108.84,108.1
154,2015-10-08,115.05,102.6,107.94,114.93
155,2015-10-09,115.83,112.44,114.11,113.33
156,2015-10-12,115.42,112.36,114.45,113.45
157,2015-10-13,113.72,108.78,112.85,109.73
158,2015-10-14,111.63,108.05,111.5,110.23
159,2015-10-15,104.88,99.1,103.77,101.09
160,2015-10-16,101.65,98.41,100.21,98.99
161,2015-10-19,103.62,96.26,98.07,101.69
162,2015-10-20,102.11,97.58,101.06,98.99
163,2015-10-21,100.34,97.01,99.67,97.96
164,2015-10-22,99.93,96.86,98.07,97.32
165,2015-10-23,101.56,97.27,97.61,100.04
166,2015-10-26,103.31,99.38,100.05,103.04
167,2015-10-27,104.72,101.23,102.58,103.07
168,2015-10-28,106.21,102.06,102.9,105.8
169,2015-10-29,106.91,104.75,105.0,105.12
170,2015-10-30,110.1,104.9,105.12,108.38
171,2015-11-02,109.37,106.3,109.2,107.64
172,2015-11-03,111.05,107.24,107.36,109.74
173,2015-11-04,114.28,109.39,110.36,114.05
174,2015-11-05,115.68,111.72,113.75,113.5
175,2015-11-06,114.8,112.05,113.39,114.06
176,2015-11-09,114.0,108.64,113.36,109.86
177,2015-11-10,112.84,108.01,108.86,112.7
178,2015-11-11,114.61,111.41,113.08,112.86
179,2015-11-12,115.25,108.2,112.52,108.92
180,2015-11-13,109.07,103.27,108.34,103.65
181,2015-11-16,111.65,101.86,102.97,111.35
182,2015-11-17,118.79,111.7,112.11,117.1
183,2015-11-18,121.0,116.1,117.94,120.63
184,2015-11-19,123.13,119.61,120.25,120.22
185,2015-11-20,124.07,119.21,120.85,123.84
186,2015-11-23,126.2,121.66,124.3,125.03
187,2015-11-24,124.66,120.03,123.67,123.31
188,2015-11-25,125.2,122.36,124.23,124.16
189,2015-11-27,126.39,123.59,123.85,125.44
190,2015-11-30,126.6,122.89,126.03,123.33
191,2015-12-01,125.57,122.42,124.47,125.37
192,2015-12-02,131.35,124.93,125.53,128.93
193,2015-12-03,132.2,126.39,129.62,126.81
194,2015-12-04,130.99,125.75,127.0,130.93
195,2015-12-07,133.27,122.75,131.19,125.36
196,2015-12-08,128.24,121.1,121.51,126.98
197,2015-12-09,128.78,122.33,127.7,124.2
198,2015-12-10,125.21,121.62,124.5,122.91
199,2015-12-11,123.0,118.6,121.45,118.91
200,2015-12-14,120.9,114.66,119.77,120.67
201,2015-12-15,123.3,118.54,121.93,118.6
202,2015-12-16,123.0,118.09,119.8,122.64
203,2015-12-17,126.35,122.42,123.97,122.51
204,2015-12-18,122.19,117.92,120.85,118.02
205,2015-12-21,119.59,115.66,119.51,116.63
206,2015-12-22,117.43,114.86,117.3,116.24
207,2015-12-23,118.56,115.78,116.91,118.16
208,2015-12-24,118.8,117.3,118.22,117.33
209,2015-12-28,117.35,113.85,117.26,117.11
210,2015-12-29,119.6,116.92,118.19,119.12
211,2015-12-30,119.02,116.43,118.95,116.71
212,2015-12-31,117.46,114.28,116.21,114.38
213,2016-01-04,110.0,105.21,109.0,109.96
214,2016-01-05,110.58,105.85,110.45,107.66
215,2016-01-06,117.91,104.96,105.29,117.68
216,2016-01-07,122.18,112.29,116.36,114.56
217,2016-01-08,117.72,111.1,116.33,111.39
218,2016-01-11,116.79,111.2,112.13,114.97
219,2016-01-12,117.78,115.08,116.11,116.58
220,2016-01-13,114.48,104.53,114.43,106.56
221,2016-01-14,109.25,101.21,105.65,107.06
222,2016-01-15,105.5,101.72,102.43,104.04
223,2016-01-19,110.14,105.55,106.57,107.89
224,2016-01-20,109.99,97.05,108.91,107.74
225,2016-01-21,108.51,102.1,108.32,102.35
226,2016-01-22,104.99,99.22,104.72,100.72
227,2016-01-25,102.68,99.0,99.78,99.12
228,2016-01-26,100.55,94.85,99.74,97.83
229,2016-01-27,97.85,90.59,96.61,91.15
230,2016-01-28,95.25,90.11,93.84,94.41
231,2016-01-29,94.39,90.63,92.0,91.84
232,2016-02-01,97.18,91.3,91.79,94.09
233,2016-02-02,96.65,90.73,95.54,91.49
234,2016-02-03,92.69,86.14,92.41,90.74
235,2016-02-04,91.25,86.54,89.5,89.71
236,2016-02-05,88.95,81.86,88.23,82.79
237,2016-02-08,84.7,79.95,80.57,83.32
238,2016-02-09,88.4,81.55,81.75,86.13
239,2016-02-10,92.21,87.42,89.0,88.45
