,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,3.75,3.53,3.71,3.57
1,2015-03-03,3.67,3.48,3.63,3.52
2,2015-03-04,3.56,3.35,3.52,3.38
3,2015-03-05,3.49,3.35,3.37,3.45
4,2015-03-06,3.42,3.21,3.32,3.26
5,2015-03-09,3.33,3.0,3.33,3.0
6,2015-03-10,3.13,2.72,3.0,2.84
7,2015-03-11,3.06,2.72,2.81,3.04
8,2015-03-12,3.1,2.95,3.08,3.01
9,2015-03-13,3.21,2.96,3.01,3.13
10,2015-03-16,3.12,2.87,3.12,2.97
11,2015-03-17,3.01,2.84,2.95,2.85
12,2015-03-18,3.06,2.82,2.83,3.05
13,2015-03-19,3.14,2.98,2.98,3.02
14,2015-03-20,3.23,3.03,3.05,3.05
15,2015-03-23,3.32,3.1,3.15,3.19
16,2015-03-24,3.26,3.11,3.23,3.15
17,2015-03-25,3.22,3.09,3.17,3.13
18,2015-03-26,3.24,2.97,3.2,2.99
19,2015-03-27,3.09,2.92,3.0,3.02
20,2015-03-30,3.02,2.9,2.98,2.93
21,2015-03-31,2.96,2.87,2.9,2.96
22,2015-04-01,3.2,2.9,2.99,3.14
23,2015-04-02,3.19,3.06,3.11,3.13
24,2015-04-06,3.42,3.27,3.36,3.42
25,2015-04-07,3.45,3.31,3.45,3.41
26,2015-04-08,3.5,3.4,3.42,3.45
27,2015-04-09,3.48,3.37,3.43,3.42
28,2015-04-10,3.61,3.48,3.48,3.61
29,2015-04-13,3.62,3.42,3.62,3.46
30,2015-04-14,3.56,3.42,3.47,3.45
31,2015-04-15,3.6,3.45,3.46,3.58
32,2015-04-16,3.66,3.55,3.6,3.63
33,2015-04-17,3.69,3.62,3.64,3.67
34,2015-04-20,3.7,3.55,3.65,3.69
35,2015-04-21,3.7,3.61,3.7,3.63
36,2015-04-22,3.67,3.55,3.67,3.56
37,2015-04-23,3.65,3.55,3.55,3.62
38,2015-04-24,3.67,3.56,3.58,3.58
39,2015-04-27,3.73,3.58,3.59,3.72
40,2015-04-28,3.91,3.72,3.72,3.89
41,2015-04-29,4.02,3.8,3.89,3.98
42,2015-04-30,3.92,3.82,3.91,3.84
43,2015-05-01,3.85,3.73,3.8,3.76
44,2015-05-04,3.86,3.73,3.82,3.86
45,2015-05-05,3.91,3.83,3.89,3.88
46,2015-05-06,3.92,3.8,3.92,3.85
47,2015-05-07,3.87,3.72,3.8,3.84
48,2015-05-08,3.92,3.79,3.88,3.92
49,2015-05-11,3.98,3.9,3.97,3.92
50,2015-05-12,4.01,3.94,3.96,3.99
51,2015-05-13,4.17,4.03,4.06,4.13
52,2015-05-14,4.25,4.08,4.17,4.13
53,2015-05-15,4.2,4.09,4.12,4.18
54,2015-05-18,4.24,4.1,4.17,4.12
55,2015-05-19,4.08,3.94,4.0,4.01
56,2015-05-20,4.16,4.02,4.03,4.12
57,2015-05-21,4.19,4.07,4.12,4.08
58,2015-05-22,4.15,4.0,4.06,4.08
59,2015-05-26,4.02,3.92,4.0,4.02
60,2015-05-27,4.06,3.98,4.02,4.02
61,2015-05-28,4.15,4.0,4.02,4.11
62,2015-05-29,4.18,4.01,4.12,4.09
63,2015-06-01,4.16,4.04,4.12,4.08
64,2015-06-02,4.18,4.08,4.14,4.16
65,2015-06-03,4.16,4.01,4.16,4.04
66,2015-06-04,4.15,3.91,4.01,4.15
67,2015-06-05,4.09,3.99,4.06,4.0
68,2015-06-08,4.09,3.99,4.05,4.09
69,2015-06-09,4.17,3.97,4.11,4.01
70,2015-06-10,4.12,3.95,4.1,4.0
71,2015-06-11,3.98,3.8,3.95,3.8
72,2015-06-12,3.82,3.75,3.8,3.8
73,2015-06-15,3.84,3.73,3.81,3.76
74,2015-06-16,3.76,3.68,3.73,3.71
75,2015-06-17,3.8,3.65,3.69,3.8
76,2015-06-18,3.9,3.75,3.9,3.79
77,2015-06-19,3.96,3.72,3.77,3.92
78,2015-06-22,3.91,3.69,3.81,3.7
79,2015-06-23,3.74,3.66,3.66,3.68
80,2015-06-24,3.71,3.6,3.68,3.6
81,2015-06-25,3.63,3.55,3.6,3.61
82,2015-06-26,3.63,3.51,3.61,3.52
83,2015-06-29,3.61,3.48,3.54,3.5
84,2015-06-30,3.53,3.37,3.48,3.42
85,2015-07-01,3.4,3.2,3.4,3.22
86,2015-07-02,3.31,3.2,3.23,3.27
87,2015-07-06,3.48,3.24,3.29,3.42
88,2015-07-07,3.37,3.14,3.32,3.14
89,2015-07-08,3.34,3.14,3.24,3.22
90,2015-07-09,3.25,3.1,3.25,3.13
91,2015-07-10,3.28,3.12,3.18,3.2
92,2015-07-13,3.34,3.11,3.21,3.34
93,2015-07-14,3.46,3.29,3.39,3.32
94,2015-07-15,3.29,3.1,3.27,3.11
95,2015-07-16,3.15,3.03,3.09,3.08
96,2015-07-17,3.06,2.95,3.03,2.99
97,2015-07-20,2.9,2.65,2.9,2.68
98,2015-07-21,2.89,2.67,2.68,2.88
99,2015-07-22,2.98,2.75,2.75,2.93
100,2015-07-23,3.0,2.8,2.96,2.88
101,2015-07-24,3.2,2.79,2.83,3.18
102,2015-07-27,3.32,2.99,3.14,3.0
103,2015-07-28,3.14,3.02,3.03,3.1
104,2015-07-29,3.25,3.08,3.09,3.19
105,2015-07-30,3.19,2.96,3.18,2.96
106,2015-07-31,3.1,2.98,3.06,3.05
107,2015-08-03,3.07,2.91,3.01,2.93
108,2015-08-04,3.07,2.96,2.96,3.04
109,2015-08-05,3.1,2.94,3.02,2.94
110,2015-08-06,3.14,2.94,3.0,3.12
111,2015-08-07,3.3,3.11,3.13,3.11
112,2015-08-10,3.4,3.12,3.13,3.4
113,2015-08-11,3.55,3.19,3.42,3.53
114,2015-08-12,3.78,3.58,3.63,3.74
115,2015-08-13,3.74,3.47,3.63,3.49
116,2015-08-14,3.59,3.39,3.59,3.47
117,2015-08-17,3.72,3.48,3.48,3.68
118,2015-08-18,3.65,3.52,3.62,3.61
119,2015-08-19,3.75,3.6,3.64,3.72
120,2015-08-20,3.88,3.6,3.81,3.62
121,2015-08-21,3.74,3.53,3.68,3.57
122,2015-08-24,3.6,3.29,3.49,3.35
123,2015-08-25,3.5,3.21,3.42,3.46
124,2015-08-26,3.54,3.2,3.2,3.43
125,2015-08-27,3.65,3.4,3.48,3.55
126,2015-08-28,3.82,3.58,3.58,3.75
127,2015-08-31,3.76,3.56,3.72,3.73
128,2015-09-01,3.79,3.57,3.74,3.59
129,2015-09-02,3.63,3.46,3.58,3.56
130,2015-09-03,3.71,3.46,3.46,3.53
131,2015-09-04,3.55,3.45,3.5,3.53
132,2015-09-08,3.62,3.48,3.62,3.51
133,2015-09-09,3.56,3.39,3.48,3.42
134,2015-09-10,3.57,3.43,3.47,3.49
135,2015-09-11,3.69,3.44,3.48,3.68
136,2015-09-14,3.68,3.45,3.65,3.46
137,2015-09-15,3.56,3.44,3.45,3.46
138,2015-09-16,3.69,3.53,3.54,3.69
139,2015-09-17,3.7,3.54,3.6,3.67
140,2015-09-18,3.79,3.63,3.75,3.74
141,2015-09-21,3.84,3.68,3.69,3.75
142,2015-09-22,3.73,3.49,3.65,3.52
143,2015-09-23,3.66,3.54,3.58,3.6
144,2015-09-24,3.86,3.67,3.7,3.83
145,2015-09-25,3.85,3.72,3.78,3.74
146,2015-09-28,3.68,3.48,3.62,3.5
147,2015-09-29,3.65,3.49,3.54,3.52
148,2015-09-30,3.63,3.46,3.5,3.61
149,2015-10-01,3.72,3.45,3.64,3.46
150,2015-10-02,3.72,3.57,3.59,3.72
151,2015-10-05,3.83,3.7,3.72,3.71
152,2015-10-06,3.86,3.72,3.78,3.73
153,2015-10-07,3.82,3.56,3.82,3.77
154,2015-10-08,3.8,3.63,3.67,3.69
155,2015-10-09,3.86,3.7,3.84,3.8
156,2015-10-12,3.83,3.7,3.82,3.75
157,2015-10-13,3.79,3.7,3.7,3.75
158,2015-10-14,4.03,3.78,3.81,3.93
159,2015-10-15,4.05,3.89,3.93,4.03
160,2015-10-16,4.04,3.78,3.98,3.8
161,2015-10-19,3.82,3.61,3.75,3.67
162,2015-10-20,3.8,3.65,3.68,3.75
163,2015-10-21,3.75,3.62,3.73,3.62
164,2015-10-22,3.76,3.57,3.65,3.76
165,2015-10-23,3.95,3.71,3.8,3.92
166,2015-10-26,3.97,3.78,3.96,3.79
167,2015-10-27,3.88,3.68,3.78,3.82
168,2015-10-28,3.94,3.64,3.9,3.75
169,2015-10-29,3.74,3.6,3.73,3.66
170,2015-10-30,3.69,3.59,3.64,3.62
171,2015-11-02,3.73,3.55,3.6,3.71
172,2015-11-03,3.7,3.6,3.61,3.67
173,2015-11-04,3.72,3.57,3.67,3.61
174,2015-11-05,3.6,3.44,3.58,3.45
175,2015-11-06,3.31,3.05,3.31,3.27
176,2015-11-09,3.47,3.24,3.24,3.44
177,2015-11-10,3.5,3.32,3.4,3.41
178,2015-11-11,3.52,3.37,3.41,3.48
179,2015-11-12,3.5,3.37,3.4,3.47
180,2015-11-13,3.57,3.39,3.42,3.57
181,2015-11-16,3.69,3.59,3.63,3.62
182,2015-11-17,3.62,3.41,3.59,3.44
183,2015-11-18,3.57,3.38,3.44,3.56
184,2015-11-19,3.68,3.55,3.57,3.63
185,2015-11-20,3.67,3.45,3.65,3.48
186,2015-11-23,3.6,3.47,3.47,3.56
187,2015-11-24,3.68,3.56,3.63,3.6
188,2015-11-25,3.67,3.55,3.56,3.59
189,2015-11-27,3.61,3.46,3.51,3.59
190,2015-11-30,3.76,3.6,3.6,3.74
191,2015-12-01,3.94,3.71,3.77,3.92
192,2015-12-02,3.98,3.7,3.8,3.94
193,2015-12-03,4.01,3.91,3.98,3.96
194,2015-12-04,4.27,3.99,3.99,4.26
195,2015-12-07,4.23,4.01,4.19,4.07
196,2015-12-08,4.14,3.98,4.07,4.07
197,2015-12-09,4.27,4.1,4.18,4.14
198,2015-12-10,4.24,4.1,4.11,4.19
199,2015-12-11,4.38,4.12,4.13,4.31
200,2015-12-14,4.39,4.21,4.32,4.28
201,2015-12-15,4.39,4.24,4.31,4.28
202,2015-12-16,4.6,4.34,4.38,4.47
203,2015-12-17,4.35,3.93,4.28,3.98
204,2015-12-18,4.35,4.07,4.1,4.25
205,2015-12-21,4.47,4.25,4.3,4.32
206,2015-12-22,4.41,4.26,4.36,4.33
207,2015-12-23,4.41,4.26,4.33,4.4
208,2015-12-24,4.44,4.34,4.41,4.4
209,2015-12-28,4.39,4.22,4.34,4.26
210,2015-12-29,4.32,4.11,4.31,4.26
211,2015-12-30,4.28,4.12,4.14,4.25
212,2015-12-31,4.27,4.14,4.27,4.21
213,2016-01-04,4.44,4.28,4.35,4.31
214,2016-01-05,4.43,4.26,4.35,4.28
215,2016-01-06,4.39,4.21,4.33,4.22
216,2016-01-07,4.33,4.01,4.3,4.27
217,2016-01-08,4.34,4.09,4.17,4.24
218,2016-01-11,4.28,4.01,4.28,4.04
219,2016-01-12,4.01,3.83,3.99,3.95
220,2016-01-13,4.06,3.82,3.93,3.9
221,2016-01-14,3.91,3.66,3.88,3.71
222,2016-01-15,3.89,3.67,3.86,3.79
223,2016-01-19,3.84,3.5,3.8,3.54
224,2016-01-20,3.87,3.5,3.59,3.8
225,2016-01-21,3.76,3.6,3.76,3.67
226,2016-01-22,3.88,3.62,3.69,3.8
227,2016-01-25,3.92,3.77,3.86,3.9
228,2016-01-26,4.24,3.95,3.98,4.07
229,2016-01-27,4.24,4.0,4.07,4.15
230,2016-01-28,4.15,3.98,4.08,4.06
231,2016-01-29,4.21,4.01,4.06,4.21
232,2016-02-01,4.31,4.11,4.25,4.13
233,2016-02-02,4.22,4.03,4.07,4.07
234,2016-02-03,4.42,4.09,4.14,4.34
235,2016-02-04,4.46,4.29,4.46,4.31
236,2016-02-05,4.55,4.2,4.24,4.52
237,2016-02-08,4.8,4.52,4.56,4.57
238,2016-02-09,4.65,4.22,4.65,4.31
239,2016-02-10,4.46,4.13,4.26,4.46
240,2016-02-11,4.93,4.58,4.78,4.71
241,2016-02-12,4.84,4.6,4.63,4.84
242,2016-02-16,4.89,4.48,4.71,4.57
243,2016-02-17,4.78,4.53,4.67,4.65
244,2016-02-18,4.94,4.63,4.63,4.9
245,2016-02-19,4.92,4.76,4.89,4.84
246,2016-02-22,4.94,4.71,4.71,4.74
247,2016-02-23,5.0,4.76,4.83,4.81
248,2016-02-24,5.05,4.77,5.0,4.89
249,2016-02-25,4.94,4.75,4.85,4.85
250,2016-02-26,4.9,4.63,4.76,4.81
251,2016-02-29,4.96,4.84,4.91,4.96
252,2016-03-01,5.02,4.7,4.97,4.82
253,2016-03-02,4.97,4.79,4.84,4.88
254,2016-03-03,5.07,4.88,4.92,5.03
255,2016-03-04,5.29,5.0,5.05,5.02
256,2016-03-07,5.39,5.04,5.19,5.18
257,2016-03-08,5.26,5.05,5.24,5.15
258,2016-03-09,5.19,4.8,5.06,5.17
259,2016-03-10,5.51,5.15,5.15,5.39
260,2016-03-11,5.45,5.09,5.4,5.11
261,2016-03-14,5.3,4.95,5.21,5.0
262,2016-03-15,5.07,4.8,4.94,5.05
263,2016-03-16,5.42,4.92,4.93,5.42
264,2016-03-17,5.57,5.27,5.5,5.31
265,2016-03-18,5.39,5.15,5.3,5.29
266,2016-03-21,5.47,5.25,5.26,5.32
267,2016-03-22,5.45,5.16,5.38,5.24
268,2016-03-23,5.14,4.92,5.09,4.95
269,2016-03-24,4.96,4.8,4.95,4.94
270,2016-03-28,4.97,4.83,4.96,4.93
271,2016-03-29,5.25,4.91,4.99,5.25
272,2016-03-30,5.23,4.98,5.21,5.14
273,2016-03-31,5.25,5.04,5.25,5.04
274,2016-04-01,5.18,4.85,4.9,5.16
275,2016-04-04,5.16,5.01,5.16,5.05
276,2016-04-05,5.42,5.12,5.13,5.3
277,2016-04-06,5.4,5.15,5.23,5.3
278,2016-04-07,5.55,5.42,5.44,5.47
279,2016-04-08,5.85,5.5,5.51,5.76
280,2016-04-11,6.25,5.9,5.91,6.1
281,2016-04-12,6.2,5.92,6.19,6.12
282,2016-04-13,6.09,5.92,5.99,5.96
283,2016-04-14,5.95,5.75,5.92,5.86
284,2016-04-15,6.09,5.83,5.92,5.98
285,2016-04-18,6.08,5.98,6.07,5.99
286,2016-04-19,6.21,6.1,6.19,6.18
287,2016-04-20,6.25,5.9,6.12,5.95
288,2016-04-21,6.15,5.97,6.06,6.03
289,2016-04-22,6.12,5.79,5.98,5.9
290,2016-04-25,5.99,5.77,5.89,5.8
291,2016-04-26,6.04,5.79,5.85,5.98
292,2016-04-27,6.11,5.83,6.02,6.0
293,2016-04-28,6.21,6.0,6.04,6.16
294,2016-04-29,6.51,6.21,6.27,6.49
295,2016-05-02,6.57,6.27,6.57,6.36
296,2016-05-03,6.45,6.08,6.35,6.18
297,2016-05-04,6.24,5.92,6.08,6.02
298,2016-05-05,6.25,6.05,6.14,6.24
299,2016-05-06,6.51,6.32,6.34,6.39
300,2016-05-09,6.36,6.16,6.18,6.2
301,2016-05-10,6.29,6.02,6.19,6.25
302,2016-05-11,6.44,6.11,6.35,6.38
303,2016-05-12,6.4,6.14,6.38,6.18
304,2016-05-13,6.27,6.11,6.18,6.13
305,2016-05-16,6.4,6.17,6.28,6.23
306,2016-05-17,6.49,6.12,6.24,6.28
307,2016-05-18,6.27,5.81,6.13,5.82
308,2016-05-19,5.97,5.5,5.66,5.96
309,2016-05-20,6.08,5.76,6.02,5.98
310,2016-05-23,5.84,5.59,5.66,5.71
311,2016-05-24,5.7,5.22,5.61,5.24
312,2016-05-25,5.33,5.03,5.19,5.32
313,2016-05-26,5.48,5.32,5.42,5.35
314,2016-05-27,5.36,5.09,5.35,5.1
315,2016-05-31,5.47,5.01,5.03,5.38
316,2016-06-01,5.51,5.28,5.42,5.36
317,2016-06-02,5.4,5.22,5.34,5.24
318,2016-06-03,5.89,5.53,5.62,5.88
319,2016-06-06,6.0,5.73,5.92,5.9
320,2016-06-07,5.9,5.72,5.78,5.77
321,2016-06-08,6.1,5.9,6.03,6.0
322,2016-06-09,6.25,5.94,6.0,6.25
323,2016-06-10,6.48,6.24,6.31,6.27
324,2016-06-13,6.52,6.3,6.41,6.41
325,2016-06-14,6.5,6.23,6.43,6.34
326,2016-06-15,6.56,6.23,6.31,6.51
327,2016-06-16,6.79,6.22,6.65,6.29
328,2016-06-17,6.37,6.14,6.33,6.27
329,2016-06-20,6.45,6.07,6.11,6.34
330,2016-06-21,6.42,6.12,6.21,6.3
331,2016-06-22,6.33,6.12,6.25,6.29
332,2016-06-23,6.27,6.15,6.24,6.19
333,2016-06-24,6.77,6.3,6.61,6.4
334,2016-06-27,6.58,6.09,6.47,6.28
335,2016-06-28,6.15,5.91,6.15,6.06
336,2016-06-29,6.23,5.98,6.1,6.11
337,2016-06-30,6.18,6.02,6.18,6.12
338,2016-07-01,6.8,6.28,6.29,6.79
339,2016-07-05,7.07,6.68,6.8,7.01
340,2016-07-06,7.27,6.98,7.1,7.2
341,2016-07-07,7.18,6.85,7.0,7.0
342,2016-07-08,7.15,6.85,6.96,7.12
343,2016-07-11,7.29,7.01,7.08,7.27
344,2016-07-12,7.28,6.91,7.23,6.95
345,2016-07-13,7.2,6.99,7.04,7.13
346,2016-07-14,7.17,6.8,6.94,7.15
347,2016-07-15,7.27,7.0,7.03,7.0
348,2016-07-18,7.14,6.95,7.0,7.01
349,2016-07-19,7.01,6.81,6.97,6.82
350,2016-07-20,6.76,6.28,6.72,6.33
351,2016-07-21,6.57,6.32,6.36,6.47
352,2016-07-22,6.41,6.19,6.35,6.36
353,2016-07-25,6.3,6.06,6.3,6.1
354,2016-07-26,6.33,6.11,6.27,6.26
355,2016-07-27,6.66,6.28,6.35,6.66
356,2016-07-28,6.75,6.59,6.75,6.66
357,2016-07-29,7.08,6.73,6.84,6.96
358,2016-08-01,7.09,6.89,7.0,7.05
359,2016-08-02,7.27,7.09,7.11,7.12
360,2016-08-03,7.19,6.91,7.09,6.96
361,2016-08-04,7.17,6.98,7.01,7.13
362,2016-08-05,6.96,6.7,6.9,6.77
363,2016-08-08,6.92,6.73,6.78,6.8
364,2016-08-09,6.91,6.69,6.81,6.73
365,2016-08-10,6.92,6.68,6.91,6.74
366,2016-08-11,6.85,6.67,6.72,6.68
367,2016-08-12,6.84,6.56,6.81,6.58
368,2016-08-15,6.66,6.53,6.58,6.59
369,2016-08-16,6.65,6.45,6.6,6.49
370,2016-08-17,6.45,6.21,6.45,6.37
371,2016-08-18,6.44,6.32,6.38,6.4
372,2016-08-19,6.29,6.04,6.23,6.04
373,2016-08-22,6.08,5.85,5.94,6.06
374,2016-08-23,6.18,5.85,6.13,5.85
375,2016-08-24,5.75,5.38,5.75,5.5
376,2016-08-25,5.58,5.39,5.44,5.56
377,2016-08-26,5.78,5.4,5.77,5.42
378,2016-08-29,5.6,5.32,5.39,5.52
379,2016-08-30,5.54,5.22,5.45,5.32
