,Date,Price High,Price Low,Price Open,Price Close
0,2019-11-07,13.25,12.25,12.75,12.52
1,2019-11-08,13.25,12.67,12.78,13.02
2,2019-11-11,13.74,13.05,13.05,13.4
3,2019-11-12,13.69,13.3,13.51,13.55
4,2019-11-13,14.99,13.55,13.61,14.45
5,2019-11-14,16.72,14.83,14.85,15.35
6,2019-11-15,16.17,15.0,15.59,15.1
7,2019-11-18,15.73,14.85,15.5,15.69
8,2019-11-19,16.9,15.3,15.65,16.09
9,2019-11-20,16.37,15.61,16.2,16.24
10,2019-11-21,16.72,16.2,16.34,16.43
11,2019-11-22,16.26,15.51,16.26,15.67
12,2019-11-25,15.98,13.95,15.7,15.35
13,2019-11-26,15.97,14.9,15.29,15.95
14,2019-11-27,16.05,15.64,15.82,16.05
15,2019-11-29,16.52,15.79,15.98,16.42
16,2019-12-02,16.95,15.5,16.55,16.02
17,2019-12-03,15.82,15.25,15.82,15.44
18,2019-12-04,15.64,15.05,15.37,15.17
19,2019-12-05,15.6,14.9,15.52,15.5
20,2019-12-06,15.6,14.94,15.38,15.15
21,2019-12-09,15.75,15.14,15.15,15.32
22,2019-12-10,15.75,14.81,15.2,15.75
23,2019-12-11,15.69,15.27,15.43,15.43
24,2019-12-12,16.2,15.5,15.5,15.61
25,2019-12-13,16.1,15.73,15.73,16.02
26,2019-12-16,16.18,15.79,16.0,16.14
27,2019-12-17,16.39,15.93,16.09,16.39
28,2019-12-18,16.47,16.0,16.42,16.26
29,2019-12-19,16.44,16.05,16.05,16.26
30,2019-12-20,16.45,15.72,16.45,15.91
31,2019-12-23,16.15,15.33,15.97,15.67
32,2019-12-24,15.98,15.65,15.74,15.82
33,2019-12-26,15.83,15.39,15.81,15.55
34,2019-12-27,15.65,15.44,15.65,15.57
35,2019-12-30,16.01,15.5,15.61,15.95
36,2019-12-31,16.05,15.58,16.0,15.91
37,2020-01-02,16.05,15.68,16.05,15.93
38,2020-01-03,15.96,15.73,15.75,15.93
39,2020-01-06,16.03,15.77,15.8,15.94
40,2020-01-07,16.3,15.8,15.8,16.29
41,2020-01-08,16.5,16.29,16.29,16.43
42,2020-01-09,16.47,15.92,16.4,16.08
43,2020-01-10,16.26,15.8,16.09,15.88
44,2020-01-13,15.83,15.27,15.82,15.37
45,2020-01-14,15.74,15.25,15.3,15.71
46,2020-01-15,15.98,15.63,15.68,15.75
47,2020-01-16,15.9,15.68,15.75,15.77
48,2020-01-17,15.82,15.53,15.81,15.58
49,2020-01-21,15.87,15.25,15.51,15.76
50,2020-01-22,15.83,15.51,15.83,15.65
51,2020-01-23,15.7,15.01,15.66,15.56
52,2020-01-24,15.56,15.0,15.45,15.36
53,2020-01-27,15.33,14.37,15.22,14.61
54,2020-01-28,15.01,14.45,14.5,14.86
55,2020-01-29,15.2,14.37,15.2,14.89
56,2020-01-30,14.94,14.16,14.74,14.89
57,2020-01-31,15.78,14.5,14.83,15.78
58,2020-02-03,15.8,14.81,15.66,14.93
59,2020-02-04,16.0,15.25,15.3,15.9
60,2020-02-05,16.15,15.86,16.04,15.99
61,2020-02-06,16.31,16.06,16.15,16.15
62,2020-02-07,16.35,16.17,16.19,16.25
63,2020-02-10,16.5,16.14,16.35,16.15
64,2020-02-11,16.24,16.01,16.2,16.19
65,2020-02-12,16.5,16.05,16.28,16.25
66,2020-02-13,16.35,16.26,16.35,16.31
67,2020-02-14,16.49,16.25,16.49,16.31
68,2020-02-18,16.63,16.35,16.52,16.39
69,2020-02-19,16.78,16.45,16.5,16.65
70,2020-02-20,16.75,16.45,16.75,16.52
71,2020-02-21,16.75,16.44,16.48,16.6
72,2020-02-24,16.6,16.0,16.57,16.4
73,2020-02-25,16.5,16.07,16.5,16.28
74,2020-02-26,16.3,16.02,16.14,16.25
75,2020-02-27,16.2,15.81,16.1,15.99
