,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,33.45,32.08,32.08,33.45
1,2015-03-03,33.86,32.87,33.31,33.33
2,2015-03-04,33.49,32.79,32.96,33.05
3,2015-03-05,33.81,32.88,33.22,33.6
4,2015-03-06,34.24,33.29,33.49,33.56
5,2015-03-09,33.72,32.91,33.56,33.17
6,2015-03-10,33.0,32.11,32.91,32.29
7,2015-03-11,32.97,32.26,32.44,32.64
8,2015-03-12,32.81,32.26,32.44,32.72
9,2015-03-13,32.73,31.81,32.28,32.26
10,2015-03-16,32.56,31.89,32.45,32.49
11,2015-03-17,33.1,32.2,32.29,32.95
12,2015-03-18,33.35,32.5,32.5,33.16
13,2015-03-19,33.57,32.85,32.93,33.09
14,2015-03-20,33.39,32.74,33.24,32.87
15,2015-03-23,33.25,32.83,32.9,32.98
16,2015-03-24,33.76,32.8,32.91,33.05
17,2015-03-25,33.45,31.79,33.29,31.8
18,2015-03-26,31.9,31.2,31.68,31.67
19,2015-03-27,31.94,31.22,31.61,31.68
20,2015-03-30,32.06,31.4,31.91,31.45
21,2015-03-31,31.47,31.02,31.26,31.31
22,2015-04-01,31.59,30.69,31.5,30.87
23,2015-04-02,31.77,30.9,30.91,31.47
24,2015-04-06,32.37,31.34,31.36,32.03
25,2015-04-07,32.67,31.94,31.96,31.99
26,2015-04-08,32.26,31.7,32.02,31.89
27,2015-04-09,32.73,31.82,31.82,32.63
28,2015-04-10,33.04,32.47,32.72,32.81
29,2015-04-13,33.17,32.4,32.9,32.5
30,2015-04-14,32.74,32.01,32.66,32.64
31,2015-04-15,33.55,32.44,32.79,33.38
32,2015-04-16,34.75,33.59,34.21,34.26
33,2015-04-17,34.69,33.85,34.28,34.17
34,2015-04-20,34.56,33.95,34.52,34.05
35,2015-04-21,34.73,34.06,34.06,34.46
36,2015-04-22,35.0,34.3,34.42,34.74
37,2015-04-23,35.11,34.43,34.64,34.85
38,2015-04-24,34.94,33.9,34.91,33.97
39,2015-04-27,34.52,33.6,34.01,33.66
40,2015-04-28,33.94,33.15,33.5,33.8
41,2015-04-29,33.7,32.85,33.53,33.27
42,2015-04-30,33.43,31.91,33.16,32.19
43,2015-05-01,32.55,30.54,30.73,32.05
44,2015-05-04,32.83,32.03,32.25,32.43
45,2015-05-05,33.25,32.16,32.38,32.25
46,2015-05-06,32.34,31.31,32.06,31.61
47,2015-05-07,32.2,31.4,31.61,32.1
48,2015-05-08,32.86,32.25,32.4,32.56
49,2015-05-11,33.2,32.52,32.68,32.87
50,2015-05-12,32.83,31.91,32.66,32.29
51,2015-05-13,32.6,32.04,32.04,32.4
52,2015-05-14,32.64,31.96,32.6,32.07
53,2015-05-15,32.3,31.68,32.02,32.26
54,2015-05-18,32.56,31.9,32.22,32.38
55,2015-05-19,32.35,31.31,32.24,31.51
56,2015-05-20,31.84,31.22,31.45,31.46
57,2015-05-21,32.41,31.49,31.49,32.29
58,2015-05-22,32.82,31.81,32.02,32.66
59,2015-05-26,32.41,31.5,32.31,31.7
60,2015-05-27,31.75,30.92,31.67,31.44
61,2015-05-28,31.55,30.8,31.32,31.28
62,2015-05-29,31.32,30.37,31.22,30.39
63,2015-06-01,30.49,29.72,30.4,30.03
64,2015-06-02,31.14,29.88,30.02,30.82
65,2015-06-03,31.44,30.87,30.87,30.97
66,2015-06-04,31.02,30.36,30.8,30.63
67,2015-06-05,31.47,30.15,30.39,31.37
68,2015-06-08,31.5,30.47,31.27,30.62
69,2015-06-09,30.82,29.86,30.56,30.01
70,2015-06-10,32.2,30.05,30.32,31.58
71,2015-06-11,32.13,31.23,31.57,32.06
72,2015-06-12,32.36,31.62,31.81,32.08
73,2015-06-15,32.99,31.6,31.75,32.78
74,2015-06-16,32.84,32.21,32.6,32.52
75,2015-06-17,33.29,32.2,32.6,32.47
76,2015-06-18,32.89,32.2,32.51,32.56
77,2015-06-19,32.86,31.59,32.37,31.66
78,2015-06-22,31.99,31.51,31.7,31.69
79,2015-06-23,32.23,31.24,31.26,32.17
80,2015-06-24,32.3,31.43,32.14,31.5
81,2015-06-25,31.66,30.92,31.58,30.96
82,2015-06-26,30.97,30.0,30.97,30.17
83,2015-06-29,29.99,28.6,29.14,28.73
84,2015-06-30,29.1,28.22,28.9,28.41
85,2015-07-01,28.99,27.69,28.7,27.9
86,2015-07-02,28.17,27.22,28.0,27.49
87,2015-07-06,27.31,26.4,27.25,26.83
88,2015-07-07,27.32,25.5,26.81,26.99
89,2015-07-08,27.02,25.89,26.48,26.02
