,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,203.34,195.83,202.7,197.33
1,2015-03-03,200.24,195.32,196.81,199.56
2,2015-03-04,202.52,197.21,199.25,202.44
3,2015-03-05,206.19,200.15,202.85,200.63
4,2015-03-06,200.75,192.15,199.21,193.88
5,2015-03-09,194.49,188.25,194.39,190.88
6,2015-03-10,193.5,187.6,188.46,190.32
7,2015-03-11,196.18,191.01,191.15,193.74
8,2015-03-12,194.45,189.75,193.75,191.07
9,2015-03-13,191.75,187.32,188.95,188.68
10,2015-03-16,195.91,189.8,192.0,195.7
11,2015-03-17,198.71,193.94,195.43,194.73
12,2015-03-18,200.88,193.11,194.96,200.71
13,2015-03-19,204.59,194.53,202.0,195.65
14,2015-03-20,198.99,195.62,197.45,198.08
15,2015-03-23,200.5,197.47,198.5,199.63
16,2015-03-24,203.79,199.75,201.58,201.72
17,2015-03-25,198.59,192.7,198.27,194.3
18,2015-03-26,194.79,189.7,193.92,190.41
19,2015-03-27,189.29,181.4,189.07,185.0
20,2015-03-30,192.25,181.8,185.85,190.57
21,2015-03-31,193.76,188.41,193.53,188.77
22,2015-04-01,192.3,186.05,188.7,187.59
23,2015-04-02,193.23,190.0,190.23,191.0
24,2015-04-06,207.75,197.5,198.0,203.1
25,2015-04-07,205.06,201.14,202.51,203.25
26,2015-04-08,210.9,205.87,208.2,207.67
27,2015-04-09,210.37,206.12,208.43,210.09
28,2015-04-10,211.65,209.0,209.85,210.9
29,2015-04-13,213.0,209.05,210.44,209.78
30,2015-04-14,209.49,205.5,208.57,207.46
31,2015-04-15,209.59,206.6,207.46,207.83
32,2015-04-16,209.17,206.29,207.7,206.7
33,2015-04-17,206.88,203.5,204.99,206.79
34,2015-04-20,207.85,203.85,206.78,205.27
35,2015-04-21,210.75,204.31,205.8,209.41
36,2015-04-22,221.88,211.69,212.5,219.44
37,2015-04-23,221.48,217.15,218.27,218.6
38,2015-04-24,220.8,218.01,220.5,218.43
39,2015-04-27,238.75,222.0,222.56,231.55
40,2015-04-28,235.5,228.03,234.75,230.48
41,2015-04-29,234.97,227.63,230.05,232.45
42,2015-04-30,232.89,225.17,230.39,226.05
43,2015-05-01,231.77,220.41,229.94,226.03
44,2015-05-04,234.73,227.11,228.18,230.51
45,2015-05-05,239.5,229.13,237.76,232.95
46,2015-05-06,234.47,228.2,234.1,230.43
47,2015-05-07,237.48,220.25,221.0,236.8
48,2015-05-08,238.41,233.7,235.99,236.61
49,2015-05-11,242.88,235.31,236.29,239.49
50,2015-05-12,246.35,238.19,240.11,244.74
51,2015-05-13,248.3,242.25,247.61,243.18
52,2015-05-14,244.89,241.25,244.82,244.1
53,2015-05-15,249.4,242.5,243.93,248.84
54,2015-05-18,249.9,246.0,247.0,248.75
55,2015-05-19,251.0,246.15,248.43,247.14
56,2015-05-20,247.74,241.37,247.13,244.35
57,2015-05-21,246.62,242.36,243.03,245.62
58,2015-05-22,248.6,245.01,245.38,247.73
59,2015-05-26,252.0,246.5,247.68,247.46
60,2015-05-27,249.5,245.55,248.51,247.43
61,2015-05-28,251.8,245.05,247.03,251.45
62,2015-05-29,252.87,249.43,251.0,250.8
63,2015-06-01,251.6,247.47,251.41,249.45
64,2015-06-02,249.4,246.3,248.92,248.35
65,2015-06-03,250.72,247.01,248.2,248.99
66,2015-06-04,249.3,245.71,247.5,245.92
67,2015-06-05,249.7,245.68,246.0,249.14
68,2015-06-08,258.75,250.31,250.85,256.29
69,2015-06-09,257.74,254.14,255.4,256.0
70,2015-06-10,254.0,248.5,251.9,250.7
71,2015-06-11,254.37,250.43,253.26,251.41
72,2015-06-12,253.46,250.21,250.21,250.69
73,2015-06-15,251.28,246.01,249.7,250.38
74,2015-06-16,253.44,249.1,250.13,253.12
75,2015-06-17,264.36,252.02,252.17,260.41
76,2015-06-18,263.46,260.02,262.0,261.89
77,2015-06-19,263.8,260.1,262.4,262.51
78,2015-06-22,264.4,255.69,262.15,259.79
79,2015-06-23,268.0,258.57,260.32,267.67
80,2015-06-24,267.35,263.72,266.98,265.17
81,2015-06-25,271.41,265.25,266.45,268.79
82,2015-06-26,269.11,266.0,268.89,267.09
83,2015-06-29,265.95,260.7,261.95,262.02
84,2015-06-30,270.92,264.0,264.8,268.26
85,2015-07-01,272.62,267.85,271.11,269.15
86,2015-07-02,282.45,273.31,280.2,280.02
87,2015-07-06,281.69,276.3,278.88,279.72
88,2015-07-07,275.2,260.77,275.0,267.88
89,2015-07-08,260.8,254.31,259.32,254.96
90,2015-07-09,262.95,256.79,259.08,257.92
91,2015-07-10,263.0,257.82,262.22,259.15
92,2015-07-13,262.55,256.05,262.25,262.16
93,2015-07-14,265.99,260.51,262.1,265.65
94,2015-07-15,267.49,262.08,266.74,263.14
95,2015-07-16,267.2,263.16,264.22,266.68
96,2015-07-17,275.54,268.25,272.5,274.66
97,2015-07-20,286.65,272.54,275.0,282.26
98,2015-07-21,273.5,266.55,270.05,266.77
99,2015-07-22,269.44,260.86,261.27,267.87
100,2015-07-23,269.9,265.27,269.65,267.2
101,2015-07-24,271.09,263.92,267.38,265.41
102,2015-07-27,264.43,250.79,262.43,253.01
103,2015-07-28,265.4,251.84,255.75,264.82
104,2015-07-29,267.89,262.0,264.27,263.82
105,2015-07-30,266.94,262.11,262.69,266.79
106,2015-07-31,269.36,265.12,267.6,266.15
107,2015-08-03,266.71,257.07,266.29,259.99
108,2015-08-04,266.72,258.34,260.01,266.28
109,2015-08-05,271.0,260.4,263.58,270.13
110,2015-08-06,255.0,236.12,249.54,246.13
111,2015-08-07,243.73,238.39,243.58,242.51
112,2015-08-10,242.97,236.05,238.15,241.14
113,2015-08-11,239.3,234.44,237.15,237.37
114,2015-08-12,239.77,232.74,235.0,238.17
115,2015-08-13,246.48,239.12,239.86,242.51
116,2015-08-14,247.93,241.77,247.24,243.15
117,2015-08-17,256.59,250.51,255.56,254.99
118,2015-08-18,260.95,253.56,255.38,260.72
119,2015-08-19,260.65,255.02,260.33,255.25
120,2015-08-20,254.56,241.9,252.06,242.18
121,2015-08-21,243.8,230.51,236.0,230.77
122,2015-08-24,231.4,195.0,202.79,218.87
123,2015-08-25,230.9,219.12,230.52,220.03
124,2015-08-26,228.0,215.51,227.93,224.84
125,2015-08-27,244.75,230.81,231.0,242.99
126,2015-08-28,251.45,241.57,241.86,248.48
127,2015-08-31,254.95,245.51,245.62,249.06
128,2015-09-01,246.0,236.97,240.34,238.63
129,2015-09-02,247.88,239.78,245.3,247.69
130,2015-09-03,252.08,245.0,252.06,245.57
