,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,123.9,122.52,122.52,123.87
1,2015-03-03,123.68,122.79,123.64,123.56
2,2015-03-04,123.46,122.4,123.46,122.92
3,2015-03-05,123.24,122.72,123.14,122.99
4,2015-03-06,122.7,121.27,122.57,121.5
5,2015-03-09,122.25,121.5,121.69,122.12
6,2015-03-10,121.17,120.27,121.17,120.32
7,2015-03-11,120.61,119.79,120.46,119.88
8,2015-03-12,122.19,120.43,120.43,122.13
9,2015-03-13,122.06,120.68,122.03,121.24
10,2015-03-16,122.68,121.59,121.79,122.59
11,2015-03-17,122.43,121.81,122.05,122.15
12,2015-03-18,123.55,121.18,121.79,123.13
13,2015-03-19,123.43,122.7,122.96,123.14
14,2015-03-20,124.57,123.73,123.9,124.36
15,2015-03-23,124.94,124.07,124.28,124.29
16,2015-03-24,124.4,123.67,124.18,123.67
17,2015-03-25,123.81,121.7,123.81,121.76
18,2015-03-26,121.48,120.52,121.14,120.98
19,2015-03-27,121.77,120.83,120.83,121.64
20,2015-03-30,123.15,122.39,122.83,122.91
21,2015-03-31,125.0,122.42,122.46,122.48
22,2015-04-01,122.33,121.17,122.33,121.76
23,2015-04-02,123.08,121.86,121.86,122.99
24,2015-04-06,123.95,122.18,122.4,123.55
25,2015-04-07,123.65,122.79,123.6,122.83
26,2015-04-08,123.98,122.89,122.93,123.98
27,2015-04-09,124.45,123.34,124.22,123.98
28,2015-04-10,124.52,124.05,124.38,124.42
29,2015-04-13,124.6,123.67,124.49,123.67
30,2015-04-14,123.88,122.93,123.67,123.45
31,2015-04-15,124.22,123.59,123.81,123.61
32,2015-04-16,124.01,123.59,123.59,123.81
33,2015-04-17,123.78,121.63,123.43,122.04
34,2015-04-20,123.35,122.57,122.85,123.2
35,2015-04-21,123.75,123.1,123.63,123.35
36,2015-04-22,123.67,122.81,123.67,123.52
37,2015-04-23,124.77,123.47,123.52,124.17
38,2015-04-24,125.68,124.93,125.02,125.52
39,2015-04-27,126.0,124.43,125.87,124.5
40,2015-04-28,124.49,123.33,124.49,124.14
41,2015-04-29,123.96,122.77,123.75,123.27
42,2015-04-30,123.35,121.43,123.07,121.88
43,2015-05-01,123.46,122.11,122.37,123.43
44,2015-05-04,124.39,123.56,123.9,123.72
45,2015-05-05,123.72,122.35,123.69,122.41
46,2015-05-06,122.76,121.4,122.76,121.91
47,2015-05-07,122.84,121.73,121.89,122.65
48,2015-05-08,124.3,123.67,123.68,123.7
49,2015-05-11,124.2,123.23,123.74,123.26
50,2015-05-12,123.35,121.99,122.79,122.98
51,2015-05-13,123.27,122.3,123.27,122.35
52,2015-05-14,123.0,122.22,123.0,122.85
53,2015-05-15,123.71,122.93,123.1,123.71
54,2015-05-18,124.54,123.76,123.84,124.37
55,2015-05-19,124.85,124.22,124.6,124.41
56,2015-05-20,124.87,123.92,124.45,124.45
57,2015-05-21,125.11,124.24,124.46,124.86
58,2015-05-22,125.15,124.55,124.86,124.71
59,2015-05-26,124.94,123.5,124.63,123.79
60,2015-05-27,124.77,123.79,124.05,124.69
61,2015-05-28,124.63,124.19,124.58,124.48
62,2015-05-29,124.58,123.5,124.34,123.63
63,2015-06-01,124.41,123.43,124.04,123.97
64,2015-06-02,124.7,123.62,123.64,124.19
65,2015-06-03,125.31,124.25,124.63,125.15
66,2015-06-04,125.18,124.21,124.83,124.32
67,2015-06-05,124.44,123.78,124.02,124.25
68,2015-06-08,124.23,123.34,124.23,123.39
69,2015-06-09,123.5,122.45,123.34,123.15
70,2015-06-10,124.64,123.63,123.68,124.33
71,2015-06-11,125.13,124.64,124.69,124.71
72,2015-06-12,124.58,124.09,124.24,124.37
73,2015-06-15,123.92,123.1,123.75,123.81
74,2015-06-16,124.43,123.55,123.73,124.35
75,2015-06-17,125.2,124.17,124.74,124.93
76,2015-06-18,126.71,125.22,125.22,126.35
77,2015-06-19,126.64,126.06,126.34,126.06
78,2015-06-22,127.02,126.57,126.81,126.6
79,2015-06-23,127.24,126.79,126.9,127.16
80,2015-06-24,127.22,126.16,127.07,126.2
81,2015-06-25,126.74,126.04,126.46,126.16
82,2015-06-26,126.92,126.2,126.41,126.62
83,2015-06-29,126.0,123.6,123.67,123.74
84,2015-06-30,124.77,123.69,124.73,124.22
85,2015-07-01,125.54,124.94,125.31,125.54
86,2015-07-02,126.14,124.91,125.82,125.28
87,2015-07-06,125.75,124.2,124.28,125.04
88,2015-07-07,125.89,123.46,125.32,125.89
89,2015-07-08,125.19,123.35,124.99,123.53
90,2015-07-09,125.23,123.88,124.76,124.01
91,2015-07-10,126.02,125.0,125.25,125.79
92,2015-07-13,127.68,126.83,126.83,127.55
93,2015-07-14,127.92,127.48,127.71,127.77
94,2015-07-15,127.79,127.26,127.79,127.46
95,2015-07-16,128.29,127.74,128.29,128.24
96,2015-07-17,128.46,127.51,128.44,127.95
97,2015-07-20,128.26,127.74,128.23,128.0
98,2015-07-21,128.03,127.16,128.03,127.5
99,2015-07-22,128.14,127.38,127.38,128.01
100,2015-07-23,128.53,126.97,128.51,127.12
101,2015-07-24,129.33,126.64,128.41,126.85
102,2015-07-27,126.74,125.48,126.36,125.76
103,2015-07-28,127.04,125.5,126.49,126.85
104,2015-07-29,128.21,127.06,127.07,128.09
105,2015-07-30,128.77,127.43,127.72,128.66
106,2015-07-31,129.59,128.64,129.15,129.11
107,2015-08-03,129.45,127.93,129.38,128.6
108,2015-08-04,129.38,128.59,128.6,129.03
109,2015-08-05,129.65,127.91,129.65,128.13
110,2015-08-06,128.13,124.94,128.13,126.27
111,2015-08-07,126.43,125.29,126.29,126.11
112,2015-08-10,127.54,126.92,127.09,127.19
113,2015-08-11,126.59,125.4,126.28,125.93
114,2015-08-12,125.59,123.39,125.08,125.3
115,2015-08-13,126.79,125.3,125.3,126.07
116,2015-08-14,126.37,125.75,126.06,126.28
117,2015-08-17,127.57,125.8,126.18,127.57
118,2015-08-18,128.0,127.27,127.66,127.54
119,2015-08-19,127.94,126.49,127.38,127.09
120,2015-08-20,126.12,123.47,126.12,123.58
121,2015-08-21,122.61,119.64,122.35,119.8
122,2015-08-24,118.96,100.0,118.61,114.98
123,2015-08-25,119.72,114.68,116.12,114.68
124,2015-08-26,118.74,114.91,115.84,118.67
125,2015-08-27,121.8,119.21,119.85,121.47
126,2015-08-28,122.25,120.92,121.26,121.61
127,2015-08-31,121.77,120.41,121.02,120.88
128,2015-09-01,119.65,117.23,119.65,117.74
129,2015-09-02,120.57,118.25,118.91,120.07
130,2015-09-03,121.63,119.99,120.34,120.62
131,2015-09-04,119.71,118.43,119.42,119.07
132,2015-09-08,121.95,120.59,121.2,121.86
133,2015-09-09,123.08,120.29,123.06,120.52
134,2015-09-10,121.38,120.06,120.29,120.62
135,2015-09-11,121.45,120.02,120.2,121.45
136,2015-09-14,121.5,120.5,121.42,120.84
137,2015-09-15,122.25,120.48,121.19,122.07
138,2015-09-16,123.57,122.01,122.35,123.46
139,2015-09-17,125.58,123.47,123.53,123.82
140,2015-09-18,123.44,121.65,122.53,121.88
141,2015-09-21,123.44,121.94,122.33,122.7
142,2015-09-22,121.45,120.31,121.38,121.18
143,2015-09-23,120.27,119.25,120.27,119.65
144,2015-09-24,119.36,117.69,118.92,119.21
145,2015-09-25,120.63,118.61,120.62,119.1
146,2015-09-28,118.58,115.19,118.34,115.49
147,2015-09-29,116.15,114.32,115.82,115.04
148,2015-09-30,117.93,116.34,116.4,117.84
149,2015-10-01,118.49,116.77,118.07,118.49
150,2015-10-02,120.14,116.65,117.21,120.13
151,2015-10-05,122.21,120.99,121.01,122.04
152,2015-10-06,122.5,120.68,122.04,121.19
153,2015-10-07,121.94,120.53,121.58,121.73
154,2015-10-08,123.37,121.29,121.55,123.13
155,2015-10-09,123.35,122.59,123.22,123.18
156,2015-10-12,124.07,123.29,123.45,123.62
157,2015-10-13,124.17,122.9,123.19,123.01
158,2015-10-14,123.4,121.49,123.06,121.74
159,2015-10-15,123.34,121.47,122.19,123.28
160,2015-10-16,123.97,123.24,123.32,123.96
161,2015-10-19,124.54,123.55,123.71,124.47
162,2015-10-20,124.93,123.9,124.42,124.26
163,2015-10-21,124.8,123.2,124.3,123.26
