,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,128.99,128.49,128.75,128.93
1,2015-03-03,128.88,127.91,128.88,128.46
2,2015-03-04,128.31,127.3,128.31,127.61
3,2015-03-05,128.08,127.59,128.06,128.04
4,2015-03-06,127.49,125.29,127.49,125.69
5,2015-03-09,126.45,125.72,125.98,126.26
6,2015-03-10,125.5,124.4,125.5,124.4
7,2015-03-11,124.65,123.32,124.65,123.63
8,2015-03-12,125.39,123.95,124.0,125.38
9,2015-03-13,125.28,123.73,125.28,124.48
10,2015-03-16,125.85,125.0,125.08,125.82
11,2015-03-17,125.69,124.73,125.69,125.1
12,2015-03-18,126.46,123.44,124.93,125.91
13,2015-03-19,125.9,125.3,125.65,125.46
14,2015-03-20,127.01,125.76,125.94,126.95
15,2015-03-23,127.96,126.93,126.93,127.38
16,2015-03-24,127.9,126.66,127.63,126.66
17,2015-03-25,128.2,126.36,127.9,126.41
18,2015-03-26,126.39,125.53,126.02,125.9
19,2015-03-27,126.8,125.9,125.98,126.76
20,2015-03-30,128.03,126.61,127.24,127.99
21,2015-03-31,129.0,125.12,127.57,126.99
22,2015-04-01,126.99,125.83,126.93,126.99
23,2015-04-02,128.05,126.96,127.0,127.86
24,2015-04-06,129.32,127.41,127.49,128.93
25,2015-04-07,129.25,128.25,128.93,128.28
26,2015-04-08,128.76,127.93,128.47,128.43
27,2015-04-09,128.92,127.96,128.53,128.86
28,2015-04-10,129.36,128.64,128.91,129.0
29,2015-04-13,129.11,128.38,128.76,128.45
30,2015-04-14,128.91,127.95,128.51,128.69
31,2015-04-15,129.37,128.34,129.0,128.44
32,2015-04-16,129.2,128.54,128.67,128.76
33,2015-04-17,128.25,126.84,128.25,127.55
34,2015-04-20,128.64,127.95,128.11,127.95
35,2015-04-21,128.77,127.97,128.41,128.11
36,2015-04-22,128.38,127.55,128.38,128.29
37,2015-04-23,128.41,127.69,127.83,127.86
38,2015-04-24,128.18,127.73,128.03,127.78
39,2015-04-27,128.0,127.04,127.99,127.13
40,2015-04-28,127.41,126.64,127.28,127.19
41,2015-04-29,126.99,125.98,126.99,126.12
42,2015-04-30,126.22,125.08,126.1,125.54
43,2015-05-01,126.68,125.81,125.97,126.66
44,2015-05-04,127.22,126.73,127.0,126.95
45,2015-05-05,126.99,125.71,126.88,125.92
46,2015-05-06,126.55,125.64,126.38,126.31
47,2015-05-07,126.76,125.64,125.81,126.57
48,2015-05-08,128.06,127.31,127.31,127.54
49,2015-05-11,127.99,127.08,127.35,127.08
50,2015-05-12,127.23,126.19,126.63,126.91
51,2015-05-13,127.6,126.74,127.12,126.85
52,2015-05-14,128.79,127.5,127.5,128.71
53,2015-05-15,129.16,128.75,128.79,129.15
54,2015-05-18,129.19,128.65,128.93,128.98
55,2015-05-19,129.05,128.26,129.05,128.65
56,2015-05-20,128.98,128.43,128.7,128.43
57,2015-05-21,128.76,128.02,128.52,128.56
58,2015-05-22,128.48,128.07,128.48,128.16
59,2015-05-26,128.09,126.91,127.99,127.17
60,2015-05-27,128.03,127.39,127.47,127.94
61,2015-05-28,127.93,127.25,127.72,127.75
62,2015-05-29,127.74,126.76,127.74,127.01
63,2015-06-01,127.39,126.54,127.31,127.01
64,2015-06-02,126.91,126.06,126.82,126.56
65,2015-06-03,127.06,126.42,126.9,126.57
66,2015-06-04,126.63,125.42,126.35,125.49
67,2015-06-05,125.46,123.94,125.4,124.01
68,2015-06-08,124.26,123.7,123.98,123.87
69,2015-06-09,124.86,123.78,123.87,124.37
70,2015-06-10,125.84,124.76,124.76,125.61
71,2015-06-11,126.17,125.51,125.8,125.61
72,2015-06-12,125.31,124.77,125.31,125.22
73,2015-06-15,124.84,124.19,124.74,124.26
74,2015-06-16,125.67,124.48,124.7,125.63
75,2015-06-17,126.48,125.34,125.84,126.24
76,2015-06-18,128.08,126.43,126.43,127.54
77,2015-06-19,128.12,127.43,127.52,127.61
78,2015-06-22,128.53,127.97,128.2,128.03
79,2015-06-23,128.11,127.42,128.11,127.68
80,2015-06-24,127.76,127.05,127.49,127.09
81,2015-06-25,127.49,126.83,127.32,126.83
82,2015-06-26,127.41,126.76,127.01,127.02
83,2015-06-29,126.51,124.99,125.92,124.99
84,2015-06-30,125.78,124.89,125.78,124.89
85,2015-07-01,126.39,125.16,125.69,126.34
86,2015-07-02,126.85,125.89,126.57,126.25
87,2015-07-06,126.55,125.37,125.37,126.07
88,2015-07-07,128.55,125.9,126.21,128.44
89,2015-07-08,127.95,127.0,127.59,127.01
90,2015-07-09,128.65,127.06,128.25,127.06
91,2015-07-10,128.77,128.03,128.03,128.49
92,2015-07-13,129.81,129.14,129.14,129.77
93,2015-07-14,129.99,129.57,129.86,129.88
94,2015-07-15,129.97,129.29,129.81,129.45
95,2015-07-16,130.96,130.04,130.04,130.83
96,2015-07-17,130.7,130.0,130.64,130.66
97,2015-07-20,130.98,130.43,130.84,130.89
98,2015-07-21,130.91,130.12,130.84,130.4
99,2015-07-22,131.11,130.47,130.48,130.76
100,2015-07-23,130.96,130.01,130.96,130.14
101,2015-07-24,130.19,129.25,129.95,129.4
102,2015-07-27,129.37,128.48,129.02,129.2
103,2015-07-28,130.73,129.45,129.93,130.69
104,2015-07-29,131.45,130.63,130.98,131.18
105,2015-07-30,131.05,130.0,130.74,130.9
106,2015-07-31,131.5,130.94,131.44,131.0
107,2015-08-03,131.4,130.74,131.02,131.36
108,2015-08-04,131.59,130.81,131.26,131.5
109,2015-08-05,132.77,131.91,131.91,132.63
110,2015-08-06,133.0,131.46,132.9,131.64
111,2015-08-07,131.68,130.39,131.68,130.85
112,2015-08-10,131.8,131.23,131.47,131.48
113,2015-08-11,131.3,130.53,130.73,130.95
114,2015-08-12,131.05,129.21,130.36,131.05
115,2015-08-13,131.32,130.47,131.14,130.62
116,2015-08-14,131.1,130.34,130.51,131.1
117,2015-08-17,131.3,130.24,130.79,131.26
118,2015-08-18,131.1,130.43,130.98,130.55
119,2015-08-19,130.32,128.79,130.32,129.26
120,2015-08-20,129.21,128.01,128.4,128.13
121,2015-08-21,127.24,124.75,127.1,124.78
122,2015-08-24,122.9,84.62,117.45,120.52
123,2015-08-25,125.21,119.36,121.72,119.36
124,2015-08-26,123.0,119.52,120.55,122.87
125,2015-08-27,125.09,122.51,124.09,124.71
126,2015-08-28,124.57,123.76,124.32,124.53
127,2015-08-31,124.06,123.41,124.0,123.7
128,2015-09-01,122.47,120.43,122.47,121.09
129,2015-09-02,122.79,121.61,122.3,122.79
130,2015-09-03,124.43,123.05,123.05,123.66
131,2015-09-04,122.48,121.37,122.43,121.86
132,2015-09-08,124.3,122.88,123.61,124.26
133,2015-09-09,125.23,121.97,125.23,122.17
134,2015-09-10,123.26,121.82,121.94,122.45
135,2015-09-11,123.15,122.0,122.24,123.15
136,2015-09-14,123.24,122.47,123.24,122.78
137,2015-09-15,124.44,122.54,122.81,124.25
138,2015-09-16,125.74,124.75,124.89,125.59
139,2015-09-17,127.12,125.35,125.57,125.67
140,2015-09-18,125.49,123.87,124.23,124.02
141,2015-09-21,125.43,124.48,124.5,125.07
142,2015-09-22,123.9,122.95,123.9,123.57
143,2015-09-23,121.47,120.76,121.38,121.38
144,2015-09-24,121.67,120.4,120.53,121.51
145,2015-09-25,123.42,121.8,123.14,122.32
146,2015-09-28,121.97,120.0,121.89,120.22
147,2015-09-29,121.68,119.5,121.68,120.1
148,2015-09-30,121.62,120.39,121.28,121.26
149,2015-10-01,121.68,120.24,121.68,121.24
150,2015-10-02,122.9,119.92,120.01,122.9
151,2015-10-05,125.22,123.51,123.51,125.11
152,2015-10-06,125.36,124.23,125.13,124.26
153,2015-10-07,125.46,124.34,124.91,125.22
154,2015-10-08,126.84,124.93,125.05,126.8
155,2015-10-09,127.55,126.81,126.99,127.27
156,2015-10-12,127.67,127.06,127.58,127.44
157,2015-10-13,127.45,126.49,127.25,126.58
158,2015-10-14,126.83,124.99,126.51,125.21
159,2015-10-15,126.41,125.38,125.67,126.39
160,2015-10-16,127.68,126.66,126.66,127.67
161,2015-10-19,128.12,127.31,127.36,128.1
162,2015-10-20,128.21,127.78,128.07,127.99
163,2015-10-21,128.78,127.82,128.14,127.9
164,2015-10-22,130.6,128.54,128.79,130.35
165,2015-10-23,131.24,129.61,131.24,130.28
166,2015-10-26,130.41,129.75,130.33,129.92
167,2015-10-27,130.02,129.15,129.49,130.02
168,2015-10-28,130.14,128.24,130.12,129.59
169,2015-10-29,129.82,128.94,129.47,129.54
170,2015-10-30,129.26,128.31,129.26,128.31
171,2015-11-02,129.07,128.2,128.68,129.04
172,2015-11-03,128.77,127.69,128.76,128.46
173,2015-11-04,128.66,127.43,128.66,127.78
174,2015-11-05,127.95,127.12,127.84,127.9
175,2015-11-06,127.69,125.63,127.69,126.49
176,2015-11-09,126.35,125.05,126.35,125.69
177,2015-11-10,126.17,125.59,125.59,126.03
178,2015-11-11,126.66,125.91,126.32,125.94
179,2015-11-12,125.51,124.0,125.51,124.0
180,2015-11-13,124.08,122.88,123.84,122.99
181,2015-11-16,124.91,122.75,122.8,124.88
182,2015-11-17,125.77,124.41,125.11,124.69
183,2015-11-18,126.54,124.97,124.97,126.45
184,2015-11-19,127.35,126.47,126.47,126.72
185,2015-11-20,127.91,125.94,127.29,125.96
