,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,111.55,109.54,111.55,110.52
1,2015-03-03,111.56,110.07,110.8,110.93
2,2015-03-04,111.31,109.55,111.09,110.64
3,2015-03-05,110.62,109.94,110.6,110.11
4,2015-03-06,109.88,107.97,109.49,108.28
5,2015-03-09,109.31,107.48,108.27,107.53
6,2015-03-10,107.19,105.92,106.92,105.98
7,2015-03-11,106.72,105.51,106.2,106.28
8,2015-03-12,106.93,105.66,106.54,105.75
9,2015-03-13,105.3,104.0,105.0,105.23
10,2015-03-16,106.43,104.2,104.68,106.38
11,2015-03-17,106.31,105.22,105.94,105.87
12,2015-03-18,109.52,105.07,105.29,108.94
13,2015-03-19,108.05,106.9,107.62,107.19
14,2015-03-20,109.22,107.91,108.07,108.48
15,2015-03-23,109.58,108.27,108.75,108.31
16,2015-03-24,108.59,107.55,108.59,107.6
17,2015-03-25,109.68,108.09,108.18,108.91
18,2015-03-26,110.44,108.44,109.93,108.86
19,2015-03-27,108.57,107.57,108.46,107.93
20,2015-03-30,110.38,108.94,108.94,110.18
21,2015-03-31,110.06,108.62,109.32,109.28
22,2015-04-01,110.5,109.32,109.81,109.54
23,2015-04-02,110.5,108.9,109.14,109.84
24,2015-04-06,112.54,110.01,110.39,111.96
25,2015-04-07,112.88,111.56,111.71,112.18
26,2015-04-08,112.93,111.0,112.55,111.07
27,2015-04-09,112.96,111.36,111.36,112.75
28,2015-04-10,113.48,112.68,113.01,113.27
29,2015-04-13,113.95,112.22,113.66,112.37
30,2015-04-14,114.75,112.93,112.93,114.42
31,2015-04-15,117.39,114.92,115.21,117.16
32,2015-04-16,117.85,115.87,116.89,116.77
33,2015-04-17,116.48,114.85,116.48,115.73
34,2015-04-20,117.43,116.03,116.07,116.25
35,2015-04-21,116.71,114.5,116.46,114.9
36,2015-04-22,116.07,114.42,115.32,115.64
37,2015-04-23,117.28,115.99,116.02,116.53
38,2015-04-24,116.18,115.21,116.18,115.68
39,2015-04-27,116.6,115.45,116.26,115.59
40,2015-04-28,116.36,115.25,115.72,116.22
41,2015-04-29,117.41,115.47,116.1,117.3
42,2015-04-30,117.88,116.28,117.76,116.99
43,2015-05-01,117.4,116.3,117.21,117.25
44,2015-05-04,117.93,116.43,117.64,116.89
45,2015-05-05,118.46,115.55,117.99,115.64
46,2015-05-06,117.08,114.64,116.79,115.21
47,2015-05-07,115.02,113.08,115.02,113.9
48,2015-05-08,115.83,113.48,114.76,115.7
49,2015-05-11,115.95,113.52,115.9,113.63
50,2015-05-12,114.79,113.34,113.63,114.25
51,2015-05-13,115.23,113.48,115.03,113.85
52,2015-05-14,114.88,113.58,114.33,113.74
53,2015-05-15,114.52,112.88,113.21,114.16
54,2015-05-18,114.32,113.45,114.06,114.2
55,2015-05-19,113.56,112.48,113.56,112.64
56,2015-05-20,113.24,112.19,113.11,112.89
57,2015-05-21,114.17,113.08,113.48,113.97
58,2015-05-22,114.84,113.0,114.84,113.49
59,2015-05-26,112.8,111.24,112.56,111.64
60,2015-05-27,112.49,110.86,111.69,111.51
61,2015-05-28,111.29,110.33,111.09,111.06
62,2015-05-29,111.61,110.72,111.1,111.05
63,2015-06-01,111.29,110.54,111.26,110.74
64,2015-06-02,112.02,110.55,110.98,111.53
65,2015-06-03,112.01,110.66,111.37,110.76
66,2015-06-04,110.38,109.11,110.21,109.29
67,2015-06-05,111.03,108.77,108.95,110.12
68,2015-06-08,110.32,109.32,109.79,109.61
69,2015-06-09,110.86,109.55,110.24,109.55
70,2015-06-10,111.28,110.64,110.64,110.99
71,2015-06-11,111.44,110.43,111.01,110.56
72,2015-06-12,109.96,109.1,109.8,109.28
73,2015-06-15,109.5,108.13,108.41,108.95
74,2015-06-16,109.85,108.66,109.24,109.79
75,2015-06-17,110.87,109.09,110.53,109.58
76,2015-06-18,110.31,109.42,109.96,109.52
77,2015-06-19,109.4,108.38,108.93,108.47
78,2015-06-22,109.67,108.71,109.4,109.58
79,2015-06-23,110.15,109.3,109.33,110.04
80,2015-06-24,110.36,109.27,109.76,109.35
81,2015-06-25,109.41,108.12,109.3,108.13
82,2015-06-26,108.36,107.44,108.01,108.33
83,2015-06-29,107.6,106.29,107.01,106.37
84,2015-06-30,107.48,106.35,107.25,106.95
85,2015-07-01,107.42,105.0,107.1,105.29
86,2015-07-02,106.36,105.54,105.73,105.71
87,2015-07-06,105.23,103.81,104.32,104.17
88,2015-07-07,105.54,102.5,104.19,105.28
89,2015-07-08,105.14,102.59,104.46,103.09
90,2015-07-09,104.86,103.51,104.12,103.55
91,2015-07-10,104.64,103.47,104.2,103.99
92,2015-07-13,104.86,103.98,104.17,104.62
93,2015-07-14,105.91,104.34,104.47,105.69
94,2015-07-15,105.57,103.35,105.32,103.71
95,2015-07-16,104.45,103.45,104.14,103.61
96,2015-07-17,103.49,101.98,103.49,102.32
97,2015-07-20,102.58,100.78,102.33,100.91
98,2015-07-21,102.0,100.72,101.0,101.04
99,2015-07-22,101.13,100.06,100.64,100.2
100,2015-07-23,101.02,99.28,100.45,100.05
101,2015-07-24,100.15,97.6,100.15,97.98
102,2015-07-27,97.69,96.08,97.02,96.49
103,2015-07-28,99.88,96.62,96.92,99.44
104,2015-07-29,101.01,98.84,99.26,100.91
105,2015-07-30,101.04,99.84,100.74,100.32
106,2015-07-31,99.71,97.66,99.71,97.82
107,2015-08-03,97.38,95.51,96.98,95.77
108,2015-08-04,96.94,94.93,95.99,95.34
109,2015-08-05,97.09,94.46,96.11,94.54
110,2015-08-06,96.43,93.4,94.16,96.25
111,2015-08-07,96.67,94.07,95.82,94.36
112,2015-08-10,97.58,94.59,94.88,97.53
113,2015-08-11,97.62,94.31,95.51,97.59
114,2015-08-12,99.55,96.71,97.13,99.31
115,2015-08-13,98.97,97.67,98.71,97.77
116,2015-08-14,98.75,97.38,97.9,97.57
117,2015-08-17,98.25,96.68,97.06,97.66
118,2015-08-18,97.75,96.74,97.64,97.29
119,2015-08-19,96.82,94.02,96.77,94.51
120,2015-08-20,94.83,92.3,94.35,92.33
121,2015-08-21,92.36,89.14,91.73,89.2
