,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,49.73,49.3,49.33,49.68
1,2015-03-03,49.67,49.33,49.58,49.57
2,2015-03-04,49.41,49.11,49.4,49.26
3,2015-03-05,49.49,49.21,49.33,49.43
4,2015-03-06,49.75,48.92,49.37,49.0
5,2015-03-09,49.29,49.05,49.06,49.22
6,2015-03-10,48.83,48.35,48.83,48.37
7,2015-03-11,48.77,48.46,48.5,48.68
8,2015-03-12,49.7,49.01,49.01,49.69
9,2015-03-13,49.63,49.07,49.58,49.37
10,2015-03-16,49.94,49.59,49.62,49.88
11,2015-03-17,49.93,49.53,49.72,49.84
12,2015-03-18,50.29,49.57,49.73,50.15
13,2015-03-19,50.0,49.57,49.92,49.76
14,2015-03-20,50.5,49.9,49.95,50.46
15,2015-03-23,50.61,50.24,50.44,50.24
16,2015-03-24,50.18,49.83,50.16,49.83
17,2015-03-25,49.82,49.01,49.82,49.04
18,2015-03-26,49.14,48.63,48.84,48.94
19,2015-03-27,48.97,48.74,48.93,48.91
20,2015-03-30,49.69,49.18,49.18,49.57
21,2015-03-31,50.75,49.19,49.36,49.28
22,2015-04-01,49.39,48.89,49.24,49.24
23,2015-04-02,49.57,49.21,49.21,49.54
24,2015-04-06,49.71,49.11,49.22,49.62
25,2015-04-07,49.7,49.32,49.68,49.33
26,2015-04-08,49.64,49.35,49.39,49.49
27,2015-04-09,49.54,49.15,49.45,49.44
28,2015-04-10,49.56,49.39,49.49,49.45
29,2015-04-13,49.75,49.42,49.42,49.62
30,2015-04-14,49.71,49.36,49.65,49.62
31,2015-04-15,49.97,49.63,49.73,49.79
32,2015-04-16,50.0,49.5,49.77,49.86
33,2015-04-17,49.58,49.05,49.58,49.22
34,2015-04-20,49.58,49.35,49.42,49.45
35,2015-04-21,49.64,49.21,49.59,49.26
36,2015-04-22,49.61,49.14,49.32,49.57
37,2015-04-23,49.74,49.41,49.47,49.63
38,2015-04-24,49.64,49.42,49.64,49.52
39,2015-04-27,49.83,49.29,49.59,49.33
40,2015-04-28,49.63,49.12,49.29,49.63
41,2015-04-29,49.76,49.39,49.39,49.55
42,2015-04-30,49.55,48.92,49.41,49.12
43,2015-05-01,49.49,49.27,49.29,49.43
44,2015-05-04,49.85,49.53,49.53,49.83
45,2015-05-05,49.87,49.31,49.77,49.39
46,2015-05-06,49.59,48.85,49.47,49.19
47,2015-05-07,49.65,49.03,49.1,49.52
48,2015-05-08,50.15,49.8,49.81,50.11
49,2015-05-11,50.25,49.88,50.11,49.98
50,2015-05-12,49.96,49.43,49.79,49.86
51,2015-05-13,50.04,49.78,49.9,49.85
52,2015-05-14,50.33,49.98,50.04,50.29
53,2015-05-15,50.39,50.01,50.34,50.14
54,2015-05-18,50.47,50.05,50.1,50.42
55,2015-05-19,50.81,50.49,50.49,50.71
56,2015-05-20,50.77,50.48,50.77,50.55
57,2015-05-21,50.55,50.37,50.49,50.42
58,2015-05-22,50.53,50.33,50.4,50.4
59,2015-05-26,50.35,49.84,50.31,49.96
60,2015-05-27,50.45,50.0,50.04,50.41
61,2015-05-28,50.4,50.09,50.31,50.38
62,2015-05-29,50.38,49.84,50.33,49.94
63,2015-06-01,50.22,49.87,50.17,50.02
64,2015-06-02,50.25,49.82,49.96,50.11
65,2015-06-03,50.58,50.15,50.25,50.4
66,2015-06-04,50.37,49.97,50.28,50.03
67,2015-06-05,50.52,50.1,50.31,50.28
68,2015-06-08,50.37,50.01,50.32,50.03
69,2015-06-09,50.28,49.86,50.11,50.12
70,2015-06-10,50.94,50.31,50.34,50.82
71,2015-06-11,51.09,50.82,50.96,50.99
72,2015-06-12,50.99,50.7,50.91,50.85
73,2015-06-15,50.77,50.32,50.65,50.64
74,2015-06-16,50.98,50.54,50.59,50.95
75,2015-06-17,51.11,50.75,50.95,50.84
76,2015-06-18,51.4,50.88,51.03,51.31
77,2015-06-19,51.22,50.91,51.19,50.93
78,2015-06-22,51.48,51.22,51.27,51.23
79,2015-06-23,51.48,51.29,51.36,51.41
80,2015-06-24,51.39,50.99,51.28,50.99
81,2015-06-25,51.16,50.65,51.15,50.68
82,2015-06-26,50.72,50.47,50.56,50.66
83,2015-06-29,50.3,49.43,50.09,49.48
84,2015-06-30,50.0,49.48,49.88,49.67
85,2015-07-01,50.38,50.06,50.33,50.32
86,2015-07-02,50.43,49.96,50.39,50.14
87,2015-07-06,50.07,49.61,49.72,50.05
88,2015-07-07,50.16,49.29,50.01,50.14
89,2015-07-08,49.79,49.27,49.73,49.35
90,2015-07-09,50.05,49.57,49.89,49.64
91,2015-07-10,50.33,50.06,50.24,50.26
92,2015-07-13,50.77,50.5,50.63,50.7
93,2015-07-14,50.94,50.57,50.62,50.9
94,2015-07-15,51.27,50.96,51.1,51.19
95,2015-07-16,51.63,51.49,51.52,51.62
96,2015-07-17,51.62,51.29,51.62,51.46
97,2015-07-20,51.68,51.4,51.62,51.56
98,2015-07-21,51.76,51.35,51.56,51.47
99,2015-07-22,51.89,51.46,51.47,51.82
100,2015-07-23,51.96,51.25,51.96,51.37
101,2015-07-24,51.33,50.87,51.3,50.95
102,2015-07-27,50.71,50.47,50.64,50.59
103,2015-07-28,50.98,50.44,50.87,50.78
104,2015-07-29,51.23,50.73,50.84,51.18
105,2015-07-30,51.27,50.97,51.11,51.24
106,2015-07-31,51.34,51.04,51.26,51.1
107,2015-08-03,51.21,50.84,51.14,51.15
108,2015-08-04,51.33,51.0,51.12,51.06
109,2015-08-05,51.5,51.05,51.34,51.17
110,2015-08-06,51.28,50.72,51.24,50.97
111,2015-08-07,51.05,50.63,50.97,50.97
112,2015-08-10,51.48,51.26,51.34,51.47
113,2015-08-11,51.23,50.91,51.08,51.07
114,2015-08-12,50.71,49.95,50.71,50.67
115,2015-08-13,51.0,50.51,50.7,50.8
116,2015-08-14,51.2,50.75,50.75,51.2
117,2015-08-17,51.36,50.83,51.03,51.34
118,2015-08-18,51.42,51.19,51.28,51.28
119,2015-08-19,51.45,50.65,51.12,50.84
120,2015-08-20,50.45,49.83,50.4,49.84
121,2015-08-21,49.56,48.46,49.3,48.46
122,2015-08-24,47.74,31.35,47.5,46.14
123,2015-08-25,47.99,45.45,47.06,45.45
124,2015-08-26,47.09,45.72,46.35,47.02
125,2015-08-27,48.3,47.33,48.05,48.17
126,2015-08-28,48.14,47.74,48.03,48.04
127,2015-08-31,47.96,47.63,47.82,47.72
128,2015-09-01,46.93,45.89,46.77,46.17
129,2015-09-02,46.86,46.22,46.78,46.78
130,2015-09-03,47.46,46.86,46.93,47.02
131,2015-09-04,46.53,45.9,46.49,46.2
132,2015-09-08,47.32,46.75,46.89,47.3
133,2015-09-09,47.85,46.64,47.69,46.74
134,2015-09-10,47.28,46.62,46.67,46.96
135,2015-09-11,47.17,46.65,46.76,47.16
136,2015-09-14,47.24,46.96,47.14,47.07
137,2015-09-15,47.84,47.13,47.16,47.7
138,2015-09-16,48.1,47.55,47.76,48.03
139,2015-09-17,48.37,47.42,47.97,47.54
140,2015-09-18,47.2,46.6,46.89,46.74
141,2015-09-21,47.37,46.97,47.0,47.22
142,2015-09-22,46.81,46.35,46.68,46.59
143,2015-09-23,46.85,46.46,46.68,46.71
144,2015-09-24,46.49,46.04,46.38,46.42
145,2015-09-25,46.98,46.49,46.66,46.65
146,2015-09-28,46.4,45.5,46.38,45.61
147,2015-09-29,45.81,45.37,45.69,45.75
148,2015-09-30,46.34,45.83,46.21,46.29
149,2015-10-01,46.51,45.87,46.42,46.37
150,2015-10-02,46.41,45.08,45.64,46.41
151,2015-10-05,47.42,46.69,46.69,47.37
152,2015-10-06,47.44,47.11,47.35,47.15
153,2015-10-07,47.75,47.26,47.44,47.63
154,2015-10-08,47.96,47.42,47.52,47.91
155,2015-10-09,48.05,47.5,48.0,47.67
156,2015-10-12,47.8,47.54,47.67,47.79
157,2015-10-13,47.87,47.41,47.55,47.44
158,2015-10-14,47.47,46.87,47.41,46.95
159,2015-10-15,47.95,47.18,47.2,47.93
160,2015-10-16,48.23,47.93,48.07,48.14
161,2015-10-19,48.26,47.9,47.92,48.19
162,2015-10-20,48.51,48.17,48.22,48.43
163,2015-10-21,48.65,48.02,48.57,48.05
164,2015-10-22,48.95,48.27,48.27,48.76
165,2015-10-23,49.25,48.88,49.09,49.22
166,2015-10-26,49.2,48.9,49.2,49.09
167,2015-10-27,48.9,48.6,48.89,48.75
168,2015-10-28,49.91,48.86,48.92,49.88
169,2015-10-29,49.99,49.54,49.76,49.69
170,2015-10-30,49.74,49.01,49.74,49.03
171,2015-11-02,49.92,49.04,49.11,49.84
172,2015-11-03,49.93,49.55,49.74,49.78
173,2015-11-04,49.89,49.55,49.89,49.63
174,2015-11-05,49.99,49.62,49.65,49.93
175,2015-11-06,50.83,50.15,50.77,50.33
176,2015-11-09,50.49,49.53,50.49,49.74
177,2015-11-10,49.99,49.6,49.68,49.96
178,2015-11-11,50.21,49.82,50.11,49.88
179,2015-11-12,49.66,49.08,49.63,49.09
180,2015-11-13,49.16,48.56,48.97,48.66
181,2015-11-16,49.24,48.47,48.59,49.24
182,2015-11-17,49.63,49.1,49.32,49.14
183,2015-11-18,49.98,49.26,49.29,49.94
184,2015-11-19,50.1,49.85,49.99,50.01
185,2015-11-20,50.31,50.04,50.19,50.13
186,2015-11-23,50.34,49.99,50.23,50.06
187,2015-11-24,50.08,49.51,49.75,49.95
188,2015-11-25,50.06,49.89,49.99,50.01
189,2015-11-27,50.23,49.91,50.04,50.19
190,2015-11-30,50.33,50.05,50.28,50.07
191,2015-12-01,50.63,50.22,50.27,50.61
192,2015-12-02,50.7,49.91,50.7,49.95
193,2015-12-03,50.19,49.11,50.19,49.22
194,2015-12-04,50.44,49.4,49.41,50.35
195,2015-12-07,50.28,49.66,50.28,49.93
196,2015-12-08,49.69,49.21,49.56,49.32
197,2015-12-09,49.58,48.52,49.14,48.78
198,2015-12-10,49.21,48.64,48.82,48.77
199,2015-12-11,48.41,47.56,48.21,47.8
200,2015-12-14,48.14,47.34,47.87,47.82
201,2015-12-15,49.04,48.12,48.35,48.85
202,2015-12-16,49.69,48.81,49.23,49.6
203,2015-12-17,49.84,48.89,49.84,48.92
204,2015-12-18,48.76,47.83,48.76,47.84
205,2015-12-21,48.37,47.84,48.17,48.21
206,2015-12-22,48.72,48.09,48.45,48.62
207,2015-12-23,48.85,48.38,48.56,48.84
208,2015-12-24,49.06,48.7,48.78,48.82
209,2015-12-28,48.8,48.4,48.68,48.79
210,2015-12-29,49.33,49.0,49.08,49.29
211,2015-12-30,49.3,48.88,49.28,48.91
212,2015-12-31,49.02,48.45,48.74,48.45
213,2016-01-04,47.6,47.07,47.59,47.56
214,2016-01-05,47.83,47.38,47.67,47.74
215,2016-01-06,47.37,46.89,47.14,47.08
216,2016-01-07,46.57,45.71,46.23,45.79
217,2016-01-08,46.27,45.01,46.23,45.06
218,2016-01-11,45.42,44.78,45.35,45.2
219,2016-01-12,45.67,44.83,45.67,45.37
220,2016-01-13,45.67,44.03,45.63,44.18
221,2016-01-14,44.87,43.86,44.35,44.55
222,2016-01-15,43.76,43.03,43.37,43.62
223,2016-01-19,44.18,43.29,44.05,43.55
224,2016-01-20,43.19,41.79,42.72,42.71
225,2016-01-21,43.33,42.47,42.78,42.57
226,2016-01-22,43.58,43.13,43.15,43.44
227,2016-01-25,43.38,42.45,43.3,42.48
228,2016-01-26,43.42,42.66,42.66,43.32
229,2016-01-27,43.87,42.86,43.25,43.13
230,2016-01-28,43.55,42.99,43.47,43.19
231,2016-01-29,44.34,43.37,43.37,44.33
232,2016-02-01,44.41,43.84,44.13,44.16
233,2016-02-02,43.81,42.98,43.68,43.11
234,2016-02-03,43.33,42.03,43.29,43.14
235,2016-02-04,43.75,42.9,42.96,43.49
236,2016-02-05,43.6,42.77,43.45,42.85
237,2016-02-08,42.34,41.26,42.34,41.8
238,2016-02-09,41.93,41.1,41.17,41.63
239,2016-02-10,42.44,41.51,41.92,41.52
240,2016-02-11,40.77,40.09,40.56,40.38
241,2016-02-12,41.85,41.01,41.03,41.84
242,2016-02-16,42.72,42.13,42.46,42.62
243,2016-02-17,43.36,43.0,43.08,43.13
244,2016-02-18,43.2,42.74,43.2,42.92
245,2016-02-19,43.1,42.56,42.71,42.99
246,2016-02-22,43.74,43.45,43.45,43.58
247,2016-02-23,43.45,42.83,43.43,42.89
248,2016-02-24,42.92,41.96,42.41,42.86
249,2016-02-25,43.47,42.66,42.83,43.47
250,2016-02-26,44.04,43.56,43.71,43.71
251,2016-02-29,43.86,43.2,43.65,43.2
252,2016-03-01,44.67,43.56,43.56,44.64
253,2016-03-02,45.12,44.62,44.64,45.12
254,2016-03-03,45.47,44.92,45.12,45.47
255,2016-03-04,45.83,45.32,45.63,45.61
256,2016-03-07,45.69,45.24,45.37,45.64
257,2016-03-08,45.41,44.85,45.32,44.9
258,2016-03-09,45.17,44.8,45.09,44.94
259,2016-03-10,45.38,44.39,45.18,44.91
260,2016-03-11,46.1,45.36,45.38,46.06
261,2016-03-14,46.02,45.64,45.95,45.88
262,2016-03-15,45.79,45.45,45.55,45.77
263,2016-03-16,46.0,45.46,45.58,45.79
264,2016-03-17,46.47,45.5,45.71,46.34
265,2016-03-18,46.95,46.54,46.65,46.74
266,2016-03-21,46.79,46.34,46.55,46.52
267,2016-03-22,46.57,46.12,46.22,46.43
268,2016-03-23,46.36,46.01,46.32,46.01
269,2016-03-24,45.78,45.36,45.72,45.77
270,2016-03-28,46.06,45.72,45.91,45.93
271,2016-03-29,46.19,45.57,45.78,46.18
272,2016-03-30,46.73,46.36,46.39,46.43
273,2016-03-31,46.57,46.26,46.32,46.36
274,2016-04-01,46.72,45.96,46.13,46.66
275,2016-04-04,46.72,46.35,46.65,46.42
276,2016-04-05,46.08,45.74,46.03,45.79
277,2016-04-06,46.07,45.61,45.74,46.04
278,2016-04-07,45.75,44.98,45.7,45.2
279,2016-04-08,45.82,45.31,45.46,45.39
280,2016-04-11,45.97,45.52,45.59,45.55
281,2016-04-12,46.19,45.53,45.64,46.15
282,2016-04-13,47.13,46.54,46.57,47.12
283,2016-04-14,47.43,46.91,46.98,47.18
284,2016-04-15,47.31,47.04,47.3,47.11
285,2016-04-18,47.43,46.9,46.93,47.42
286,2016-04-19,47.91,47.5,47.53,47.86
287,2016-04-20,48.29,47.9,47.94,48.22
288,2016-04-21,48.33,47.63,48.22,47.73
289,2016-04-22,48.24,47.77,47.77,48.17
290,2016-04-25,48.08,47.76,48.01,48.08
291,2016-04-26,48.44,48.09,48.16,48.39
292,2016-04-27,48.58,48.2,48.41,48.45
293,2016-04-28,48.46,47.84,48.11,47.99
294,2016-04-29,47.9,47.34,47.78,47.68
295,2016-05-02,48.25,47.71,47.79,48.18
296,2016-05-03,47.68,47.18,47.68,47.58
297,2016-05-04,47.52,47.1,47.16,47.32
298,2016-05-05,47.58,47.2,47.43,47.31
299,2016-05-06,47.56,47.0,47.02,47.54
300,2016-05-09,47.7,47.32,47.52,47.54
301,2016-05-10,48.12,47.7,47.7,48.12
302,2016-05-11,48.09,47.58,48.01,47.6
303,2016-05-12,47.9,47.37,47.81,47.66
304,2016-05-13,47.76,47.03,47.54,47.12
305,2016-05-16,47.61,47.11,47.11,47.4
306,2016-05-17,47.45,46.87,47.3,47.0
307,2016-05-18,47.83,46.88,46.88,47.76
308,2016-05-19,47.75,47.03,47.52,47.33
309,2016-05-20,47.91,47.52,47.53,47.69
310,2016-05-23,47.79,47.49,47.67,47.61
311,2016-05-24,48.46,47.84,47.84,48.39
312,2016-05-25,49.02,48.55,48.55,48.83
313,2016-05-26,48.9,48.54,48.9,48.62
314,2016-05-27,48.96,48.66,48.67,48.96
315,2016-05-31,49.15,48.71,49.13,48.89
316,2016-06-01,49.05,48.37,48.55,49.02
317,2016-06-02,49.13,48.73,48.91,49.1
318,2016-06-03,48.63,48.04,48.58,48.52
319,2016-06-06,48.97,48.55,48.56,48.8
320,2016-06-07,48.93,48.67,48.85,48.67
321,2016-06-08,48.84,48.64,48.64,48.79
322,2016-06-09,48.58,48.25,48.55,48.51
323,2016-06-10,48.11,47.76,48.01,47.91
324,2016-06-13,48.11,47.51,47.68,47.54
325,2016-06-14,47.53,46.64,47.38,46.86
326,2016-06-15,47.46,46.92,46.99,46.95
327,2016-06-16,47.07,46.35,46.65,47.07
328,2016-06-17,47.2,46.8,47.07,47.01
329,2016-06-20,47.97,47.29,47.56,47.32
330,2016-06-21,47.33,46.97,47.18,47.22
331,2016-06-22,47.54,47.13,47.22,47.17
332,2016-06-23,48.12,47.69,47.69,48.11
333,2016-06-24,46.74,45.72,45.72,45.75
334,2016-06-27,45.43,44.25,45.21,44.51
335,2016-06-28,45.59,44.95,45.23,45.58
336,2016-06-29,46.61,45.84,45.99,46.61
337,2016-06-30,47.36,46.54,46.77,47.36
338,2016-07-01,47.43,47.06,47.24,47.15
339,2016-07-05,46.8,46.29,46.78,46.5
340,2016-07-06,46.7,46.09,46.22,46.67
341,2016-07-07,47.01,46.48,46.7,46.7
342,2016-07-08,47.61,47.2,47.2,47.53
343,2016-07-11,48.0,47.69,47.75,47.86
344,2016-07-12,48.48,48.08,48.13,48.44
345,2016-07-13,48.5,48.2,48.41,48.45
346,2016-07-14,49.52,48.73,49.49,48.76
347,2016-07-15,49.02,48.48,49.02,48.76
348,2016-07-18,48.95,48.73,48.77,48.9
349,2016-07-19,48.94,48.65,48.72,48.94
350,2016-07-20,49.09,48.8,49.09,48.99
351,2016-07-21,49.03,48.76,48.99,48.84
352,2016-07-22,49.2,48.84,48.88,49.15
353,2016-07-25,49.18,48.94,49.15,49.05
354,2016-07-26,49.17,48.93,49.0,49.09
355,2016-07-27,49.21,48.92,49.07,49.07
356,2016-07-28,49.3,48.8,48.97,49.21
357,2016-07-29,49.39,49.02,49.02,49.21
358,2016-08-01,49.4,48.98,49.19,49.06
359,2016-08-02,49.09,48.53,48.95,48.62
360,2016-08-03,49.06,48.64,48.64,49.06
361,2016-08-04,49.11,48.85,48.99,48.96
