,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,110.29,109.22,109.33,110.24
1,2015-03-03,110.05,108.94,110.05,109.39
2,2015-03-04,109.23,108.37,109.12,109.02
3,2015-03-05,109.3,108.59,109.01,108.98
4,2015-03-06,109.15,107.54,109.08,107.75
5,2015-03-09,108.64,107.74,108.14,108.2
6,2015-03-10,107.53,106.03,107.48,106.06
7,2015-03-11,106.38,105.38,106.12,105.48
8,2015-03-12,106.16,105.12,105.23,106.11
9,2015-03-13,106.22,104.93,105.9,105.57
10,2015-03-16,106.86,105.8,105.88,106.84
11,2015-03-17,107.15,106.37,106.69,106.95
12,2015-03-18,108.65,106.39,106.74,108.24
13,2015-03-19,108.51,108.0,108.21,108.15
14,2015-03-20,109.28,108.6,108.61,108.77
15,2015-03-23,109.3,108.8,108.85,108.8
16,2015-03-24,109.18,108.44,108.95,108.5
17,2015-03-25,108.53,105.5,108.49,105.52
18,2015-03-26,106.02,104.34,104.89,105.59
19,2015-03-27,106.1,105.09,105.56,105.85
20,2015-03-30,107.14,106.49,106.58,107.05
21,2015-03-31,109.86,106.01,106.72,106.52
22,2015-04-01,106.17,105.04,106.1,105.67
23,2015-04-02,106.16,105.47,105.75,105.66
24,2015-04-06,106.84,104.72,105.08,106.65
25,2015-04-07,107.36,106.53,106.55,106.53
26,2015-04-08,107.22,106.1,106.1,106.91
27,2015-04-09,107.41,106.42,106.9,107.35
28,2015-04-10,107.82,107.07,107.22,107.82
29,2015-04-13,108.32,107.32,107.82,107.37
30,2015-04-14,107.72,106.4,107.72,106.98
31,2015-04-15,108.25,107.22,107.3,107.95
32,2015-04-16,107.98,107.47,107.67,107.73
33,2015-04-17,107.0,105.73,107.0,106.08
34,2015-04-20,107.97,106.6,106.6,107.81
35,2015-04-21,108.57,107.82,108.35,107.9
36,2015-04-22,109.08,107.68,108.19,108.94
37,2015-04-23,109.61,108.43,108.54,109.2
38,2015-04-24,110.2,109.39,110.17,109.82
39,2015-04-27,110.7,109.81,110.11,110.07
40,2015-04-28,110.71,109.19,110.3,110.19
41,2015-04-29,110.23,108.92,109.6,109.68
42,2015-04-30,109.33,107.51,109.1,107.89
43,2015-05-01,109.27,108.16,108.25,109.27
44,2015-05-04,109.92,109.3,109.49,109.35
45,2015-05-05,109.06,107.52,109.01,107.64
46,2015-05-06,108.28,106.27,107.86,107.03
47,2015-05-07,108.13,106.92,106.92,107.8
48,2015-05-08,109.41,108.83,108.87,109.32
49,2015-05-11,109.44,108.88,109.26,108.89
50,2015-05-12,108.77,107.4,108.35,108.32
51,2015-05-13,109.4,108.61,108.61,108.84
52,2015-05-14,110.63,109.53,109.6,110.57
53,2015-05-15,110.92,110.0,110.89,110.26
54,2015-05-18,111.03,109.89,110.05,110.83
55,2015-05-19,111.14,110.56,110.92,110.69
56,2015-05-20,111.23,110.26,110.79,110.66
57,2015-05-21,111.19,110.35,110.5,111.04
58,2015-05-22,111.35,110.92,110.92,111.08
59,2015-05-26,110.89,109.1,110.7,109.54
60,2015-05-27,111.55,109.73,109.84,111.41
61,2015-05-28,111.45,111.0,111.28,111.35
62,2015-05-29,111.35,110.26,111.25,110.58
63,2015-06-01,111.26,110.13,110.98,110.91
64,2015-06-02,111.18,109.91,110.76,110.65
65,2015-06-03,111.54,110.79,111.22,111.06
66,2015-06-04,110.98,109.73,110.73,110.02
67,2015-06-05,110.17,109.27,109.87,109.98
68,2015-06-08,110.1,108.37,110.1,108.6
69,2015-06-09,108.73,107.5,108.52,108.41
70,2015-06-10,110.32,108.76,108.83,110.05
71,2015-06-11,110.68,109.95,110.29,110.07
72,2015-06-12,109.7,109.12,109.43,109.28
73,2015-06-15,108.78,107.69,108.48,108.68
74,2015-06-16,109.56,108.55,108.84,109.36
75,2015-06-17,109.88,108.96,109.49,109.52
76,2015-06-18,110.62,109.49,109.49,110.44
77,2015-06-19,110.56,109.62,110.47,109.64
78,2015-06-22,110.7,110.14,110.45,110.37
79,2015-06-23,110.69,110.06,110.69,110.43
80,2015-06-24,110.69,109.79,110.18,109.82
81,2015-06-25,110.34,109.38,110.24,109.55
82,2015-06-26,109.45,108.1,109.2,108.49
83,2015-06-29,107.82,105.93,107.46,106.02
84,2015-06-30,106.86,105.85,106.86,106.23
85,2015-07-01,107.77,106.36,107.29,106.8
86,2015-07-02,107.22,106.43,107.02,106.89
87,2015-07-06,106.93,105.75,106.1,106.45
88,2015-07-07,106.58,104.43,106.49,106.47
89,2015-07-08,105.79,104.59,105.54,104.67
90,2015-07-09,106.22,104.38,105.71,104.44
