,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,134.76,133.68,133.68,134.73
1,2015-03-03,134.49,132.89,134.41,133.71
2,2015-03-04,134.51,132.51,133.52,134.28
3,2015-03-05,135.63,134.53,134.63,135.07
4,2015-03-06,134.49,132.39,134.49,132.66
5,2015-03-09,133.37,132.06,132.93,133.26
6,2015-03-10,132.85,131.58,132.85,132.04
7,2015-03-11,132.76,131.87,132.39,132.12
8,2015-03-12,133.71,132.4,132.6,133.71
9,2015-03-13,134.44,132.66,133.56,133.53
10,2015-03-16,136.4,134.57,134.6,136.36
11,2015-03-17,136.3,135.16,136.16,136.08
12,2015-03-18,138.18,135.18,135.86,137.59
13,2015-03-19,138.82,137.5,137.63,138.68
14,2015-03-20,140.35,138.65,139.88,139.38
15,2015-03-23,139.48,138.31,139.16,138.86
16,2015-03-24,139.45,137.72,138.98,137.74
17,2015-03-25,138.7,134.82,137.96,134.9
18,2015-03-26,135.62,133.28,134.08,134.52
19,2015-03-27,136.15,134.69,134.74,135.76
20,2015-03-30,137.35,136.58,137.24,137.25
21,2015-03-31,137.53,135.42,136.98,135.52
22,2015-04-01,135.31,132.72,135.31,133.83
23,2015-04-02,134.55,133.54,133.9,134.12
24,2015-04-06,134.99,133.06,133.67,134.33
25,2015-04-07,135.62,134.41,134.41,134.54
26,2015-04-08,136.35,134.87,134.99,135.9
27,2015-04-09,136.94,135.6,135.99,136.79
28,2015-04-10,138.17,136.43,136.79,137.97
29,2015-04-13,138.75,137.4,137.93,137.47
30,2015-04-14,137.85,136.5,137.75,137.57
31,2015-04-15,138.5,137.63,138.2,137.88
32,2015-04-16,138.39,137.67,138.09,137.92
33,2015-04-17,137.57,135.78,137.43,136.69
34,2015-04-20,137.83,137.01,137.57,137.47
35,2015-04-21,138.77,138.18,138.44,138.47
36,2015-04-22,138.97,137.87,138.87,138.58
37,2015-04-23,139.57,137.88,138.46,139.29
38,2015-04-24,139.59,138.27,139.59,138.79
