,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,109.97,108.94,108.94,109.97
1,2015-03-03,109.72,108.91,109.59,109.28
2,2015-03-04,108.84,107.94,108.84,108.48
3,2015-03-05,108.61,108.09,108.61,108.54
4,2015-03-06,108.22,106.95,107.96,107.09
5,2015-03-09,108.16,107.39,107.39,107.98
6,2015-03-10,107.14,106.07,107.14,106.07
7,2015-03-11,106.5,106.05,106.3,106.23
8,2015-03-12,107.67,106.26,106.26,107.59
9,2015-03-13,107.48,106.05,107.37,106.66
10,2015-03-16,108.21,107.11,107.11,108.17
11,2015-03-17,108.27,107.56,107.87,108.09
12,2015-03-18,109.56,107.19,107.73,109.2
13,2015-03-19,109.06,108.23,108.93,108.62
14,2015-03-20,109.55,108.73,108.77,109.27
15,2015-03-23,109.44,108.63,109.44,108.63
16,2015-03-24,108.67,108.02,108.51,108.22
17,2015-03-25,108.27,106.4,108.27,106.42
18,2015-03-26,106.44,105.45,105.74,106.09
19,2015-03-27,106.71,105.97,106.06,106.63
20,2015-03-30,108.37,107.16,107.16,108.14
21,2015-03-31,107.72,107.16,107.72,107.35
22,2015-04-01,107.0,106.0,107.0,106.42
23,2015-04-02,107.25,106.16,106.16,106.68
24,2015-04-06,107.7,105.97,105.97,107.33
25,2015-04-07,107.68,107.0,107.42,107.05
26,2015-04-08,107.38,106.75,107.08,107.32
27,2015-04-09,107.88,106.79,107.34,107.83
28,2015-04-10,109.4,108.61,108.64,109.35
29,2015-04-13,109.38,108.37,109.1,108.44
30,2015-04-14,108.67,107.51,107.98,108.58
31,2015-04-15,109.36,108.83,108.87,108.96
32,2015-04-16,109.03,108.4,108.76,108.66
33,2015-04-17,108.21,106.97,108.21,107.37
34,2015-04-20,108.68,107.84,107.84,108.51
35,2015-04-21,108.79,108.0,108.79,108.33
36,2015-04-22,108.82,107.69,108.44,108.77
37,2015-04-23,109.07,108.29,108.4,108.66
38,2015-04-24,108.8,108.03,108.8,108.22
39,2015-04-27,108.65,107.96,108.45,108.07
40,2015-04-28,108.36,107.26,107.98,108.36
41,2015-04-29,108.21,107.34,107.91,107.81
42,2015-04-30,107.65,106.34,107.53,106.68
43,2015-05-01,108.01,107.04,107.04,107.94
44,2015-05-04,108.65,108.03,108.12,108.11
45,2015-05-05,108.27,106.6,107.94,106.74
46,2015-05-06,107.02,106.08,107.02,106.67
47,2015-05-07,107.45,106.44,106.44,107.28
48,2015-05-08,108.68,108.13,108.13,108.37
49,2015-05-11,108.73,108.18,108.18,108.29
50,2015-05-12,108.32,107.36,107.84,108.11
51,2015-05-13,108.9,108.12,108.47,108.33
52,2015-05-14,109.58,108.74,108.78,109.42
53,2015-05-15,109.64,109.03,109.57,109.39
54,2015-05-18,109.81,109.22,109.24,109.68
55,2015-05-19,109.79,109.27,109.79,109.42
56,2015-05-20,109.58,108.84,109.41,108.99
57,2015-05-21,109.68,108.95,108.98,109.47
58,2015-05-22,109.59,108.96,109.36,109.02
59,2015-05-26,108.79,107.52,108.79,107.74
60,2015-05-27,108.61,107.91,107.98,108.53
61,2015-05-28,108.32,107.66,108.32,108.06
62,2015-05-29,107.92,106.79,107.92,107.08
63,2015-06-01,107.78,106.72,107.43,107.46
64,2015-06-02,108.2,107.0,107.23,107.74
65,2015-06-03,108.71,107.75,107.97,108.38
66,2015-06-04,108.11,107.04,108.11,107.14
67,2015-06-05,107.43,106.54,107.15,107.36
68,2015-06-08,107.28,106.5,107.24,106.5
69,2015-06-09,106.89,106.13,106.43,106.47
70,2015-06-10,107.83,106.76,106.8,107.59
71,2015-06-11,108.07,107.61,107.79,107.94
72,2015-06-12,107.83,107.27,107.54,107.5
73,2015-06-15,107.51,106.11,106.72,106.63
74,2015-06-16,106.74,106.28,106.54,106.69
75,2015-06-17,107.15,106.27,106.86,106.88
76,2015-06-18,108.31,107.06,107.06,108.04
77,2015-06-19,108.26,107.77,108.06,107.78
78,2015-06-22,108.51,108.08,108.24,108.25
79,2015-06-23,108.5,108.03,108.41,108.22
80,2015-06-24,108.14,107.18,107.96,107.2
81,2015-06-25,107.4,106.38,107.4,106.48
82,2015-06-26,106.88,106.42,106.55,106.63
83,2015-06-29,106.1,104.45,105.75,104.5
84,2015-06-30,105.47,104.45,105.3,104.71
85,2015-07-01,105.78,104.5,105.55,104.94
86,2015-07-02,105.34,104.57,105.2,104.83
87,2015-07-06,105.03,103.91,104.04,104.33
88,2015-07-07,105.09,103.21,104.49,104.99
89,2015-07-08,104.29,102.83,104.11,103.08
90,2015-07-09,104.49,103.43,104.14,103.44
91,2015-07-10,104.71,104.15,104.47,104.65
92,2015-07-13,105.68,105.23,105.23,105.65
93,2015-07-14,106.15,105.44,105.46,105.95
94,2015-07-15,105.83,105.25,105.83,105.43
95,2015-07-16,106.19,105.84,106.03,105.98
96,2015-07-17,106.21,105.7,106.19,105.91
97,2015-07-20,106.11,105.79,106.04,105.85
98,2015-07-21,105.54,104.75,105.54,104.85
99,2015-07-22,104.97,104.2,104.7,104.41
100,2015-07-23,104.7,103.35,104.58,103.44
101,2015-07-24,103.69,101.98,103.69,102.1
102,2015-07-27,101.86,101.23,101.43,101.52
