,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,61.22,58.2,61.13,58.67
1,2015-03-03,60.19,59.08,59.1,60.08
2,2015-03-04,59.61,58.39,59.61,59.08
3,2015-03-05,60.44,59.28,59.43,59.96
4,2015-03-06,60.29,58.48,59.16,58.74
5,2015-03-09,59.69,58.55,58.56,58.6
6,2015-03-10,58.31,57.23,58.25,57.77
7,2015-03-11,57.82,56.3,56.3,57.74
8,2015-03-12,59.28,57.66,58.14,57.78
9,2015-03-13,58.73,57.76,57.96,58.53
10,2015-03-16,59.7,58.03,58.36,59.66
11,2015-03-17,60.14,58.39,59.42,59.9
12,2015-03-18,62.55,59.59,59.99,61.96
13,2015-03-19,61.52,60.41,61.36,60.8
14,2015-03-20,62.22,60.85,61.11,61.55
15,2015-03-23,62.82,61.69,61.79,62.49
16,2015-03-24,62.71,61.89,62.2,62.07
17,2015-03-25,64.49,62.75,62.84,63.78
18,2015-03-26,64.46,63.01,64.41,63.38
19,2015-03-27,64.4,61.4,64.3,61.87
20,2015-03-30,63.87,62.0,62.12,63.76
21,2015-03-31,64.17,62.96,63.08,63.62
22,2015-04-01,64.28,63.37,63.97,63.45
23,2015-04-02,63.65,59.31,63.37,59.8
24,2015-04-06,60.52,58.86,60.35,59.53
25,2015-04-07,60.03,58.26,59.97,58.59
26,2015-04-08,59.73,58.4,58.9,58.62
27,2015-04-09,59.32,58.14,59.22,58.92
28,2015-04-10,60.16,59.03,59.23,59.73
29,2015-04-13,59.78,57.16,59.66,57.46
30,2015-04-14,57.8,56.85,57.49,57.19
31,2015-04-15,58.2,57.0,57.57,57.11
32,2015-04-16,58.7,56.84,57.06,58.26
33,2015-04-17,58.1,57.04,57.97,57.56
34,2015-04-20,58.39,57.23,57.74,57.47
35,2015-04-21,58.59,57.34,57.47,58.33
36,2015-04-22,59.69,58.0,58.58,59.35
37,2015-04-23,59.87,58.92,59.5,59.23
38,2015-04-24,60.77,59.37,59.4,60.05
39,2015-04-27,60.44,59.2,60.31,59.4
40,2015-04-28,60.65,58.12,59.82,58.7
41,2015-04-29,59.16,57.55,58.79,57.92
42,2015-04-30,58.12,56.09,58.05,56.9
43,2015-05-01,59.14,56.96,57.05,58.9
44,2015-05-04,59.11,57.61,59.01,58.11
45,2015-05-05,58.3,57.45,58.3,58.02
46,2015-05-06,58.58,57.04,58.4,57.52
47,2015-05-07,58.08,57.12,57.43,57.79
48,2015-05-08,59.22,57.47,58.16,59.09
49,2015-05-11,58.8,57.4,58.67,58.27
