,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,84.77,83.46,83.58,83.85
1,2015-03-03,83.93,82.97,83.74,83.69
2,2015-03-04,83.8,82.7,83.69,82.89
3,2015-03-05,83.95,83.05,83.1,83.13
4,2015-03-06,82.09,80.22,82.06,80.37
5,2015-03-09,81.19,80.65,80.65,81.01
6,2015-03-10,81.33,80.65,80.77,80.95
7,2015-03-11,81.29,80.71,81.05,81.02
8,2015-03-12,82.54,81.29,81.32,82.43
9,2015-03-13,82.61,81.83,82.42,82.38
10,2015-03-16,83.72,82.62,82.84,83.23
11,2015-03-17,83.58,82.71,83.07,83.2
12,2015-03-18,85.18,82.73,83.21,84.94
13,2015-03-19,85.41,84.55,84.82,84.9
14,2015-03-20,87.11,85.11,85.4,87.03
15,2015-03-23,87.61,86.74,87.03,86.92
16,2015-03-24,86.89,86.16,86.86,86.18
17,2015-03-25,86.08,83.95,85.89,84.19
18,2015-03-26,84.15,83.37,83.98,83.75
19,2015-03-27,84.22,83.52,83.82,83.86
20,2015-03-30,85.14,84.01,84.22,85.06
21,2015-03-31,85.28,84.07,84.68,84.31
22,2015-04-01,84.65,83.53,84.37,84.19
23,2015-04-02,85.14,84.14,84.34,84.83
24,2015-04-06,86.0,84.98,85.11,85.71
25,2015-04-07,85.81,84.2,85.69,84.2
26,2015-04-08,84.57,84.09,84.47,84.33
27,2015-04-09,84.19,82.38,84.19,82.58
28,2015-04-10,83.49,82.28,83.01,82.52
29,2015-04-13,82.82,82.28,82.49,82.3
30,2015-04-14,83.0,82.4,82.48,82.59
31,2015-04-15,82.93,81.92,82.92,81.97
32,2015-04-16,82.53,81.43,81.82,82.18
33,2015-04-17,82.28,81.24,81.86,81.8
34,2015-04-20,82.39,81.66,82.13,81.92
35,2015-04-21,82.58,81.83,82.14,82.06
36,2015-04-22,82.66,82.01,82.08,82.23
37,2015-04-23,82.63,82.05,82.22,82.45
38,2015-04-24,83.1,82.25,82.54,82.62
39,2015-04-27,83.31,82.32,82.69,82.51
40,2015-04-28,82.62,81.82,82.43,82.35
41,2015-04-29,81.96,80.48,81.56,80.69
42,2015-04-30,80.47,78.89,80.37,79.38
43,2015-05-01,80.53,79.31,79.47,79.98
44,2015-05-04,80.8,79.94,80.24,80.06
45,2015-05-05,80.02,78.19,80.02,78.32
46,2015-05-06,78.54,77.72,78.35,78.17
47,2015-05-07,79.68,78.21,78.28,79.37
48,2015-05-08,81.57,80.12,80.15,80.48
49,2015-05-11,80.71,79.03,80.17,79.27
50,2015-05-12,79.76,78.12,78.68,79.51
51,2015-05-13,80.35,78.59,80.0,78.75
52,2015-05-14,80.31,78.99,79.19,80.27
53,2015-05-15,81.33,80.41,80.6,81.09
54,2015-05-18,81.06,80.44,80.82,80.88
55,2015-05-19,81.08,80.41,80.48,80.6
56,2015-05-20,81.08,80.43,80.71,80.53
57,2015-05-21,80.71,79.78,80.61,80.15
58,2015-05-22,80.6,79.6,79.86,80.05
59,2015-05-26,80.05,79.21,80.0,79.44
60,2015-05-27,80.35,79.36,79.74,80.22
61,2015-05-28,80.39,79.65,80.17,80.06
62,2015-05-29,80.2,79.03,79.93,79.14
63,2015-06-01,80.26,79.02,79.39,80.11
64,2015-06-02,79.8,79.03,79.76,79.37
65,2015-06-03,79.31,78.14,79.15,78.23
66,2015-06-04,78.44,77.83,78.15,78.08
67,2015-06-05,77.8,76.5,77.05,77.21
68,2015-06-08,77.41,76.9,77.2,77.07
