,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,88.91,88.12,88.27,88.82
1,2015-03-03,89.04,88.08,88.77,88.7
2,2015-03-04,88.7,87.95,88.7,88.03
3,2015-03-05,88.34,87.92,88.22,88.08
4,2015-03-06,87.58,86.5,87.5,86.58
5,2015-03-09,86.95,86.49,86.95,86.53
6,2015-03-10,86.01,85.0,86.01,85.16
7,2015-03-11,85.66,85.04,85.35,85.29
8,2015-03-12,86.61,85.12,85.81,86.49
9,2015-03-13,86.29,85.42,86.29,85.91
10,2015-03-16,86.81,86.0,86.16,86.73
11,2015-03-17,86.92,86.34,86.34,86.72
12,2015-03-18,88.33,86.41,86.59,88.08
13,2015-03-19,88.15,87.52,88.08,87.78
14,2015-03-20,88.84,87.84,87.95,88.43
15,2015-03-23,89.11,88.53,88.68,88.85
16,2015-03-24,88.93,88.26,88.61,88.26
17,2015-03-25,88.19,86.53,88.19,86.53
18,2015-03-26,87.14,86.1,86.1,86.67
19,2015-03-27,86.8,86.33,86.65,86.72
20,2015-03-30,87.42,86.81,86.81,87.28
21,2015-03-31,87.23,86.3,87.1,86.45
22,2015-04-01,88.04,86.15,86.34,87.83
23,2015-04-02,89.06,87.9,87.9,88.85
24,2015-04-06,89.36,88.43,88.43,89.02
25,2015-04-07,89.31,88.44,89.02,88.44
26,2015-04-08,88.89,88.27,88.48,88.65
27,2015-04-09,88.75,88.11,88.57,88.56
28,2015-04-10,88.91,88.54,88.61,88.58
29,2015-04-13,89.07,88.38,88.38,88.56
30,2015-04-14,88.78,88.26,88.55,88.5
31,2015-04-15,89.32,88.59,88.59,89.13
32,2015-04-16,89.19,88.66,88.92,88.86
33,2015-04-17,88.63,87.4,88.63,87.8
34,2015-04-20,88.97,88.05,88.05,88.91
35,2015-04-21,89.18,88.57,89.0,88.96
36,2015-04-22,89.44,88.76,89.29,89.44
37,2015-04-23,90.78,89.51,89.51,90.76
38,2015-04-24,91.16,90.44,90.75,90.64
39,2015-04-27,91.0,89.88,90.91,89.96
40,2015-04-28,91.45,90.07,90.07,91.28
41,2015-04-29,91.44,90.81,91.01,91.07
42,2015-04-30,90.84,89.41,90.84,89.64
43,2015-05-01,90.07,89.11,89.8,89.69
44,2015-05-04,90.2,89.61,89.88,89.67
45,2015-05-05,89.69,88.2,89.5,88.44
46,2015-05-06,88.76,86.67,88.76,87.39
47,2015-05-07,87.4,86.59,87.38,86.95
48,2015-05-08,87.84,87.38,87.49,87.64
49,2015-05-11,87.8,87.13,87.77,87.31
50,2015-05-12,87.85,86.41,87.03,87.63
51,2015-05-13,87.89,87.34,87.77,87.42
52,2015-05-14,87.99,87.81,87.85,87.84
53,2015-05-15,88.27,87.57,87.84,88.27
54,2015-05-18,89.03,88.25,88.25,88.71
55,2015-05-19,88.69,87.39,88.69,87.58
56,2015-05-20,88.33,87.64,87.88,88.19
57,2015-05-21,88.66,88.07,88.07,88.42
58,2015-05-22,88.31,87.59,88.21,87.79
59,2015-05-26,87.79,86.92,87.56,87.69
60,2015-05-27,88.57,87.63,87.77,88.44
61,2015-05-28,88.39,87.89,88.39,88.13
62,2015-05-29,88.16,87.46,88.08,88.0
63,2015-06-01,88.17,87.2,88.13,87.22
64,2015-06-02,87.86,87.08,87.08,87.73
65,2015-06-03,88.75,87.7,87.86,88.55
66,2015-06-04,88.75,87.83,87.87,87.86
67,2015-06-05,87.82,86.93,87.82,87.25
68,2015-06-08,87.41,87.07,87.25,87.13
69,2015-06-09,87.22,86.48,87.11,86.93
70,2015-06-10,87.84,87.26,87.26,87.66
71,2015-06-11,88.19,87.79,87.83,88.12
72,2015-06-12,88.21,87.74,87.91,87.76
