,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,98.3,95.84,98.3,96.43
1,2015-03-03,97.14,95.85,96.22,97.12
2,2015-03-04,96.9,96.15,96.9,96.5
3,2015-03-05,97.55,96.59,96.59,97.15
4,2015-03-06,96.03,93.98,96.03,94.37
5,2015-03-09,94.97,94.35,94.44,94.5
6,2015-03-10,95.31,94.06,94.17,94.36
7,2015-03-11,94.74,93.57,94.47,93.78
8,2015-03-12,95.92,94.02,94.1,95.55
9,2015-03-13,95.39,93.78,95.39,94.6
10,2015-03-16,96.78,94.9,94.9,96.15
11,2015-03-17,96.49,95.72,95.9,96.08
12,2015-03-18,99.17,95.78,96.01,98.62
13,2015-03-19,99.24,97.54,98.21,97.69
14,2015-03-20,98.77,97.65,98.28,98.63
15,2015-03-23,98.26,97.74,97.91,97.93
16,2015-03-24,98.24,96.61,97.9,96.85
17,2015-03-25,97.51,95.7,96.98,95.74
18,2015-03-26,96.19,94.75,95.51,94.96
19,2015-03-27,95.99,94.95,95.1,95.56
20,2015-03-30,97.11,95.68,96.0,96.84
21,2015-03-31,97.29,95.86,96.53,96.88
22,2015-04-01,97.03,95.5,96.6,96.87
23,2015-04-02,97.47,96.75,96.75,97.19
24,2015-04-06,98.94,97.36,97.44,98.4
25,2015-04-07,98.46,97.27,98.39,97.27
26,2015-04-08,97.48,96.53,97.48,97.01
27,2015-04-09,96.98,96.04,96.98,96.61
28,2015-04-10,97.62,96.53,96.74,97.33
29,2015-04-13,97.33,96.31,97.22,96.37
30,2015-04-14,97.12,96.39,96.58,96.86
31,2015-04-15,97.8,97.02,97.08,97.12
32,2015-04-16,97.03,95.7,97.0,96.49
33,2015-04-17,96.89,95.83,96.13,96.17
34,2015-04-20,98.31,96.44,96.58,97.52
35,2015-04-21,98.19,96.38,97.73,96.65
36,2015-04-22,97.15,96.27,96.91,96.87
37,2015-04-23,97.78,96.81,96.81,97.46
38,2015-04-24,98.98,97.2,97.51,98.39
39,2015-04-27,98.82,96.9,98.57,97.17
40,2015-04-28,97.94,96.54,97.03,97.92
41,2015-04-29,97.7,96.78,97.38,97.59
42,2015-04-30,97.33,95.63,97.3,96.26
43,2015-05-01,96.8,95.66,96.33,96.66
44,2015-05-04,98.12,96.55,96.96,97.36
45,2015-05-05,97.26,94.95,97.26,95.18
46,2015-05-06,95.5,93.86,95.18,94.64
47,2015-05-07,95.53,94.72,94.73,94.95
48,2015-05-08,96.49,95.2,95.83,95.62
49,2015-05-11,96.31,94.94,95.59,95.04
50,2015-05-12,94.94,93.98,94.68,94.83
51,2015-05-13,95.41,93.71,95.08,94.02
52,2015-05-14,95.25,94.32,94.32,95.14
53,2015-05-15,96.44,95.19,95.34,96.23
54,2015-05-18,96.77,95.83,95.97,96.63
55,2015-05-19,97.02,96.07,96.36,96.8
56,2015-05-20,97.57,96.66,96.91,96.95
