,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,55.56,54.72,54.79,55.55
1,2015-03-03,55.58,55.14,55.45,55.45
2,2015-03-04,55.2,54.67,55.17,54.82
3,2015-03-05,55.01,54.65,54.94,54.84
4,2015-03-06,55.49,54.51,54.98,54.59
5,2015-03-09,55.01,54.63,54.78,54.67
6,2015-03-10,54.17,53.29,54.16,53.29
7,2015-03-11,53.99,53.6,53.87,53.7
8,2015-03-12,55.64,54.2,54.52,55.59
9,2015-03-13,55.65,55.02,55.49,55.34
10,2015-03-16,55.82,55.33,55.5,55.73
11,2015-03-17,55.98,55.26,55.5,55.91
12,2015-03-18,56.28,55.49,55.68,56.17
13,2015-03-19,55.98,55.24,55.95,55.51
14,2015-03-20,56.21,55.52,55.53,56.01
15,2015-03-23,56.29,55.73,56.03,55.78
16,2015-03-24,55.87,55.35,55.7,55.35
17,2015-03-25,55.36,54.54,55.26,54.54
18,2015-03-26,54.75,53.97,54.35,54.5
19,2015-03-27,54.6,53.96,54.54,54.12
20,2015-03-30,55.02,54.39,54.39,54.77
21,2015-03-31,54.69,54.19,54.47,54.4
22,2015-04-01,54.42,53.78,54.42,53.94
23,2015-04-02,54.48,53.82,53.95,54.37
24,2015-04-06,54.37,53.56,53.82,54.08
25,2015-04-07,54.39,53.98,54.28,54.02
26,2015-04-08,54.36,53.83,53.98,54.0
27,2015-04-09,54.29,53.73,54.06,54.19
28,2015-04-10,54.48,54.06,54.33,54.32
29,2015-04-13,54.73,54.28,54.33,54.59
30,2015-04-14,54.47,53.57,53.93,54.19
31,2015-04-15,54.91,54.19,54.37,54.81
32,2015-04-16,55.07,54.34,54.53,54.81
33,2015-04-17,54.56,53.98,54.41,54.05
34,2015-04-20,54.67,54.17,54.34,54.36
35,2015-04-21,54.85,54.19,54.55,54.28
36,2015-04-22,54.91,54.16,54.31,54.67
37,2015-04-23,55.12,54.41,54.41,54.86
38,2015-04-24,54.92,54.61,54.76,54.7
39,2015-04-27,55.5,54.71,54.79,54.97
40,2015-04-28,55.43,54.87,54.91,55.41
41,2015-04-29,55.76,55.08,55.17,55.46
42,2015-04-30,55.65,54.78,55.65,55.1
43,2015-05-01,55.58,54.96,55.26,55.19
44,2015-05-04,55.77,55.26,55.27,55.73
45,2015-05-05,56.2,55.6,55.73,55.72
46,2015-05-06,55.6,54.45,55.43,54.92
47,2015-05-07,55.19,54.61,54.96,54.81
48,2015-05-08,56.05,55.09,55.17,56.05
49,2015-05-11,55.96,55.44,55.92,55.51
50,2015-05-12,55.64,55.0,55.31,55.47
51,2015-05-13,55.83,55.37,55.47,55.6
52,2015-05-14,56.13,55.72,55.95,56.04
53,2015-05-15,56.04,55.3,56.04,55.52
54,2015-05-18,55.98,55.55,55.58,55.75
55,2015-05-19,56.7,55.89,55.9,56.4
56,2015-05-20,56.37,55.93,56.32,56.08
57,2015-05-21,56.18,55.83,55.91,56.01
58,2015-05-22,56.23,55.99,56.04,56.0
59,2015-05-26,56.0,55.46,55.97,55.66
60,2015-05-27,56.31,55.71,55.92,56.07
61,2015-05-28,56.3,55.89,56.11,56.21
62,2015-05-29,56.26,55.68,56.25,55.96
63,2015-06-01,56.49,55.8,56.24,56.04
64,2015-06-02,56.45,55.74,56.01,56.18
65,2015-06-03,57.2,56.35,56.35,56.91
66,2015-06-04,56.89,55.93,56.53,56.14
67,2015-06-05,57.22,56.4,57.04,56.61
68,2015-06-08,56.94,56.12,56.94,56.12
69,2015-06-09,56.93,56.0,56.23,56.7
70,2015-06-10,57.57,56.91,56.98,57.21
71,2015-06-11,57.57,57.07,57.26,57.26
72,2015-06-12,57.29,56.74,57.13,57.09
73,2015-06-15,57.07,56.48,56.65,56.98
74,2015-06-16,57.24,56.73,56.85,57.22
75,2015-06-17,57.55,57.1,57.31,57.17
76,2015-06-18,57.84,57.19,57.29,57.7
77,2015-06-19,57.57,57.05,57.42,57.05
78,2015-06-22,58.04,57.53,57.58,57.91
79,2015-06-23,58.26,57.76,58.0,57.89
80,2015-06-24,58.15,57.54,57.67,57.54
81,2015-06-25,57.79,57.13,57.75,57.17
82,2015-06-26,57.58,57.29,57.34,57.44
83,2015-06-29,57.19,56.01,56.8,56.06
84,2015-06-30,56.88,55.99,56.54,56.24
85,2015-07-01,57.2,56.61,57.09,56.91
86,2015-07-02,57.14,56.52,56.84,56.74
87,2015-07-06,56.53,56.01,56.1,56.44
88,2015-07-07,56.47,55.08,56.32,56.25
89,2015-07-08,56.17,55.21,55.84,55.25
90,2015-07-09,56.15,55.44,56.06,55.5
91,2015-07-10,56.46,55.86,56.33,56.08
92,2015-07-13,56.76,56.42,56.56,56.74
93,2015-07-14,57.37,56.39,56.46,57.25
94,2015-07-15,58.16,57.26,57.41,57.78
95,2015-07-16,58.35,57.98,58.24,58.17
96,2015-07-17,58.05,57.49,57.97,57.94
97,2015-07-20,58.29,57.88,57.99,58.05
98,2015-07-21,58.37,57.75,58.02,57.95
99,2015-07-22,58.59,57.99,58.07,58.52
100,2015-07-23,58.77,58.07,58.73,58.21
101,2015-07-24,58.34,57.7,58.18,57.78
102,2015-07-27,57.84,57.34,57.48,57.59
103,2015-07-28,57.84,57.16,57.73,57.4
104,2015-07-29,58.13,57.42,57.6,57.96
105,2015-07-30,58.19,57.72,57.85,58.15
106,2015-07-31,58.25,57.79,58.23,57.87
107,2015-08-03,58.07,57.5,58.07,57.91
108,2015-08-04,58.16,57.71,57.77,57.82
109,2015-08-05,58.02,57.48,57.81,57.65
110,2015-08-06,57.95,57.41,57.65,57.53
111,2015-08-07,57.86,57.04,57.57,57.47
112,2015-08-10,57.98,57.68,57.8,57.94
113,2015-08-11,57.55,56.98,57.23,57.21
114,2015-08-12,56.95,56.2,56.9,56.72
115,2015-08-13,57.13,56.63,56.75,56.89
116,2015-08-14,57.37,56.82,56.89,57.33
117,2015-08-17,57.5,56.93,57.02,57.35
118,2015-08-18,57.72,57.27,57.41,57.54
119,2015-08-19,57.55,56.95,57.28,57.06
120,2015-08-20,56.58,56.11,56.46,56.12
121,2015-08-21,55.78,53.96,55.33,53.97
122,2015-08-24,53.24,47.75,49.2,51.25
123,2015-08-25,53.65,50.0,53.55,50.02
124,2015-08-26,52.41,50.58,51.56,52.3
125,2015-08-27,54.1,52.88,53.44,54.03
126,2015-08-28,53.93,53.04,53.75,53.54
127,2015-08-31,53.56,53.06,53.4,53.33
128,2015-09-01,52.32,50.53,52.11,50.99
129,2015-09-02,52.49,51.27,52.49,51.99
130,2015-09-03,53.0,52.22,52.39,52.43
131,2015-09-04,51.82,50.76,51.8,51.29
132,2015-09-08,52.98,51.98,52.65,52.93
133,2015-09-09,53.7,52.02,53.61,52.19
134,2015-09-10,52.86,51.8,52.07,52.56
135,2015-09-11,52.66,52.03,52.34,52.62
136,2015-09-14,52.88,52.41,52.63,52.77
137,2015-09-15,53.79,52.82,53.04,53.47
138,2015-09-16,53.89,52.9,53.52,53.72
139,2015-09-17,53.91,52.03,53.7,52.21
140,2015-09-18,51.48,50.7,51.27,51.04
141,2015-09-21,51.75,51.18,51.52,51.55
142,2015-09-22,51.15,50.33,50.87,50.69
143,2015-09-23,50.94,50.5,50.88,50.78
