,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,51.85,51.27,51.51,51.83
1,2015-03-03,51.82,51.38,51.64,51.55
2,2015-03-04,51.49,51.02,51.26,51.37
3,2015-03-05,51.5,50.97,51.5,51.15
4,2015-03-06,50.93,50.36,50.92,50.46
5,2015-03-09,50.69,50.42,50.5,50.53
6,2015-03-10,50.13,49.69,50.13,49.76
7,2015-03-11,49.94,49.62,49.85,49.7
8,2015-03-12,50.36,49.75,49.75,50.32
9,2015-03-13,50.14,49.52,50.1,49.84
10,2015-03-16,50.06,49.54,50.06,49.76
11,2015-03-17,49.53,49.0,49.41,49.21
12,2015-03-18,50.26,48.71,48.97,49.96
13,2015-03-19,49.78,49.05,49.71,49.1
14,2015-03-20,49.55,48.88,49.04,49.23
15,2015-03-23,49.43,49.1,49.17,49.23
16,2015-03-24,49.3,48.9,49.13,49.07
17,2015-03-25,49.35,48.52,49.16,48.52
18,2015-03-26,48.81,48.39,48.45,48.63
19,2015-03-27,48.9,48.54,48.74,48.61
20,2015-03-30,49.43,48.91,48.91,49.27
21,2015-03-31,49.15,48.78,49.04,48.78
22,2015-04-01,49.0,48.48,48.88,48.92
23,2015-04-02,49.11,48.7,48.7,48.97
24,2015-04-06,49.5,48.59,48.91,49.36
25,2015-04-07,49.69,49.2,49.2,49.28
26,2015-04-08,49.61,49.17,49.51,49.42
27,2015-04-09,49.68,49.3,49.35,49.56
28,2015-04-10,49.71,49.47,49.61,49.7
29,2015-04-13,49.74,49.48,49.52,49.5
30,2015-04-14,49.79,49.38,49.4,49.71
31,2015-04-15,50.38,49.82,49.82,50.19
32,2015-04-16,50.35,49.92,50.2,50.08
33,2015-04-17,49.96,49.44,49.8,49.62
34,2015-04-20,50.05,49.7,49.7,49.98
35,2015-04-21,50.11,49.42,50.11,49.61
36,2015-04-22,49.76,49.31,49.73,49.71
37,2015-04-23,50.05,49.59,49.77,49.84
38,2015-04-24,50.28,50.0,50.09,50.26
39,2015-04-27,50.92,50.39,50.41,50.7
40,2015-04-28,50.84,50.41,50.69,50.77
41,2015-04-29,50.92,50.35,50.5,50.74
42,2015-04-30,50.8,50.23,50.56,50.42
43,2015-05-01,51.38,50.64,50.73,51.25
44,2015-05-04,51.49,51.09,51.4,51.11
45,2015-05-05,51.39,50.41,51.0,50.53
46,2015-05-06,50.92,50.36,50.82,50.54
47,2015-05-07,50.81,50.12,50.26,50.76
48,2015-05-08,51.78,51.34,51.35,51.57
49,2015-05-11,51.62,51.25,51.54,51.33
50,2015-05-12,51.14,50.76,51.14,50.79
51,2015-05-13,50.95,50.54,50.65,50.73
52,2015-05-14,51.3,50.98,50.98,51.26
53,2015-05-15,51.51,51.09,51.21,51.51
54,2015-05-18,51.45,51.17,51.29,51.28
55,2015-05-19,51.3,50.88,51.21,51.03
56,2015-05-20,51.17,50.87,51.12,51.0
57,2015-05-21,51.29,50.87,51.02,51.18
58,2015-05-22,51.22,51.03,51.15,51.12
59,2015-05-26,50.87,50.29,50.86,50.48
60,2015-05-27,50.89,50.42,50.48,50.81
61,2015-05-28,50.97,50.63,50.73,50.94
62,2015-05-29,50.93,50.48,50.92,50.61
63,2015-06-01,50.77,50.28,50.73,50.63
64,2015-06-02,51.02,50.45,50.56,50.79
65,2015-06-03,51.15,50.75,50.96,50.84
66,2015-06-04,50.54,50.0,50.54,50.24
67,2015-06-05,50.25,49.8,50.07,50.01
68,2015-06-08,50.11,49.82,50.01,49.83
69,2015-06-09,50.13,49.8,49.8,49.86
70,2015-06-10,50.56,50.13,50.16,50.38
71,2015-06-11,50.6,50.36,50.43,50.5
72,2015-06-12,50.44,50.1,50.42,50.2
73,2015-06-15,50.08,49.63,49.82,49.89
74,2015-06-16,50.18,49.76,49.79,50.15
75,2015-06-17,50.47,49.88,50.25,50.36
76,2015-06-18,50.91,50.51,50.54,50.78
77,2015-06-19,50.64,50.21,50.47,50.21
78,2015-06-22,50.48,50.25,50.48,50.4
79,2015-06-23,50.48,50.16,50.42,50.26
80,2015-06-24,50.18,49.61,50.15,49.62
81,2015-06-25,49.82,49.43,49.64,49.58
82,2015-06-26,49.77,49.32,49.68,49.39
83,2015-06-29,49.17,48.19,49.01,48.24
84,2015-06-30,48.8,48.28,48.66,48.39
85,2015-07-01,48.89,48.53,48.87,48.66
86,2015-07-02,48.84,48.33,48.73,48.51
87,2015-07-06,48.57,47.84,48.11,48.11
