,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,19.94,19.75,19.79,19.93
1,2015-03-03,19.93,19.77,19.87,19.87
2,2015-03-04,19.81,19.68,19.79,19.75
3,2015-03-05,19.87,19.72,19.78,19.83
4,2015-03-06,20.03,19.65,19.9,19.68
5,2015-03-09,19.81,19.69,19.7,19.77
6,2015-03-10,19.61,19.35,19.6,19.35
7,2015-03-11,19.55,19.38,19.41,19.47
8,2015-03-12,19.91,19.61,19.63,19.89
9,2015-03-13,19.89,19.64,19.85,19.76
10,2015-03-16,20.02,19.84,19.84,20.0
11,2015-03-17,20.0,19.81,19.94,19.95
12,2015-03-18,20.13,19.83,19.9,20.06
13,2015-03-19,20.06,19.79,20.06,19.88
14,2015-03-20,20.09,19.84,19.9,20.07
15,2015-03-23,20.13,19.96,20.03,19.96
16,2015-03-24,19.94,19.79,19.94,19.8
17,2015-03-25,19.87,19.48,19.82,19.48
18,2015-03-26,19.55,19.32,19.4,19.46
19,2015-03-27,19.49,19.37,19.46,19.44
20,2015-03-30,19.77,19.58,19.59,19.72
21,2015-03-31,19.68,19.55,19.63,19.59
22,2015-04-01,19.64,19.43,19.54,19.57
23,2015-04-02,19.7,19.52,19.52,19.67
24,2015-04-06,19.75,19.46,19.5,19.7
25,2015-04-07,19.76,19.59,19.74,19.59
26,2015-04-08,19.75,19.61,19.61,19.67
27,2015-04-09,19.72,19.56,19.63,19.7
28,2015-04-10,19.74,19.66,19.71,19.69
29,2015-04-13,19.83,19.64,19.66,19.76
30,2015-04-14,19.81,19.65,19.75,19.76
31,2015-04-15,19.92,19.76,19.81,19.84
32,2015-04-16,19.94,19.72,19.83,19.87
33,2015-04-17,19.77,19.53,19.77,19.6
34,2015-04-20,19.76,19.67,19.68,19.68
35,2015-04-21,19.78,19.57,19.76,19.59
36,2015-04-22,19.77,19.54,19.6,19.72
37,2015-04-23,19.81,19.66,19.69,19.76
38,2015-04-24,19.75,19.65,19.72,19.72
39,2015-04-27,19.83,19.62,19.75,19.65
40,2015-04-28,19.76,19.54,19.62,19.76
41,2015-04-29,19.85,19.57,19.65,19.76
42,2015-04-30,19.81,19.53,19.7,19.6
43,2015-05-01,19.8,19.68,19.71,19.77
44,2015-05-04,19.98,19.82,19.85,19.97
45,2015-05-05,20.02,19.77,19.91,19.79
46,2015-05-06,19.9,19.55,19.87,19.69
47,2015-05-07,19.88,19.61,19.61,19.83
48,2015-05-08,20.11,19.94,19.94,20.11
49,2015-05-11,20.15,20.01,20.11,20.04
50,2015-05-12,20.02,19.81,19.95,19.97
51,2015-05-13,20.05,19.94,19.97,19.98
52,2015-05-14,20.16,20.03,20.07,20.15
53,2015-05-15,20.17,20.0,20.16,20.06
54,2015-05-18,20.19,20.05,20.07,20.18
55,2015-05-19,20.36,20.2,20.22,20.29
56,2015-05-20,20.34,20.2,20.33,20.24
57,2015-05-21,20.24,20.17,20.19,20.19
58,2015-05-22,20.24,20.15,20.15,20.19
59,2015-05-26,20.16,19.95,20.16,19.97
60,2015-05-27,20.21,20.0,20.02,20.19
61,2015-05-28,20.18,20.04,20.14,20.16
62,2015-05-29,20.16,19.94,20.16,19.98
63,2015-06-01,20.11,19.94,20.09,20.0
64,2015-06-02,20.11,19.9,19.98,20.03
65,2015-06-03,20.26,20.06,20.11,20.2
66,2015-06-04,20.19,19.99,20.15,20.02
67,2015-06-05,20.27,20.08,20.17,20.14
68,2015-06-08,20.19,20.01,20.17,20.02
69,2015-06-09,20.15,19.95,20.03,20.06
70,2015-06-10,20.42,20.15,20.18,20.35
71,2015-06-11,20.47,20.36,20.44,20.43
72,2015-06-12,20.42,20.28,20.38,20.34
73,2015-06-15,20.32,20.12,20.21,20.25
74,2015-06-16,20.38,20.19,20.26,20.37
75,2015-06-17,20.45,20.29,20.43,20.34
76,2015-06-18,20.56,20.34,20.43,20.53
77,2015-06-19,20.41,20.1,20.38,20.1
78,2015-06-22,20.49,20.38,20.39,20.41
79,2015-06-23,20.51,20.41,20.46,20.45
80,2015-06-24,20.45,20.28,20.41,20.28
81,2015-06-25,20.34,20.14,20.33,20.15
82,2015-06-26,20.28,20.16,20.24,20.22
83,2015-06-29,20.09,19.72,20.0,19.73
84,2015-06-30,19.98,19.74,19.93,19.81
85,2015-07-01,20.15,19.98,20.11,20.11
86,2015-07-02,20.15,19.94,20.1,20.02
87,2015-07-06,19.98,19.76,19.79,19.94
88,2015-07-07,19.99,19.6,19.9,19.98
89,2015-07-08,19.84,19.59,19.71,19.63
90,2015-07-09,19.94,19.74,19.9,19.78
91,2015-07-10,20.06,19.93,20.06,20.02
92,2015-07-13,20.26,20.15,20.19,20.26
93,2015-07-14,20.35,20.15,20.19,20.31
94,2015-07-15,20.51,20.33,20.41,20.48
95,2015-07-16,20.68,20.61,20.63,20.68
96,2015-07-17,20.69,20.54,20.67,20.63
97,2015-07-20,20.71,20.59,20.68,20.65
98,2015-07-21,20.74,20.58,20.66,20.63
99,2015-07-22,20.8,20.61,20.63,20.78
100,2015-07-23,20.81,20.56,20.8,20.6
101,2015-07-24,20.59,20.37,20.58,20.41
102,2015-07-27,20.32,20.19,20.27,20.26
103,2015-07-28,20.42,20.21,20.42,20.34
104,2015-07-29,20.55,20.36,20.41,20.54
105,2015-07-30,20.56,20.43,20.51,20.54
106,2015-07-31,20.57,20.42,20.52,20.48
107,2015-08-03,20.5,20.32,20.48,20.45
108,2015-08-04,20.53,20.39,20.47,20.42
109,2015-08-05,20.63,20.45,20.56,20.5
110,2015-08-06,20.55,20.36,20.52,20.43
111,2015-08-07,20.5,20.3,20.41,20.47
112,2015-08-10,20.67,20.55,20.61,20.67
113,2015-08-11,20.54,20.4,20.47,20.48
114,2015-08-12,20.32,19.98,20.31,20.29
115,2015-08-13,20.44,20.21,20.34,20.37
116,2015-08-14,20.51,20.33,20.34,20.51
117,2015-08-17,20.56,20.35,20.42,20.55
118,2015-08-18,20.58,20.49,20.53,20.54
119,2015-08-19,20.53,20.28,20.48,20.35
120,2015-08-20,20.16,19.92,20.14,19.92
121,2015-08-21,19.81,19.2,19.67,19.2
122,2015-08-24,19.03,15.04,18.03,18.38
123,2015-08-25,19.07,18.07,19.06,18.14
124,2015-08-26,18.82,18.22,18.56,18.82
125,2015-08-27,19.33,18.91,19.07,19.29
126,2015-08-28,19.26,19.07,19.21,19.2
127,2015-08-31,19.16,19.02,19.07,19.03
128,2015-09-01,18.72,18.28,18.63,18.42
129,2015-09-02,18.72,18.42,18.66,18.67
130,2015-09-03,18.97,18.69,18.72,18.77
131,2015-09-04,18.56,18.28,18.51,18.4
132,2015-09-08,18.89,18.63,18.76,18.87
133,2015-09-09,19.12,18.57,19.04,18.61
134,2015-09-10,18.84,18.54,18.59,18.7
135,2015-09-11,18.78,18.57,18.61,18.78
136,2015-09-14,18.8,18.67,18.74,18.74
137,2015-09-15,19.07,18.74,18.81,19.01
138,2015-09-16,19.16,18.93,19.03,19.13
139,2015-09-17,19.24,18.82,19.11,18.86
140,2015-09-18,18.6,18.38,18.51,18.41
141,2015-09-21,18.69,18.5,18.53,18.62
142,2015-09-22,18.45,18.25,18.34,18.38
143,2015-09-23,18.46,18.29,18.39,18.39
144,2015-09-24,18.29,18.1,18.18,18.26
145,2015-09-25,18.65,18.44,18.52,18.53
146,2015-09-28,18.43,18.04,18.4,18.1
147,2015-09-29,18.19,17.97,18.12,18.13
148,2015-09-30,18.41,18.19,18.38,18.41
149,2015-10-01,18.49,18.22,18.4,18.42
150,2015-10-02,18.44,17.86,18.02,18.44
151,2015-10-05,18.85,18.56,18.57,18.83
152,2015-10-06,18.85,18.71,18.79,18.74
153,2015-10-07,18.99,18.75,18.86,18.89
154,2015-10-08,19.02,18.77,18.81,19.0
155,2015-10-09,19.06,18.8,19.04,18.88
156,2015-10-12,18.93,18.82,18.87,18.9
157,2015-10-13,18.95,18.75,18.83,18.75
158,2015-10-14,18.79,18.57,18.76,18.59
159,2015-10-15,19.04,18.68,18.7,19.02
160,2015-10-16,19.16,19.03,19.07,19.13
161,2015-10-19,19.16,19.0,19.01,19.11
162,2015-10-20,19.25,19.1,19.11,19.23
163,2015-10-21,19.32,19.06,19.25,19.09
164,2015-10-22,19.47,19.12,19.13,19.4
165,2015-10-23,19.62,19.46,19.55,19.61
166,2015-10-26,19.61,19.46,19.61,19.53
167,2015-10-27,19.46,19.35,19.43,19.42
168,2015-10-28,19.9,19.46,19.46,19.87
169,2015-10-29,19.94,19.75,19.86,19.85
170,2015-10-30,19.81,19.54,19.8,19.56
171,2015-11-02,19.91,19.6,19.61,19.83
172,2015-11-03,19.93,19.73,19.82,19.86
173,2015-11-04,19.91,19.75,19.86,19.81
174,2015-11-05,19.92,19.77,19.81,19.89
175,2015-11-06,20.28,20.02,20.26,20.09
176,2015-11-09,20.16,19.76,20.11,19.87
177,2015-11-10,19.97,19.79,19.82,19.96
178,2015-11-11,20.05,19.88,20.05,19.89
179,2015-11-12,19.85,19.59,19.85,19.59
180,2015-11-13,19.63,19.37,19.5,19.43
181,2015-11-16,19.67,19.33,19.37,19.67
182,2015-11-17,19.81,19.59,19.75,19.63
183,2015-11-18,20.0,19.68,19.74,19.98
184,2015-11-19,20.05,19.91,19.98,20.01
185,2015-11-20,20.12,19.98,20.06,20.04
186,2015-11-23,20.1,19.94,20.03,19.96
187,2015-11-24,19.97,19.73,19.84,19.9
188,2015-11-25,19.96,19.86,19.91,19.92
189,2015-11-27,19.99,19.85,19.95,19.97
190,2015-11-30,20.03,19.92,20.03,19.95
191,2015-12-01,20.18,19.98,20.02,20.17
192,2015-12-02,20.22,19.89,20.22,19.94
193,2015-12-03,20.05,19.55,20.05,19.61
194,2015-12-04,20.16,19.68,19.73,20.13
195,2015-12-07,20.12,19.85,20.11,19.94
196,2015-12-08,19.87,19.64,19.72,19.69
197,2015-12-09,19.82,19.35,19.6,19.46
198,2015-12-10,19.67,19.39,19.46,19.48
199,2015-12-11,19.31,18.94,19.19,19.05
200,2015-12-14,19.22,18.88,19.07,19.09
201,2015-12-15,19.64,19.27,19.29,19.54
202,2015-12-16,19.92,19.53,19.72,19.85
203,2015-12-17,19.93,19.55,19.93,19.57
204,2015-12-18,19.33,18.93,19.31,18.93
205,2015-12-21,19.18,18.94,19.08,19.11
206,2015-12-22,19.33,19.06,19.23,19.29
207,2015-12-23,19.55,19.36,19.42,19.52
208,2015-12-24,19.61,19.46,19.55,19.5
209,2015-12-28,19.5,19.33,19.42,19.49
210,2015-12-29,19.72,19.59,19.65,19.69
211,2015-12-30,19.68,19.52,19.65,19.55
212,2015-12-31,19.59,19.32,19.36,19.36
213,2016-01-04,19.0,18.77,18.96,18.98
214,2016-01-05,19.11,18.89,19.02,19.06
215,2016-01-06,18.88,18.67,18.78,18.77
216,2016-01-07,18.55,18.16,18.38,18.24
217,2016-01-08,18.42,17.91,18.4,17.95
218,2016-01-11,18.08,17.8,18.05,17.98
219,2016-01-12,18.2,17.88,18.16,18.12
220,2016-01-13,18.27,17.56,18.19,17.64
221,2016-01-14,17.94,17.51,17.68,17.8
222,2016-01-15,17.48,17.16,17.2,17.4
223,2016-01-19,17.65,17.27,17.59,17.39
224,2016-01-20,17.21,16.68,17.03,17.05
225,2016-01-21,17.29,16.92,17.07,16.98
226,2016-01-22,17.36,17.16,17.2,17.29
227,2016-01-25,17.28,16.9,17.21,16.94
228,2016-01-26,17.27,16.98,17.0,17.22
229,2016-01-27,17.46,17.03,17.16,17.16
230,2016-01-28,17.34,17.05,17.26,17.16
231,2016-01-29,17.65,17.23,17.29,17.64
232,2016-02-01,17.66,17.44,17.56,17.57
233,2016-02-02,17.34,17.04,17.32,17.08
234,2016-02-03,17.18,16.61,17.18,17.1
235,2016-02-04,17.37,16.99,16.99,17.25
236,2016-02-05,17.35,16.97,17.26,17.02
237,2016-02-08,16.83,16.36,16.77,16.59
238,2016-02-09,16.68,16.26,16.26,16.56
239,2016-02-10,16.88,16.47,16.69,16.47
240,2016-02-11,16.15,15.87,16.04,15.97
241,2016-02-12,16.65,16.28,16.35,16.65
242,2016-02-16,16.99,16.76,16.93,16.91
243,2016-02-17,17.22,17.08,17.08,17.14
244,2016-02-18,17.21,16.96,17.21,17.04
245,2016-02-19,17.12,16.88,16.9,17.04
246,2016-02-22,17.38,17.25,17.25,17.31
247,2016-02-23,17.25,16.97,17.22,17.0
248,2016-02-24,17.01,16.61,16.76,16.96
249,2016-02-25,17.21,16.96,16.96,17.2
250,2016-02-26,17.47,17.22,17.31,17.32
251,2016-02-29,17.39,17.12,17.3,17.13
252,2016-03-01,17.74,17.25,17.25,17.71
253,2016-03-02,17.91,17.7,17.73,17.9
254,2016-03-03,18.03,17.81,17.89,18.03
255,2016-03-04,18.19,17.96,18.12,18.1
256,2016-03-07,18.12,17.92,17.98,18.09
257,2016-03-08,18.0,17.77,17.93,17.8
258,2016-03-09,17.91,17.76,17.86,17.82
259,2016-03-10,18.02,17.6,17.94,17.81
260,2016-03-11,18.29,17.99,17.99,18.27
261,2016-03-14,18.26,18.1,18.21,18.21
262,2016-03-15,18.2,18.03,18.09,18.2
263,2016-03-16,18.28,18.03,18.11,18.16
264,2016-03-17,18.44,18.03,18.16,18.38
265,2016-03-18,18.54,18.37,18.42,18.46
266,2016-03-21,18.55,18.36,18.41,18.43
267,2016-03-22,18.45,18.26,18.3,18.38
268,2016-03-23,18.38,18.23,18.34,18.24
269,2016-03-24,18.12,17.95,18.07,18.12
270,2016-03-28,18.24,18.09,18.15,18.18
271,2016-03-29,18.22,18.0,18.11,18.21
272,2016-03-30,18.46,18.29,18.31,18.32
273,2016-03-31,18.39,18.24,18.27,18.28
274,2016-04-01,18.46,18.12,18.19,18.44
275,2016-04-04,18.46,18.31,18.42,18.35
276,2016-04-05,18.21,18.06,18.18,18.09
277,2016-04-06,18.2,18.0,18.06,18.19
278,2016-04-07,18.07,17.75,18.06,17.85
279,2016-04-08,18.09,17.88,17.97,17.91
280,2016-04-11,18.14,17.97,17.99,17.99
281,2016-04-12,18.25,17.97,18.01,18.21
282,2016-04-13,18.64,18.38,18.4,18.63
283,2016-04-14,18.77,18.54,18.54,18.67
284,2016-04-15,18.74,18.57,18.72,18.6
285,2016-04-18,18.76,18.5,18.51,18.74
286,2016-04-19,18.98,18.8,18.8,18.98
287,2016-04-20,19.16,18.96,18.97,19.12
288,2016-04-21,19.2,18.9,19.11,18.95
289,2016-04-22,19.17,18.97,18.97,19.13
290,2016-04-25,19.11,18.95,19.05,19.09
291,2016-04-26,19.24,19.08,19.11,19.21
292,2016-04-27,19.31,19.13,19.2,19.24
293,2016-04-28,19.24,18.98,19.08,19.04
294,2016-04-29,19.01,18.77,18.94,18.94
295,2016-05-02,19.13,18.91,18.95,19.11
296,2016-05-03,18.9,18.7,18.89,18.86
297,2016-05-04,18.81,18.63,18.64,18.72
298,2016-05-05,18.83,18.66,18.76,18.71
299,2016-05-06,18.8,18.57,18.57,18.79
300,2016-05-09,18.85,18.67,18.76,18.74
301,2016-05-10,19.02,18.82,18.83,19.01
302,2016-05-11,19.0,18.79,18.95,18.81
303,2016-05-12,18.95,18.7,18.87,18.81
304,2016-05-13,18.9,18.55,18.77,18.59
305,2016-05-16,18.77,18.57,18.59,18.68
306,2016-05-17,18.72,18.5,18.64,18.58
307,2016-05-18,18.92,18.52,18.52,18.9
308,2016-05-19,18.9,18.61,18.81,18.72
309,2016-05-20,18.96,18.79,18.82,18.85
310,2016-05-23,18.9,18.76,18.81,18.84
311,2016-05-24,19.16,18.94,18.97,19.12
312,2016-05-25,19.42,19.2,19.2,19.33
313,2016-05-26,19.36,19.19,19.33,19.21
314,2016-05-27,19.35,19.22,19.24,19.34
315,2016-05-31,19.44,19.23,19.44,19.29
316,2016-06-01,19.36,19.07,19.16,19.33
317,2016-06-02,19.37,19.22,19.29,19.37
318,2016-06-03,19.16,18.9,19.14,19.1
319,2016-06-06,19.3,19.09,19.11,19.21
320,2016-06-07,19.29,19.16,19.23,19.17
321,2016-06-08,19.24,19.14,19.14,19.19
322,2016-06-09,19.11,18.95,19.07,19.05
