,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,50.14,49.94,50.05,50.1
1,2015-03-03,50.11,49.69,50.1,49.91
2,2015-03-04,49.83,49.44,49.81,49.56
3,2015-03-05,49.81,49.57,49.69,49.73
4,2015-03-06,49.47,48.65,49.37,48.76
5,2015-03-09,49.12,48.8,48.95,49.03
6,2015-03-10,48.77,48.32,48.74,48.33
7,2015-03-11,48.4,47.91,48.4,47.96
8,2015-03-12,48.66,48.13,48.18,48.66
9,2015-03-13,48.58,47.99,48.56,48.28
10,2015-03-16,48.88,48.43,48.43,48.87
11,2015-03-17,48.74,48.38,48.7,48.52
12,2015-03-18,49.05,47.84,48.4,48.85
13,2015-03-19,48.85,48.54,48.74,48.63
14,2015-03-20,48.95,48.5,48.57,48.94
15,2015-03-23,49.27,48.85,48.89,49.02
16,2015-03-24,49.27,48.74,49.14,48.74
17,2015-03-25,49.36,48.62,49.29,48.62
18,2015-03-26,48.68,48.3,48.38,48.41
19,2015-03-27,48.77,48.4,48.42,48.71
20,2015-03-30,49.24,48.62,48.81,49.2
21,2015-03-31,49.2,48.74,49.0,48.74
22,2015-04-01,48.81,48.33,48.72,48.8
23,2015-04-02,49.22,48.75,48.82,49.13
24,2015-04-06,49.73,48.92,49.05,49.52
25,2015-04-07,49.7,49.29,49.6,49.29
26,2015-04-08,49.5,49.15,49.3,49.37
27,2015-04-09,49.6,49.19,49.37,49.51
28,2015-04-10,49.77,49.47,49.64,49.6
29,2015-04-13,49.66,49.36,49.47,49.37
30,2015-04-14,49.56,49.17,49.28,49.48
31,2015-04-15,49.75,49.31,49.55,49.34
32,2015-04-16,49.71,49.36,49.4,49.52
33,2015-04-17,49.32,48.79,49.29,49.06
34,2015-04-20,49.52,49.14,49.14,49.23
35,2015-04-21,49.55,49.24,49.3,49.32
36,2015-04-22,49.45,49.07,49.36,49.35
37,2015-04-23,49.42,49.06,49.07,49.18
38,2015-04-24,49.32,49.13,49.32,49.19
39,2015-04-27,49.28,48.89,49.26,48.92
40,2015-04-28,49.03,48.71,48.92,48.97
41,2015-04-29,48.91,48.46,48.81,48.53
42,2015-04-30,48.6,48.18,48.41,48.37
43,2015-05-01,48.83,48.41,48.55,48.81
44,2015-05-04,49.01,48.8,48.81,48.88
45,2015-05-05,48.92,48.42,48.86,48.49
46,2015-05-06,48.76,48.34,48.59,48.64
47,2015-05-07,48.86,48.37,48.48,48.76
48,2015-05-08,49.36,49.01,49.01,49.17
49,2015-05-11,49.33,48.95,49.03,48.97
50,2015-05-12,49.02,48.51,48.51,48.86
51,2015-05-13,49.19,48.78,48.85,48.84
52,2015-05-14,49.61,49.04,49.04,49.59
53,2015-05-15,49.75,49.55,49.6,49.75
54,2015-05-18,49.72,49.51,49.7,49.59
55,2015-05-19,49.62,49.3,49.62,49.46
56,2015-05-20,49.59,49.35,49.39,49.35
57,2015-05-21,49.52,49.19,49.36,49.46
58,2015-05-22,49.4,49.22,49.23,49.25
59,2015-05-26,49.21,48.76,49.19,48.86
60,2015-05-27,49.25,48.92,48.96,49.17
61,2015-05-28,49.17,48.89,49.12,49.1
62,2015-05-29,49.07,48.7,49.02,48.79
63,2015-06-01,48.99,48.62,48.89,48.79
64,2015-06-02,48.77,48.42,48.65,48.66
65,2015-06-03,48.86,48.56,48.72,48.63
66,2015-06-04,48.66,48.18,48.54,48.28
67,2015-06-05,48.27,47.56,48.15,47.59
68,2015-06-08,47.74,47.46,47.56,47.57
69,2015-06-09,47.98,47.55,47.63,47.8
70,2015-06-10,48.37,47.92,47.92,48.27
71,2015-06-11,48.47,48.2,48.31,48.25
72,2015-06-12,48.17,47.89,48.13,48.06
73,2015-06-15,47.96,47.68,47.87,47.71
74,2015-06-16,48.26,47.77,47.84,48.23
75,2015-06-17,48.57,48.12,48.38,48.49
76,2015-06-18,49.22,48.6,48.64,49.03
77,2015-06-19,48.91,48.66,48.76,48.66
78,2015-06-22,49.05,48.8,48.93,48.85
79,2015-06-23,48.88,48.54,48.87,48.64
80,2015-06-24,48.7,48.42,48.62,48.42
81,2015-06-25,48.61,48.33,48.61,48.33
82,2015-06-26,48.6,48.34,48.4,48.43
83,2015-06-29,48.27,47.66,48.18,47.68
84,2015-06-30,48.18,47.59,48.18,47.6
85,2015-07-01,48.21,47.72,47.92,48.21
86,2015-07-02,48.43,48.03,48.24,48.17
87,2015-07-06,48.31,47.8,47.85,48.13
88,2015-07-07,49.16,48.1,48.26,49.12
89,2015-07-08,48.93,48.54,48.7,48.57
90,2015-07-09,49.25,48.61,49.16,48.61
91,2015-07-10,49.3,49.01,49.06,49.18
92,2015-07-13,49.66,49.41,49.41,49.64
93,2015-07-14,49.74,49.56,49.65,49.72
94,2015-07-15,49.73,49.49,49.71,49.59
95,2015-07-16,50.17,49.78,49.84,50.1
96,2015-07-17,50.08,49.78,49.98,50.07
97,2015-07-20,50.22,49.96,50.1,50.16
98,2015-07-21,50.19,49.9,50.04,50.04
99,2015-07-22,50.33,50.01,50.04,50.15
100,2015-07-23,50.26,49.89,50.26,49.96
101,2015-07-24,50.08,49.62,50.08,49.68
102,2015-07-27,49.73,49.33,49.48,49.65
103,2015-07-28,50.22,49.73,49.87,50.21
104,2015-07-29,50.49,50.16,50.26,50.38
105,2015-07-30,50.28,49.88,50.14,50.21
106,2015-07-31,50.42,50.24,50.38,50.31
107,2015-08-03,50.43,50.16,50.3,50.38
108,2015-08-04,50.45,50.11,50.35,50.38
109,2015-08-05,50.89,50.52,50.54,50.82
110,2015-08-06,50.95,50.37,50.95,50.44
111,2015-08-07,50.5,49.94,50.36,50.16
112,2015-08-10,50.51,50.26,50.3,50.35
113,2015-08-11,50.28,50.0,50.02,50.17
114,2015-08-12,50.23,49.51,49.85,50.2
115,2015-08-13,50.28,49.94,50.15,50.0
116,2015-08-14,50.17,49.87,49.99,50.16
117,2015-08-17,50.23,49.82,50.0,50.21
118,2015-08-18,50.17,49.9,50.03,49.96
119,2015-08-19,49.87,49.26,49.85,49.5
120,2015-08-20,49.49,48.95,49.16,49.05
121,2015-08-21,48.78,47.71,48.67,47.71
122,2015-08-24,47.1,43.72,45.4,46.05
123,2015-08-25,47.71,45.65,47.71,45.7
124,2015-08-26,47.13,45.75,46.61,47.05
125,2015-08-27,47.89,46.87,47.43,47.74
126,2015-08-28,47.69,47.35,47.61,47.64
127,2015-08-31,47.52,47.18,47.52,47.31
128,2015-09-01,46.85,46.05,46.37,46.34
129,2015-09-02,46.98,46.52,46.74,46.97
130,2015-09-03,47.58,47.06,47.16,47.29
131,2015-09-04,46.79,46.34,46.67,46.52
132,2015-09-08,47.54,46.94,47.27,47.49
133,2015-09-09,47.94,46.59,47.93,46.71
134,2015-09-10,47.12,46.47,46.49,46.79
135,2015-09-11,47.11,46.57,46.74,47.1
136,2015-09-14,47.17,46.76,47.08,46.95
137,2015-09-15,47.6,46.82,47.01,47.51
138,2015-09-16,48.11,47.67,47.94,48.05
139,2015-09-17,48.62,47.91,48.01,48.05
140,2015-09-18,47.71,47.0,47.19,47.19
141,2015-09-21,47.67,47.3,47.31,47.54
142,2015-09-22,47.14,46.77,47.06,47.02
143,2015-09-23,47.18,46.86,47.01,47.1
144,2015-09-24,47.25,46.73,46.75,47.18
145,2015-09-25,47.96,47.3,47.45,47.48
146,2015-09-28,47.46,46.69,47.36,46.78
147,2015-09-29,46.93,46.48,46.91,46.76
148,2015-09-30,47.35,46.87,46.95,47.19
149,2015-10-01,47.33,46.84,47.22,47.19
150,2015-10-02,47.86,46.69,46.93,47.84
151,2015-10-05,48.72,48.04,48.19,48.66
152,2015-10-06,48.73,48.31,48.56,48.33
153,2015-10-07,48.86,48.4,48.56,48.77
154,2015-10-08,49.37,48.61,48.7,49.35
155,2015-10-09,49.61,49.3,49.44,49.46
156,2015-10-12,49.7,49.43,49.48,49.59
157,2015-10-13,49.57,49.22,49.5,49.29
158,2015-10-14,49.4,48.61,49.2,48.72
159,2015-10-15,49.19,48.82,49.02,49.16
160,2015-10-16,49.68,49.19,49.2,49.63
161,2015-10-19,49.86,49.48,49.63,49.85
162,2015-10-20,49.91,49.74,49.84,49.82
163,2015-10-21,50.17,49.73,49.73,49.83
164,2015-10-22,50.89,49.95,50.03,50.82
165,2015-10-23,51.13,50.46,51.0,50.74
166,2015-10-26,50.84,50.56,50.74,50.64
167,2015-10-27,50.71,50.32,50.48,50.71
168,2015-10-28,50.73,49.88,50.72,50.42
169,2015-10-29,50.55,50.16,50.4,50.44
170,2015-10-30,50.28,49.87,50.28,49.88
171,2015-11-02,50.19,49.84,49.91,50.18
172,2015-11-03,50.07,49.59,49.89,49.94
173,2015-11-04,50.09,49.54,50.0,49.73
174,2015-11-05,49.8,49.44,49.68,49.72
175,2015-11-06,49.58,48.82,49.49,49.18
176,2015-11-09,49.02,48.58,48.94,48.85
177,2015-11-10,49.06,48.8,48.8,48.98
178,2015-11-11,49.22,48.9,48.9,48.91
179,2015-11-12,48.84,48.25,48.79,48.25
180,2015-11-13,48.33,47.79,48.11,47.83
181,2015-11-16,48.66,47.67,47.67,48.65
182,2015-11-17,49.03,48.49,48.78,48.63
183,2015-11-18,49.33,48.7,48.77,49.3
184,2015-11-19,49.65,49.32,49.33,49.43
185,2015-11-20,49.88,49.04,49.65,49.08
186,2015-11-23,49.6,49.09,49.09,49.51
187,2015-11-24,49.77,49.17,49.39,49.64
188,2015-11-25,49.89,49.6,49.64,49.77
189,2015-11-27,50.07,49.75,49.75,49.96
190,2015-11-30,50.07,49.41,49.97,49.42
191,2015-12-01,49.87,49.52,49.52,49.84
192,2015-12-02,49.91,49.52,49.77,49.59
193,2015-12-03,49.95,49.14,49.77,49.33
194,2015-12-04,50.48,49.26,49.46,50.44
195,2015-12-07,50.74,50.38,50.63,50.58
196,2015-12-08,50.56,50.15,50.26,50.45
197,2015-12-09,50.71,49.77,50.17,49.97
198,2015-12-10,50.35,49.88,50.08,50.03
199,2015-12-11,49.83,49.34,49.53,49.48
200,2015-12-14,50.01,49.29,49.48,49.97
201,2015-12-15,50.53,50.1,50.36,50.29
202,2015-12-16,51.37,50.5,50.51,51.26
203,2015-12-17,51.26,50.59,51.26,50.6
204,2015-12-18,50.18,49.34,50.18,49.34
205,2015-12-21,49.91,49.47,49.67,49.9
206,2015-12-22,50.61,49.87,49.98,50.55
207,2015-12-23,50.99,50.68,50.77,50.92
208,2015-12-24,51.02,50.81,50.81,50.87
209,2015-12-28,50.81,50.6,50.65,50.8
210,2015-12-29,51.29,50.91,51.13,51.24
