,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,45.2,44.05,45.2,44.36
1,2015-03-03,44.68,44.06,44.33,44.63
2,2015-03-04,44.53,44.23,44.53,44.38
3,2015-03-05,44.93,44.49,44.49,44.73
4,2015-03-06,44.12,43.22,44.01,43.39
5,2015-03-09,43.69,43.38,43.5,43.47
6,2015-03-10,43.91,43.27,43.35,43.39
7,2015-03-11,43.64,43.01,43.24,43.11
8,2015-03-12,44.11,43.34,43.4,43.93
9,2015-03-13,43.87,43.08,43.87,43.48
10,2015-03-16,44.55,43.73,43.8,44.23
11,2015-03-17,44.42,44.01,44.11,44.16
12,2015-03-18,45.63,44.02,44.15,45.35
13,2015-03-19,45.65,44.81,45.1,44.93
14,2015-03-20,45.11,44.51,44.94,44.98
15,2015-03-23,45.22,44.85,44.95,45.01
16,2015-03-24,45.22,44.4,44.99,44.51
17,2015-03-25,44.81,43.95,44.61,43.99
18,2015-03-26,44.17,43.49,43.88,43.62
19,2015-03-27,44.14,43.57,43.7,43.88
20,2015-03-30,44.59,43.87,44.12,44.42
21,2015-03-31,44.84,44.1,44.29,44.43
22,2015-04-01,44.59,43.77,44.3,44.47
23,2015-04-02,44.75,44.35,44.4,44.55
24,2015-04-06,45.44,44.69,44.74,45.17
25,2015-04-07,45.18,44.62,45.16,44.65
26,2015-04-08,44.71,44.29,44.65,44.52
27,2015-04-09,44.52,44.06,44.5,44.33
28,2015-04-10,44.84,44.29,44.49,44.66
29,2015-04-13,44.66,44.18,44.57,44.22
30,2015-04-14,44.59,44.2,44.33,44.44
31,2015-04-15,44.94,44.49,44.56,44.55
32,2015-04-16,44.45,43.89,44.4,44.26
33,2015-04-17,44.46,43.95,44.07,44.1
34,2015-04-20,45.11,44.25,44.28,44.76
35,2015-04-21,45.1,44.2,44.76,44.36
36,2015-04-22,44.57,44.17,44.49,44.45
37,2015-04-23,44.92,44.3,44.3,44.7
38,2015-04-24,45.46,44.59,44.7,45.15
39,2015-04-27,45.34,44.47,45.27,44.61
40,2015-04-28,44.94,44.26,44.42,44.93
41,2015-04-29,44.89,44.37,44.6,44.74
42,2015-04-30,44.65,43.88,44.64,44.22
43,2015-05-01,44.49,43.94,44.12,44.47
44,2015-05-04,45.14,44.41,44.48,44.8
45,2015-05-05,44.73,43.68,44.73,43.8
46,2015-05-06,44.0,43.13,43.79,43.56
47,2015-05-07,44.02,43.6,43.71,43.72
48,2015-05-08,44.52,43.85,44.28,44.03
49,2015-05-11,44.39,43.69,44.02,43.73
50,2015-05-12,43.73,43.24,43.5,43.68
51,2015-05-13,43.97,43.1,43.83,43.25
52,2015-05-14,43.87,43.43,43.47,43.75
53,2015-05-15,44.41,43.8,43.87,44.32
54,2015-05-18,44.57,44.1,44.1,44.49
55,2015-05-19,44.7,44.14,44.29,44.59
56,2015-05-20,44.98,44.49,44.59,44.66
57,2015-05-21,44.82,44.43,44.77,44.64
58,2015-05-22,44.7,44.29,44.48,44.57
59,2015-05-26,44.55,44.0,44.5,44.29
60,2015-05-27,44.55,44.24,44.33,44.47
61,2015-05-28,44.68,44.29,44.45,44.57
62,2015-05-29,44.7,44.33,44.48,44.5
63,2015-06-01,44.83,44.42,44.62,44.56
64,2015-06-02,44.36,43.66,44.32,43.97
65,2015-06-03,43.98,43.08,43.8,43.32
66,2015-06-04,43.56,43.18,43.37,43.26
67,2015-06-05,42.9,42.55,42.7,42.72
68,2015-06-08,42.76,42.44,42.76,42.47
69,2015-06-09,42.63,42.37,42.4,42.37
70,2015-06-10,42.9,42.57,42.75,42.58
71,2015-06-11,43.01,42.74,42.93,42.92
72,2015-06-12,42.88,42.53,42.74,42.54
73,2015-06-15,42.67,42.29,42.42,42.47
74,2015-06-16,42.67,42.21,42.39,42.67
75,2015-06-17,43.1,42.56,42.69,43.03
76,2015-06-18,43.71,43.08,43.08,43.6
77,2015-06-19,43.32,42.77,43.29,42.79
78,2015-06-22,42.96,42.63,42.86,42.73
79,2015-06-23,42.66,42.09,42.57,42.15
80,2015-06-24,42.29,41.8,42.2,41.82
81,2015-06-25,41.95,41.53,41.85,41.54
82,2015-06-26,41.86,41.31,41.45,41.79
83,2015-06-29,42.26,41.54,41.72,41.57
84,2015-06-30,41.81,41.37,41.77,41.46
85,2015-07-01,41.72,41.4,41.51,41.71
86,2015-07-02,42.36,41.9,41.99,42.23
87,2015-07-06,42.51,42.02,42.17,42.4
88,2015-07-07,43.62,42.54,42.54,43.45
89,2015-07-08,43.57,43.14,43.3,43.22
90,2015-07-09,43.45,42.6,43.35,42.74
91,2015-07-10,43.28,42.62,42.76,42.97
92,2015-07-13,43.27,42.73,43.09,42.99
93,2015-07-14,43.23,42.8,42.94,42.93
94,2015-07-15,43.15,42.7,42.88,43.14
95,2015-07-16,43.85,43.08,43.14,43.78
96,2015-07-17,43.84,43.33,43.78,43.35
97,2015-07-20,43.37,42.91,43.17,43.13
98,2015-07-21,43.15,42.56,43.05,42.74
99,2015-07-22,43.15,42.7,42.81,42.93
100,2015-07-23,42.92,42.08,42.89,42.29
101,2015-07-24,42.48,42.18,42.31,42.33
102,2015-07-27,43.06,42.21,42.33,42.87
103,2015-07-28,43.11,42.71,42.87,43.07
104,2015-07-29,43.27,42.75,43.07,43.23
105,2015-07-30,43.69,43.01,43.19,43.55
106,2015-07-31,44.34,43.9,43.95,43.99
107,2015-08-03,44.47,44.0,44.05,44.22
108,2015-08-04,44.17,43.42,44.11,43.51
109,2015-08-05,43.93,43.49,43.68,43.62
110,2015-08-06,43.89,43.23,43.73,43.85
111,2015-08-07,44.58,43.58,43.81,44.39
112,2015-08-10,44.61,44.12,44.4,44.21
113,2015-08-11,44.77,44.1,44.38,44.43
114,2015-08-12,45.3,44.28,44.38,45.22
115,2015-08-13,45.36,44.7,45.04,45.23
116,2015-08-14,45.6,44.95,45.05,45.57
117,2015-08-17,45.99,45.49,45.72,45.79
118,2015-08-18,45.76,45.49,45.64,45.68
119,2015-08-19,46.01,45.33,45.57,45.87
120,2015-08-20,46.14,45.44,45.68,45.6
121,2015-08-21,45.65,45.02,45.45,45.05
122,2015-08-24,44.57,43.15,44.16,43.36
123,2015-08-25,44.18,41.99,43.9,42.03
124,2015-08-26,42.88,41.97,42.32,42.78
125,2015-08-27,43.3,42.69,43.02,43.28
126,2015-08-28,43.35,42.56,43.22,43.15
127,2015-08-31,43.09,42.11,43.09,42.46
128,2015-09-01,42.08,41.08,42.0,41.31
129,2015-09-02,41.73,40.99,41.6,41.34
