,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,76.91,76.0,76.02,76.88
1,2015-03-03,76.75,76.14,76.73,76.67
2,2015-03-04,76.62,75.95,76.62,76.27
3,2015-03-05,76.52,76.18,76.51,76.32
4,2015-03-06,76.17,75.26,76.06,75.41
5,2015-03-09,75.93,75.41,75.47,75.84
6,2015-03-10,75.31,74.64,75.24,74.66
7,2015-03-11,74.86,74.23,74.79,74.25
8,2015-03-12,75.81,74.54,74.54,75.76
9,2015-03-13,75.74,74.77,75.65,75.16
10,2015-03-16,76.08,75.44,75.44,76.04
11,2015-03-17,75.84,75.36,75.54,75.62
12,2015-03-18,76.53,74.92,75.48,76.29
13,2015-03-19,76.91,75.9,76.32,76.18
14,2015-03-20,76.93,76.27,76.43,76.77
15,2015-03-23,77.13,76.63,76.72,76.64
16,2015-03-24,76.75,76.22,76.61,76.24
17,2015-03-25,76.31,75.0,76.12,75.0
18,2015-03-26,74.98,74.23,74.57,74.53
19,2015-03-27,75.06,74.42,74.42,74.91
20,2015-03-30,75.9,75.16,75.16,75.68
21,2015-03-31,76.15,75.13,75.57,75.35
22,2015-04-01,75.38,74.53,75.18,75.02
23,2015-04-02,75.81,74.87,74.95,75.69
24,2015-04-06,76.36,75.16,75.25,76.05
25,2015-04-07,76.19,75.63,76.05,75.63
26,2015-04-08,76.35,75.76,75.82,76.34
27,2015-04-09,76.64,75.86,76.33,76.41
28,2015-04-10,76.75,76.4,76.51,76.67
29,2015-04-13,76.83,76.23,76.6,76.25
30,2015-04-14,76.45,75.74,76.0,76.21
31,2015-04-15,76.64,76.17,76.4,76.21
32,2015-04-16,76.53,76.18,76.38,76.36
33,2015-04-17,75.98,74.99,75.95,75.23
34,2015-04-20,76.19,75.55,75.55,76.06
35,2015-04-21,76.42,75.89,76.36,76.14
36,2015-04-22,76.35,75.77,76.34,76.21
37,2015-04-23,76.99,76.06,76.1,76.59
38,2015-04-24,77.69,77.12,77.25,77.63
39,2015-04-27,77.89,76.87,77.82,76.95
40,2015-04-28,76.88,76.13,76.83,76.68
41,2015-04-29,76.62,75.85,76.32,76.16
42,2015-04-30,76.29,74.97,75.8,75.31
43,2015-05-01,76.38,75.59,75.69,76.35
44,2015-05-04,76.95,76.4,76.95,76.51
45,2015-05-05,76.75,75.69,76.75,75.71
46,2015-05-06,76.01,75.03,75.91,75.4
