,Date,Price High,Price Low,Price Open,Price Close
0,2015-03-02,88.52,87.35,88.34,88.04
1,2015-03-03,88.02,87.13,87.93,87.62
2,2015-03-04,87.96,86.93,87.96,87.18
3,2015-03-05,87.19,86.52,87.07,86.74
4,2015-03-06,86.6,85.32,86.41,85.63
5,2015-03-09,86.38,85.12,86.12,85.16
6,2015-03-10,85.53,84.24,84.82,84.26
7,2015-03-11,84.93,84.0,84.93,84.02
8,2015-03-12,84.72,84.06,84.43,84.22
9,2015-03-13,84.18,82.68,83.9,83.87
10,2015-03-16,84.86,83.27,83.71,84.76
11,2015-03-17,84.85,84.02,84.54,84.08
12,2015-03-18,86.37,83.43,83.54,86.07
13,2015-03-19,85.5,84.33,85.19,84.41
14,2015-03-20,85.4,84.39,84.67,84.54
15,2015-03-23,85.78,85.01,85.02,85.43
16,2015-03-24,85.78,84.5,85.3,84.52
17,2015-03-25,85.57,84.77,85.05,84.86
18,2015-03-26,85.57,84.09,85.3,84.32
19,2015-03-27,84.05,83.33,84.04,83.58
20,2015-03-30,85.82,84.25,84.27,85.63
21,2015-03-31,85.34,84.46,84.85,85.0
22,2015-04-01,86.0,84.26,85.7,84.46
23,2015-04-02,84.94,83.85,84.09,84.3
24,2015-04-06,85.64,84.2,85.15,85.13
25,2015-04-07,86.17,84.76,85.01,85.75
26,2015-04-08,85.9,84.02,85.8,84.06
27,2015-04-09,84.73,83.81,84.0,84.65
28,2015-04-10,86.04,84.77,85.37,85.56
29,2015-04-13,86.25,85.24,85.92,85.34
30,2015-04-14,87.48,85.53,85.6,86.63
31,2015-04-15,88.53,87.14,87.14,88.08
32,2015-04-16,88.16,87.11,87.88,87.73
33,2015-04-17,87.36,86.16,87.14,86.93
34,2015-04-20,88.1,87.08,87.13,87.24
35,2015-04-21,87.62,86.69,87.38,86.88
36,2015-04-22,87.8,86.34,87.04,87.46
37,2015-04-23,88.38,87.31,87.36,87.54
38,2015-04-24,87.36,86.66,87.19,86.97
39,2015-04-27,87.6,86.76,87.41,87.01
40,2015-04-28,87.86,87.04,87.22,87.8
41,2015-04-29,88.07,86.96,87.5,87.87
42,2015-04-30,88.67,87.22,88.67,87.37
43,2015-05-01,88.95,87.7,87.85,88.85
44,2015-05-04,89.88,88.95,89.42,89.11
45,2015-05-05,90.09,88.52,89.97,88.61
46,2015-05-06,89.96,87.79,89.65,88.19
47,2015-05-07,88.1,86.92,88.0,87.6
48,2015-05-08,89.07,87.82,88.47,88.99
49,2015-05-11,88.57,86.65,88.53,86.78
50,2015-05-12,87.46,86.42,86.89,87.02
51,2015-05-13,87.73,86.4,87.28,86.56
52,2015-05-14,87.34,86.75,86.93,86.97
53,2015-05-15,87.62,86.6,86.8,87.35
54,2015-05-18,87.46,86.78,87.31,86.85
55,2015-05-19,87.21,86.21,86.47,86.99
56,2015-05-20,87.4,86.91,87.39,87.13
57,2015-05-21,87.44,86.96,87.28,87.21
58,2015-05-22,87.1,86.5,86.99,86.52
59,2015-05-26,86.37,85.03,86.04,85.35
60,2015-05-27,85.89,84.77,85.3,85.11
61,2015-05-28,85.57,84.82,85.11,85.11
62,2015-05-29,85.58,84.88,85.1,85.2
63,2015-06-01,85.47,84.8,85.25,85.13
64,2015-06-02,85.59,84.91,85.12,85.14
65,2015-06-03,85.84,84.86,85.23,84.95
66,2015-06-04,84.89,83.78,84.7,84.22
67,2015-06-05,85.0,83.98,84.13,84.28
68,2015-06-08,85.21,83.93,84.18,84.85
69,2015-06-09,85.43,84.49,85.29,84.58
70,2015-06-10,85.97,85.0,85.84,85.21
71,2015-06-11,85.7,84.89,85.3,85.09
72,2015-06-12,84.68,83.86,84.58,84.02
73,2015-06-15,83.98,83.19,83.53,83.72
74,2015-06-16,84.75,83.4,83.81,84.68
75,2015-06-17,85.13,84.41,85.03,84.73
76,2015-06-18,85.96,84.72,84.8,85.48
77,2015-06-19,85.48,84.92,84.92,85.21
78,2015-06-22,85.6,84.97,85.39,85.17
79,2015-06-23,85.28,84.59,85.22,85.07
80,2015-06-24,85.34,84.66,84.89,84.68
81,2015-06-25,84.85,83.93,84.85,83.93
82,2015-06-26,84.1,83.49,83.83,83.86
83,2015-06-29,83.45,82.8,83.05,82.82
84,2015-06-30,84.9,82.8,83.74,83.2
85,2015-07-01,83.53,82.11,83.28,82.37
86,2015-07-02,83.28,82.55,82.79,83.14
87,2015-07-06,83.06,82.12,82.42,82.53
88,2015-07-07,83.23,81.49,82.19,82.87
89,2015-07-08,82.98,81.91,82.25,81.97
90,2015-07-09,83.15,81.58,82.87,81.6
91,2015-07-10,82.49,81.72,82.09,82.22
92,2015-07-13,82.61,82.07,82.11,82.42
93,2015-07-14,83.32,82.26,82.38,83.11
94,2015-07-15,83.42,82.4,82.61,82.76
95,2015-07-16,83.48,82.8,83.18,82.91
96,2015-07-17,82.84,81.79,82.51,82.61
97,2015-07-20,82.41,81.6,82.15,81.76
98,2015-07-21,82.43,81.43,81.93,81.66
99,2015-07-22,82.47,81.58,82.35,81.79
100,2015-07-23,81.97,80.97,81.73,81.14
101,2015-07-24,81.16,79.72,81.16,79.94
102,2015-07-27,80.13,78.97,79.23,79.26
103,2015-07-28,82.67,79.57,79.7,82.48
104,2015-07-29,83.2,81.91,82.18,83.14
105,2015-07-30,83.32,82.42,83.18,83.01
106,2015-07-31,81.67,78.93,81.67,79.21
107,2015-08-03,78.93,77.63,78.7,78.06
108,2015-08-04,78.61,76.93,77.88,77.17
109,2015-08-05,78.23,76.9,77.87,77.17
110,2015-08-06,78.26,76.91,76.94,78.09
111,2015-08-07,77.97,76.62,77.55,76.83
112,2015-08-10,78.75,77.09,77.09,78.75
113,2015-08-11,78.07,76.33,77.01,77.49
114,2015-08-12,78.87,76.96,77.44,78.79
115,2015-08-13,79.29,78.27,78.32,78.65
116,2015-08-14,79.28,78.25,78.64,78.36
117,2015-08-17,79.18,77.45,77.93,78.77
118,2015-08-18,78.67,77.58,78.53,77.9
119,2015-08-19,77.58,75.93,77.51,76.23
120,2015-08-20,76.18,74.57,76.0,74.57
121,2015-08-21,74.89,72.07,74.1,72.13
122,2015-08-24,71.38,66.55,67.99,68.72
123,2015-08-25,71.44,68.2,71.31,68.71
124,2015-08-26,72.75,69.15,70.63,72.5
125,2015-08-27,74.89,73.01,73.8,74.85
126,2015-08-28,75.98,74.41,74.71,75.07
127,2015-08-31,75.55,73.3,74.28,75.24
128,2015-09-01,73.35,71.51,73.3,72.08
129,2015-09-02,73.24,72.0,73.06,73.23
130,2015-09-03,74.91,73.34,73.64,73.79
131,2015-09-04,73.14,72.25,72.93,72.46
132,2015-09-08,73.72,72.97,73.72,73.5
133,2015-09-09,74.68,71.85,74.37,72.0
134,2015-09-10,72.98,71.8,72.81,72.52
135,2015-09-11,72.72,72.01,72.4,72.69
136,2015-09-14,72.58,71.76,72.31,72.49
137,2015-09-15,73.31,72.41,72.44,72.86
138,2015-09-16,74.7,73.37,73.51,74.3
139,2015-09-17,75.47,73.85,74.41,74.46
140,2015-09-18,73.56,72.12,73.26,72.68
141,2015-09-21,73.61,72.73,73.1,73.39
142,2015-09-22,73.52,72.02,72.35,72.74
143,2015-09-23,73.2,72.29,72.87,72.3
144,2015-09-24,73.15,71.72,72.0,72.73
145,2015-09-25,73.53,72.76,73.29,73.23
146,2015-09-28,73.46,72.4,72.62,72.6
147,2015-09-29,73.19,72.14,72.65,72.97
148,2015-09-30,74.35,73.33,73.4,74.35
149,2015-10-01,75.58,73.3,75.2,74.06
150,2015-10-02,75.9,73.03,73.39,75.88
151,2015-10-05,77.15,75.79,76.65,76.81
152,2015-10-06,78.56,76.26,76.96,77.89
153,2015-10-07,79.29,77.53,78.97,79.2
154,2015-10-08,80.11,78.54,79.31,80.03
155,2015-10-09,80.17,78.62,80.05,79.26
156,2015-10-12,79.59,78.72,79.59,79.3
157,2015-10-13,79.55,78.49,78.72,79.16
158,2015-10-14,80.48,78.78,78.97,80.16
159,2015-10-15,81.53,79.9,80.19,81.48
160,2015-10-16,82.5,81.45,82.26,82.48
161,2015-10-19,82.17,80.76,82.01,80.99
162,2015-10-20,81.06,80.2,80.55,80.83
163,2015-10-21,81.15,80.11,80.86,80.21
164,2015-10-22,82.96,80.66,80.68,82.89
165,2015-10-23,83.0,81.89,82.41,82.98
166,2015-10-26,82.73,81.17,82.52,81.22
167,2015-10-27,81.16,79.73,80.57,81.09
168,2015-10-28,82.58,80.93,81.31,82.28
169,2015-10-29,83.22,81.79,81.79,82.23
170,2015-10-30,83.88,81.26,82.47,82.74
171,2015-11-02,85.93,82.09,82.3,85.28
172,2015-11-03,87.44,85.58,85.66,86.85
173,2015-11-04,87.08,85.7,86.77,85.98
174,2015-11-05,86.23,84.5,85.55,84.81
175,2015-11-06,84.47,83.22,83.93,84.47
176,2015-11-09,83.6,81.8,83.56,81.95
177,2015-11-10,82.61,81.86,81.93,82.35
178,2015-11-11,82.56,81.4,82.42,81.62
179,2015-11-12,81.28,79.32,80.57,79.41
180,2015-11-13,79.58,77.94,79.28,78.1
181,2015-11-16,80.99,77.91,77.94,80.9
182,2015-11-17,80.88,79.63,80.71,79.96
183,2015-11-18,80.9,79.59,79.89,80.74
184,2015-11-19,80.78,80.04,80.51,80.3
185,2015-11-20,80.94,79.65,80.57,79.79
186,2015-11-23,80.71,79.06,79.6,80.28
187,2015-11-24,82.35,80.2,80.35,81.88
188,2015-11-25,82.17,81.1,81.3,81.25
189,2015-11-27,81.26,80.46,80.58,81.23
190,2015-11-30,82.65,81.25,81.42,81.66
191,2015-12-01,82.13,81.27,81.76,81.89
192,2015-12-02,81.64,79.42,81.31,79.55
193,2015-12-03,79.85,78.02,79.72,78.41
194,2015-12-04,78.98,77.03,77.35,78.86
195,2015-12-07,77.5,75.75,77.33,76.8
196,2015-12-08,76.35,73.79,75.27,74.63
197,2015-12-09,77.19,74.73,74.84,75.63
198,2015-12-10,77.5,75.52,75.8,75.69
199,2015-12-11,75.54,74.34,74.82,74.34
200,2015-12-14,76.22,74.09,74.3,76.03
201,2015-12-15,79.6,77.33,77.43,79.43
202,2015-12-16,79.61,78.0,79.04,79.15
203,2015-12-17,79.23,77.95,79.02,77.96
204,2015-12-18,78.78,77.06,77.57,77.28
205,2015-12-21,78.1,76.65,77.79,77.26
206,2015-12-22,77.9,77.21,77.7,77.65
207,2015-12-23,80.22,78.32,78.68,80.19
208,2015-12-24,80.27,79.12,80.27,79.33
209,2015-12-28,78.86,77.91,78.12,78.74
210,2015-12-29,80.08,78.84,79.99,79.16
211,2015-12-30,78.99,77.97,78.32,78.11
212,2015-12-31,78.44,77.43,77.51,77.95
213,2016-01-04,77.94,76.46,77.5,77.46
214,2016-01-05,78.14,76.92,77.19,78.12
215,2016-01-06,77.64,76.59,76.64,77.47
216,2016-01-07,77.99,75.9,76.06,76.23
217,2016-01-08,76.65,74.5,76.35,74.69
218,2016-01-11,75.12,72.56,75.01,73.69
219,2016-01-12,75.42,73.15,74.12,75.2
220,2016-01-13,77.06,74.94,75.85,75.65
221,2016-01-14,79.92,75.8,76.21,79.12
222,2016-01-15,78.17,76.3,76.33,77.58
223,2016-01-19,78.24,75.19,77.93,76.4
224,2016-01-20,75.72,71.55,75.07,73.18
225,2016-01-21,74.99,72.61,73.16,74.1
226,2016-01-22,76.77,74.72,76.42,76.57
227,2016-01-25,76.34,73.9,75.75,73.98
228,2016-01-26,76.77,74.25,74.77,76.7
229,2016-01-27,77.47,74.72,76.0,75.29
230,2016-01-28,77.66,75.62,77.35,76.99
231,2016-01-29,77.85,76.25,76.73,77.85
232,2016-02-01,76.79,75.44,76.66,76.29
233,2016-02-02,75.62,73.55,74.19,74.59
234,2016-02-03,78.53,74.26,75.53,78.48
235,2016-02-04,80.0,77.56,78.58,79.83
236,2016-02-05,80.1,78.57,79.4,80.08
237,2016-02-08,81.78,78.91,79.3,81.16
238,2016-02-09,80.67,78.69,79.98,80.08
239,2016-02-10,81.45,79.28,79.77,79.35
240,2016-02-11,80.15,77.58,78.34,79.6
241,2016-02-12,81.07,79.81,80.08,81.03
242,2016-02-16,81.85,80.28,81.7,81.22
243,2016-02-17,82.78,81.16,81.65,82.0
244,2016-02-18,83.06,81.86,82.9,82.45
245,2016-02-19,82.55,80.91,82.19,82.5
246,2016-02-22,83.44,82.2,82.5,82.39
247,2016-02-23,82.37,80.88,81.99,81.23
248,2016-02-24,81.77,79.67,79.91,81.52
249,2016-02-25,82.07,80.02,81.56,82.01
250,2016-02-26,83.08,81.69,82.89,81.75
251,2016-02-29,82.4,80.05,81.88,80.15
252,2016-03-01,81.77,80.32,80.56,81.28
253,2016-03-02,82.72,80.31,80.95,82.7
254,2016-03-03,82.72,81.54,82.66,82.4
255,2016-03-04,82.97,81.76,82.66,82.29
256,2016-03-07,84.46,82.21,82.31,84.46
257,2016-03-08,84.21,82.48,84.0,82.63
258,2016-03-09,83.85,82.24,83.22,82.4
259,2016-03-10,82.66,80.93,82.42,82.18
260,2016-03-11,83.53,82.01,83.22,82.19
261,2016-03-14,82.64,81.02,81.48,82.41
262,2016-03-15,82.85,81.52,81.6,82.82
263,2016-03-16,83.16,81.94,83.02,82.87
264,2016-03-17,84.68,82.72,83.68,84.1
265,2016-03-18,84.6,83.25,84.59,84.2
266,2016-03-21,84.14,83.5,83.84,83.62
267,2016-03-22,84.86,83.01,83.08,84.12
268,2016-03-23,84.3,83.52,83.86,83.75
269,2016-03-24,84.03,82.93,82.94,83.98
270,2016-03-28,84.36,83.7,84.03,84.22
271,2016-03-29,84.61,83.16,83.67,84.53
272,2016-03-30,85.05,84.0,85.03,84.52
273,2016-03-31,85.1,83.59,84.07,83.59
274,2016-04-01,83.39,82.39,82.4,82.96
275,2016-04-04,83.9,82.78,83.06,83.16
276,2016-04-05,83.13,81.99,82.61,82.21
277,2016-04-06,83.46,82.3,82.69,83.31
278,2016-04-07,83.17,82.05,82.76,82.37
279,2016-04-08,83.45,82.85,83.3,83.21
280,2016-04-11,84.24,83.28,83.33,83.32
281,2016-04-12,84.63,83.37,83.69,84.35
282,2016-04-13,84.91,84.04,84.5,84.83
283,2016-04-14,85.9,84.76,85.0,85.43
284,2016-04-15,85.66,84.78,85.3,84.97
285,2016-04-18,85.86,83.86,84.97,85.78
286,2016-04-19,86.31,85.22,85.85,86.21
287,2016-04-20,87.44,85.97,86.23,86.8
288,2016-04-21,87.84,86.57,86.59,86.79
289,2016-04-22,87.64,86.82,87.24,87.53
290,2016-04-25,87.4,86.35,87.09,87.33
291,2016-04-26,87.94,87.06,87.75,87.63
292,2016-04-27,88.72,87.33,87.95,88.46
293,2016-04-28,88.78,87.5,87.86,88.03
294,2016-04-29,89.78,87.74,88.68,88.4
295,2016-05-02,89.48,88.08,88.24,89.13
296,2016-05-03,88.63,87.36,88.4,88.11
297,2016-05-04,88.74,87.6,88.3,87.94
298,2016-05-05,88.97,87.62,88.76,88.04
299,2016-05-06,88.68,87.46,87.46,88.51
300,2016-05-09,88.76,87.23,88.6,88.57
301,2016-05-10,90.0,88.82,88.9,89.99
302,2016-05-11,89.68,88.72,89.16,88.81
303,2016-05-12,89.93,89.15,89.8,89.67
304,2016-05-13,89.66,88.51,89.28,88.66
305,2016-05-16,89.67,89.0,89.2,89.57
306,2016-05-17,89.91,89.16,89.27,89.53
307,2016-05-18,90.0,88.65,89.8,89.35
308,2016-05-19,90.16,88.45,88.61,90.11
309,2016-05-20,90.4,89.38,90.39,89.74
310,2016-05-23,89.9,88.82,89.0,89.6
311,2016-05-24,90.4,89.55,89.89,89.67
312,2016-05-25,90.37,89.59,89.85,90.26
313,2016-05-26,90.46,89.27,90.25,89.8
314,2016-05-27,90.05,89.32,89.4,90.01
315,2016-05-31,90.2,88.73,90.0,89.02
316,2016-06-01,89.45,88.13,88.43,89.24
317,2016-06-02,88.53,87.61,88.21,88.53
318,2016-06-03,88.83,88.03,88.44,88.37
319,2016-06-06,89.5,88.69,88.87,89.34
320,2016-06-07,90.92,89.71,89.75,90.71
321,2016-06-08,91.3,90.53,91.03,90.79
322,2016-06-09,91.03,90.11,90.18,90.67
323,2016-06-10,90.92,89.78,90.4,89.98
324,2016-06-13,91.43,89.7,89.92,90.59
325,2016-06-14,90.87,89.85,90.45,90.43
326,2016-06-15,90.9,90.0,90.23,90.16
327,2016-06-16,91.39,89.11,89.7,91.22
328,2016-06-17,91.59,90.19,91.49,90.72
329,2016-06-20,91.59,91.07,91.29,91.12
330,2016-06-21,91.64,90.25,90.72,91.53
331,2016-06-22,91.93,91.01,91.84,91.17
332,2016-06-23,92.07,91.19,91.93,91.8
333,2016-06-24,90.8,89.15,89.88,89.39
334,2016-06-27,89.1,88.11,88.9,88.86
335,2016-06-28,90.93,89.52,89.73,90.91
336,2016-06-29,92.7,91.12,91.41,92.46
337,2016-06-30,93.83,92.3,92.33,93.74
338,2016-07-01,93.98,93.07,93.36,93.84
339,2016-07-05,93.6,92.25,93.12,93.02
340,2016-07-06,94.12,92.44,93.35,94.09
341,2016-07-07,94.49,92.35,94.34,92.96
342,2016-07-08,93.78,92.92,93.39,93.54
343,2016-07-11,94.41,93.65,93.75,93.89
344,2016-07-12,94.95,94.09,94.67,94.95
345,2016-07-13,94.92,94.11,94.65,94.88
346,2016-07-14,95.53,94.62,95.05,94.95
347,2016-07-15,95.55,94.64,95.44,95.12
348,2016-07-18,95.15,94.4,94.92,94.82
349,2016-07-19,94.94,94.2,94.76,94.47
350,2016-07-20,94.42,93.8,94.25,93.93
351,2016-07-21,94.26,93.46,93.89,93.85
352,2016-07-22,94.29,93.72,94.11,94.01
353,2016-07-25,93.62,91.76,93.47,92.2
354,2016-07-26,92.03,91.11,91.63,91.53
355,2016-07-27,91.81,90.63,91.51,90.91
356,2016-07-28,90.73,89.61,90.54,90.2
357,2016-07-29,89.01,86.12,87.61,88.95
358,2016-08-01,88.15,85.59,88.08,85.86
359,2016-08-02,87.32,85.58,86.45,87.04
360,2016-08-03,87.49,86.6,87.01,87.49
361,2016-08-04,87.65,87.03,87.5,87.48
362,2016-08-05,87.83,87.15,87.73,87.56
363,2016-08-08,88.89,88.03,88.05,88.59
364,2016-08-09,88.76,88.18,88.62,88.7
365,2016-08-10,87.92,86.01,87.78,86.41
366,2016-08-11,87.27,86.26,86.69,86.72
367,2016-08-12,87.98,86.9,86.96,87.85
368,2016-08-15,88.5,87.64,88.42,87.81
369,2016-08-16,88.18,87.37,87.83,87.92
370,2016-08-17,88.18,87.66,87.92,88.11
371,2016-08-18,88.94,88.12,88.38,88.91
372,2016-08-19,88.74,87.79,88.63,87.8
373,2016-08-22,88.1,86.85,87.31,87.99
374,2016-08-23,88.02,87.56,87.84,87.72
375,2016-08-24,88.16,87.35,87.5,88.02
376,2016-08-25,88.03,87.24,88.02,87.46
377,2016-08-26,88.11,87.0,87.63,87.27
378,2016-08-29,87.92,87.04,87.04,87.84
379,2016-08-30,88.25,87.37,87.87,87.52
380,2016-08-31,87.21,86.22,87.14,87.14
381,2016-09-01,86.84,86.09,86.72,86.84
382,2016-09-02,87.58,86.93,87.42,87.42
383,2016-09-06,88.64,87.66,87.84,88.57
384,2016-09-07,88.67,87.97,88.65,88.24
385,2016-09-08,89.37,88.04,88.55,89.05
386,2016-09-09,88.66,86.8,88.66,86.84
387,2016-09-12,87.71,86.63,86.78,87.29
388,2016-09-13,86.47,85.08,86.46,85.21
389,2016-09-14,85.83,84.27,85.04,84.6
390,2016-09-15,85.65,84.52,84.67,85.08
391,2016-09-16,85.05,83.56,84.51,84.03
392,2016-09-19,84.62,83.81,84.58,83.83
393,2016-09-20,83.95,82.54,83.73,82.54
394,2016-09-21,83.62,82.31,82.82,83.3
395,2016-09-22,84.55,83.38,84.28,83.54
396,2016-09-23,84.31,82.59,82.68,83.45
397,2016-09-26,84.5,82.93,83.52,83.06
398,2016-09-27,83.34,82.29,82.59,83.24
399,2016-09-28,87.23,83.34,83.46,86.9
400,2016-09-29,87.2,85.68,86.97,86.46
401,2016-09-30,87.81,86.65,86.84,87.28
402,2016-10-03,87.2,86.54,86.94,87.05
403,2016-10-04,87.5,86.07,87.38,86.25
404,2016-10-05,87.17,86.7,86.83,87.0
405,2016-10-06,87.47,86.44,87.25,87.04
406,2016-10-07,87.4,86.42,86.95,86.74
407,2016-10-10,88.67,87.51,87.54,88.44
408,2016-10-11,88.19,87.3,88.08,87.74
409,2016-10-12,87.72,86.67,87.22,87.13
410,2016-10-13,86.87,85.43,86.35,86.56
411,2016-10-14,87.54,86.48,87.19,86.54
412,2016-10-17,86.79,86.07,86.48,86.54
413,2016-10-18,87.33,86.38,87.17,86.77
414,2016-10-19,87.85,86.88,87.19,87.17
415,2016-10-20,87.5,86.6,86.79,87.21
416,2016-10-21,86.82,85.7,86.42,86.62
417,2016-10-24,87.32,86.07,86.74,86.91
418,2016-10-25,87.65,86.6,86.67,86.72
419,2016-10-26,87.45,85.95,86.25,87.09
420,2016-10-27,87.66,86.8,87.28,86.92
421,2016-10-28,86.36,84.14,85.28,84.78
422,2016-10-31,84.4,82.99,83.88,83.32
423,2016-11-01,83.92,83.27,83.5,83.65
424,2016-11-02,83.88,82.94,83.3,83.45
425,2016-11-03,83.88,83.05,83.68,83.66
426,2016-11-04,84.33,82.76,83.63,83.57
427,2016-11-07,85.47,84.4,84.49,85.45
428,2016-11-08,85.83,84.49,84.73,85.31
429,2016-11-09,86.71,83.66,84.05,86.25
430,2016-11-10,87.99,85.66,85.91,87.05
431,2016-11-11,86.73,84.89,86.53,85.67
432,2016-11-14,85.65,84.33,85.3,85.28
433,2016-11-15,87.06,85.77,85.77,86.82
434,2016-11-16,86.78,85.58,86.74,85.75
435,2016-11-17,86.88,85.02,86.44,85.23
436,2016-11-18,85.65,84.83,85.21,85.28
